,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,23-08-2021,18:30,Serie A,Giornata n. 1,Lun,Casa,N,2,2,Spezia,2.7,0.8,59,5.387,João Pedro,3-4-3,Francesco Fourneau,Report partita,
2,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Ospiti,P,1,4,Milan,0.4,2.7,43,31.946,João Pedro,3-5-2,Marco Serra,Report partita,
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Casa,P,2,3,Genoa,1.4,1.1,53,6.423,João Pedro,3-5-2,Luca Pairetto,Report partita,
4,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Ospiti,N,2,2,Lazio,1.8,2.1,28,20.0,João Pedro,4-4-2,Davide Ghersini,Report partita,
5,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Casa,P,0,2,Empoli,1.1,1.1,49,7.226,João Pedro,3-5-2,Marco Di Bello,Report partita,
6,26-09-2021,20:45,Serie A,Giornata n. 6,Dom,Ospiti,P,0,2,Napoli,0.2,1.8,33,20.0,João Pedro,4-2-3-1,Marco Piccinini,Report partita,
7,01-10-2021,20:45,Serie A,Giornata n. 7,Ven,Casa,N,1,1,Venezia,0.4,1.1,42,8.135,João Pedro,3-5-2,Manuel Volpi,Report partita,
8,17-10-2021,12:30,Serie A,Giornata n. 8,Dom,Casa,V,3,1,Sampdoria,1.1,1.5,39,9.923,João Pedro,4-4-2,Matteo Marchetti,Report partita,
9,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Ospiti,P,0,3,Fiorentina,0.2,3.1,35,20.29,João Pedro,4-4-2,Antonio Rapuano,Report partita,
10,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Casa,P,1,2,Roma,1.1,2.4,42,8.547,João Pedro,3-5-2,Ivan Pezzuto,Report partita,
11,01-11-2021,20:45,Serie A,Giornata n. 11,Lun,Ospiti,P,0,2,Bologna,0.4,1.0,43,10.126,João Pedro,3-5-2,Davide Massa,Report partita,
12,06-11-2021,20:45,Serie A,Giornata n. 12,Sab,Casa,P,1,2,Atalanta,0.9,2.8,38,6.976,João Pedro,4-4-2,Marco Piccinini,Report partita,
13,21-11-2021,12:30,Serie A,Giornata n. 13,Dom,Ospiti,N,2,2,Sassuolo,1.5,3.2,42,4.135,João Pedro,4-2-3-1,Niccolò Baroni,Report partita,
14,26-11-2021,20:45,Serie A,Giornata n. 14,Ven,Casa,N,1,1,Salernitana,1.6,0.4,57,9.7,João Pedro,3-5-2,Daniele Doveri,Report partita,
15,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Ospiti,N,0,0,Hellas Verona,0.6,1.8,32,12.188,Luca Ceppitelli,3-5-2,Matteo Marcenaro,Report partita,
16,06-12-2021,20:45,Serie A,Giornata n. 16,Lun,Casa,N,1,1,Torino,1.2,1.4,52,8.799,João Pedro,3-5-2,Luca Massimi,Report partita,
17,12-12-2021,20:45,Serie A,Giornata n. 17,Dom,Ospiti,P,0,4,Inter,0.2,3.0,25,33.712,João Pedro,3-5-2,Matteo Marchetti,Report partita,
19,18-12-2021,20:45,Serie A,Giornata n. 18,Sab,Casa,P,0,4,Udinese,0.4,0.6,55,7.864,João Pedro,3-5-2,Fabio Maresca,Report partita,
20,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Ospiti,P,0,2,Juventus,1.3,1.0,37,11.197,João Pedro,3-5-2,Federico Dionisi,Report partita,
21,06-01-2022,12:30,Serie A,Giornata n. 20,Gio,Ospiti,V,2,1,Sampdoria,2.4,0.6,51,3.188,João Pedro,3-5-2,Giacomo Camplone,Report partita,
22,11-01-2022,20:45,Serie A,Giornata n. 21,Mar,Casa,V,2,1,Bologna,1.6,0.6,53,5.583,João Pedro,3-5-2,Davide Ghersini,Report partita,
23,16-01-2022,18:00,Serie A,Giornata n. 22,Dom,Ospiti,P,0,1,Roma,0.6,1.9,44,5.0,João Pedro,3-4-1-2,Lorenzo Maggioni,Report partita,
25,23-01-2022,12:30,Serie A,Giornata n. 23,Dom,Casa,N,1,1,Fiorentina,1.4,1.9,41,5.0,João Pedro,3-5-2,Gianluca Aureliano,Report partita,
26,06-02-2022,12:30,Serie A,Giornata n. 24,Dom,Ospiti,V,2,1,Atalanta,1.1,1.1,39,7.868,Alessio Cragno,3-5-2,Alessandro Prontera,Report partita,
27,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Ospiti,N,1,1,Empoli,1.0,1.0,55,4.787,João Pedro,3-5-2,Federico Dionisi,Report partita,
28,21-02-2022,19:00,Serie A,Giornata n. 26,Lun,Casa,N,1,1,Napoli,1.8,0.9,46,12.063,João Pedro,3-5-2,Maurizio Mariani,Report partita,
29,27-02-2022,12:35,Serie A,Giornata n. 27,Dom,Ospiti,V,2,1,Torino,1.9,0.8,43,10.231,João Pedro,3-5-2,Manuel Volpi,Report partita,
30,05-03-2022,20:45,Serie A,Giornata n. 28,Sab,Casa,P,0,3,Lazio,0.6,2.6,45,10.873,João Pedro,3-4-1-2,Fabio Maresca,Report partita,
31,12-03-2022,15:00,Serie A,Giornata n. 29,Sab,Ospiti,P,0,2,Spezia,0.6,2.2,57,7.18,João Pedro,3-4-1-2,Daniele Orsato,Report partita,
32,19-03-2022,20:45,Serie A,Giornata n. 30,Sab,Casa,P,0,1,Milan,1.1,2.4,43,12.309,João Pedro,3-5-2,Marco Di Bello,Report partita,
33,03-04-2022,15:00,Serie A,Giornata n. 31,Dom,Ospiti,P,1,5,Udinese,0.4,3.5,49,12.215,João Pedro,3-5-1-1,Rosario Abisso,Report partita,
34,09-04-2022,20:45,Serie A,Giornata n. 32,Sab,Casa,P,1,2,Juventus,0.1,1.5,41,13.437,João Pedro,3-5-2,Daniele Chiffi,Report partita,
35,16-04-2022,12:30,Serie A,Giornata n. 33,Sab,Casa,V,1,0,Sassuolo,1.6,0.4,37,14.689,João Pedro,3-5-2,Davide Massa,Report partita,
36,24-04-2022,18:00,Serie A,Giornata n. 34,Dom,Ospiti,P,0,1,Genoa,0.8,1.1,47,17.257,João Pedro,3-5-2,Paolo Valeri,Report partita,
37,30-04-2022,15:00,Serie A,Giornata n. 35,Sab,Casa,P,1,2,Hellas Verona,0.9,1.3,60,16.267,João Pedro,3-5-2,Daniele Orsato,Report partita,
38,08-05-2022,18:00,Serie A,Giornata n. 36,Dom,Ospiti,N,1,1,Salernitana,0.5,1.2,52,28.048,João Pedro,3-5-2,Marco Di Bello,Report partita,
39,15-05-2022,20:45,Serie A,Giornata n. 37,Dom,Casa,P,1,3,Inter,0.6,2.6,38,15.443,João Pedro,4-4-2◆,Daniele Doveri,Report partita,
40,22-05-2022,21:00,Serie A,Giornata n. 38,Dom,Ospiti,N,0,0,Venezia,2.1,0.7,56,5.654,João Pedro,3-5-2,Fabio Maresca,Report partita,
