,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Ospiti,P,1,3,Roma,1.2,2.7,58,26.997,Cristiano Biraghi,4-3-3,Luca Pairetto,Report partita,
2,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Casa,V,2,1,Torino,0.6,0.5,59,12.592,Cristiano Biraghi,4-3-3,Maurizio Mariani,Report partita,
3,11-09-2021,20:45,Serie A,Giornata n. 3,Sab,Ospiti,V,2,1,Atalanta,1.7,2.5,45,9.162,Cristiano Biraghi,4-3-3,Valerio Marini,Report partita,
4,18-09-2021,15:00,Serie A,Giornata n. 4,Sab,Ospiti,V,2,1,Genoa,0.9,1.0,63,6.269,Cristiano Biraghi,4-3-3,Livio Marinelli,Report partita,
5,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Casa,P,1,3,Inter,1.4,2.8,53,15.927,Cristiano Biraghi,4-3-3,Michael Fabbri,Report partita,
6,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Ospiti,V,1,0,Udinese,1.1,0.6,54,7.208,Cristiano Biraghi,4-3-3,Davide Ghersini,Report partita,
7,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Casa,P,1,2,Napoli,0.7,1.7,55,15.264,Cristiano Biraghi,4-4-2,Simone Sozza,Report partita,
8,18-10-2021,20:45,Serie A,Giornata n. 8,Lun,Ospiti,P,0,1,Venezia,0.5,1.0,61,8.043,Cristiano Biraghi,4-3-3,Luca Massimi,Report partita,
9,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Casa,V,3,0,Cagliari,3.1,0.2,65,20.29,Cristiano Biraghi,4-3-3,Antonio Rapuano,Report partita,
10,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Ospiti,P,0,1,Lazio,0.6,0.6,51,7.0,Cristiano Biraghi,4-3-3,Giovanni Ayroldi,Report partita,
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Casa,V,3,0,Spezia,3.3,0.1,55,19.511,Cristiano Biraghi,4-3-3,Antonio Giua,Report partita,
12,06-11-2021,18:00,Serie A,Giornata n. 12,Sab,Ospiti,P,0,1,Juventus,0.5,0.7,50,6.953,Cristiano Biraghi,4-3-3,Simone Sozza,Report partita,
13,20-11-2021,20:45,Serie A,Giornata n. 13,Sab,Casa,V,4,3,Milan,1.8,2.1,45,32.567,Cristiano Biraghi,4-3-3,Marco Guida,Report partita,
14,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Ospiti,P,1,2,Empoli,2.4,1.9,49,7.878,Cristiano Biraghi,4-3-3,Juan Sacchi,Report partita,
15,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Casa,V,3,1,Sampdoria,2.7,0.7,60,17.913,Cristiano Biraghi,4-3-3,Federico Dionisi,Report partita,
16,05-12-2021,12:30,Serie A,Giornata n. 16,Dom,Ospiti,V,3,2,Bologna,1.1,0.7,63,18.175,Cristiano Biraghi,4-3-3,Massimiliano Irrati,Report partita,
17,11-12-2021,15:00,Serie A,Giornata n. 17,Sab,Casa,V,4,0,Salernitana,2.2,1.0,70,18.579,Cristiano Biraghi,4-3-3,Davide Ghersini,Report partita,
19,19-12-2021,12:30,Serie A,Giornata n. 18,Dom,Casa,N,2,2,Sassuolo,3.2,1.1,57,21.514,Cristiano Biraghi,4-3-3,Marco Serra,Report partita,
20,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Ospiti,N,1,1,Hellas Verona,1.0,1.1,60,14.001,Lorenzo Venuti,4-3-3,Daniele Doveri,Report partita,
21,10-01-2022,17:00,Serie A,Giornata n. 21,Lun,Ospiti,P,0,4,Torino,0.7,2.1,55,3.545,Cristiano Biraghi,4-3-3,Livio Marinelli,Report partita,
23,17-01-2022,20:45,Serie A,Giornata n. 22,Lun,Casa,V,6,0,Genoa,3.1,0.2,73,5.0,Cristiano Biraghi,4-3-3,Fabio Maresca,Report partita,
24,23-01-2022,12:30,Serie A,Giornata n. 23,Dom,Ospiti,N,1,1,Cagliari,1.9,1.4,59,5.0,Cristiano Biraghi,4-3-3,Gianluca Aureliano,Report partita,
25,05-02-2022,20:45,Serie A,Giornata n. 24,Sab,Casa,P,0,3,Lazio,0.8,2.7,50,17.181,Cristiano Biraghi,4-3-3,Daniele Orsato,Report partita,
27,14-02-2022,20:45,Serie A,Giornata n. 25,Lun,Ospiti,V,2,1,Spezia,2.2,0.7,67,5.4,Cristiano Biraghi,4-3-3,Matteo Marchetti,Report partita,
28,20-02-2022,12:30,Serie A,Giornata n. 26,Dom,Casa,V,1,0,Atalanta,0.6,0.5,49,18.056,Cristiano Biraghi,4-3-3,Daniele Doveri,Report partita,
29,26-02-2022,20:45,Serie A,Giornata n. 27,Sab,Ospiti,P,1,2,Sassuolo,2.1,1.5,51,8.952,Cristiano Biraghi,4-3-3,Alessandro Prontera,Report partita,
31,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Casa,N,1,1,Hellas Verona,1.4,1.3,50,23.491,Cristiano Biraghi,4-3-3,Gianluca Manganiello,Report partita,
32,13-03-2022,12:30,Serie A,Giornata n. 29,Dom,Casa,V,1,0,Bologna,1.9,1.1,61,22.635,Giacomo Bonaventura,4-3-3,Juan Sacchi,Report partita,
33,19-03-2022,18:00,Serie A,Giornata n. 30,Sab,Ospiti,N,1,1,Inter,1.0,1.0,50,54.988,Cristiano Biraghi,4-3-3,Daniele Chiffi,Report partita,
34,03-04-2022,12:30,Serie A,Giornata n. 31,Dom,Casa,V,1,0,Empoli,1.5,0.1,61,22.407,Cristiano Biraghi,4-3-3,Luca Massimi,Report partita,
35,10-04-2022,15:00,Serie A,Giornata n. 32,Dom,Ospiti,V,3,2,Napoli,0.5,1.1,50,50.0,Cristiano Biraghi,4-3-3,Maurizio Mariani,Report partita,
36,16-04-2022,16:30,Serie A,Giornata n. 33,Sab,Casa,V,1,0,Venezia,2.6,0.1,69,31.627,Cristiano Biraghi,4-3-3,Rosario Abisso,Report partita,
38,24-04-2022,12:30,Serie A,Giornata n. 34,Dom,Ospiti,P,1,2,Salernitana,1.0,1.0,72,20.92,Cristiano Biraghi,4-3-3,Davide Massa,Report partita,
39,27-04-2022,18:00,Serie A,Giornata n. 20,Mer,Casa,P,0,4,Udinese,2.0,3.0,72,22.067,Cristiano Biraghi,4-3-3,Ivan Pezzuto,Report partita,
40,01-05-2022,15:00,Serie A,Giornata n. 35,Dom,Ospiti,P,0,1,Milan,0.5,1.3,51,71.542,Cristiano Biraghi,4-3-3,Paolo Valeri,Report partita,
41,09-05-2022,20:45,Serie A,Giornata n. 36,Lun,Casa,V,2,0,Roma,1.3,0.3,53,29.58,Cristiano Biraghi,4-3-3,Marco Guida,Report partita,
42,16-05-2022,18:30,Serie A,Giornata n. 37,Lun,Ospiti,P,1,4,Sampdoria,1.9,1.5,63,21.331,Cristiano Biraghi,4-3-3,Maurizio Mariani,Report partita,
43,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Casa,V,2,0,Juventus,1.5,0.1,66,34.831,Cristiano Biraghi,4-3-3,Daniele Chiffi,Report partita,
