,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Casa,P,2,3,Sassuolo,2.1,1.4,40,5.448,Miguel Veloso,3-4-3,Manuel Volpi,Report partita,
2,27-08-2021,20:45,Serie A,Giornata n. 2,Ven,Casa,P,1,3,Inter,0.8,1.6,43,11.214,Davide Faraoni,3-4-3,Gianluca Manganiello,Report partita,
3,13-09-2021,20:45,Serie A,Giornata n. 3,Lun,Ospiti,P,0,1,Bologna,0.4,1.4,57,10.218,Davide Faraoni,3-4-3,Ivan Pezzuto,Report partita,
4,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Casa,V,3,2,Roma,1.1,0.8,53,10.148,Davide Faraoni,3-4-3,Fabio Maresca,Report partita,
5,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Ospiti,N,2,2,Salernitana,1.7,2.7,50,9.561,Davide Faraoni,3-4-3,Massimiliano Irrati,Report partita,
6,25-09-2021,20:45,Serie A,Giornata n. 6,Sab,Ospiti,N,3,3,Genoa,2.2,1.6,51,13.478,Davide Faraoni,3-4-3,Daniele Doveri,Report partita,
7,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Casa,V,4,0,Spezia,0.4,1.4,45,8.398,Davide Faraoni,3-4-3,Giacomo Camplone,Report partita,
8,16-10-2021,20:45,Serie A,Giornata n. 8,Sab,Ospiti,P,2,3,Milan,1.4,1.5,47,40.128,Davide Faraoni,3-4-3,Alessandro Prontera,Report partita,
9,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Casa,V,4,1,Lazio,2.8,0.9,49,13.953,Miguel Veloso,3-4-3,Marco Piccinini,Report partita,
10,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Ospiti,N,1,1,Udinese,0.8,1.2,66,8.751,Miguel Veloso,3-4-3,Matteo Marchetti,Report partita,
11,30-10-2021,18:00,Serie A,Giornata n. 11,Sab,Casa,V,2,1,Juventus,1.6,0.9,45,22.314,Miguel Veloso,3-4-3,Livio Marinelli,Report partita,
12,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Ospiti,N,1,1,Napoli,1.0,0.8,42,28.0,Miguel Veloso,3-4-3,Giovanni Ayroldi,Report partita,
13,22-11-2021,18:30,Serie A,Giornata n. 13,Lun,Casa,V,2,1,Empoli,1.3,1.6,56,13.797,Miguel Veloso,3-4-3,Matteo Gariglio,Report partita,
14,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Ospiti,P,1,3,Sampdoria,0.9,0.8,58,6.813,Davide Faraoni,3-4-3,Lorenzo Maggioni,Report partita,
15,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Casa,N,0,0,Cagliari,1.8,0.6,68,12.188,Miguel Veloso,3-4-3,Matteo Marcenaro,Report partita,
16,05-12-2021,15:00,Serie A,Giornata n. 16,Dom,Ospiti,V,4,3,Venezia,1.9,1.8,56,7.608,Miguel Veloso,3-4-1-2,Alessandro Prontera,Report partita,
17,12-12-2021,15:00,Serie A,Giornata n. 17,Dom,Casa,P,1,2,Atalanta,1.1,1.7,53,15.0,Davide Faraoni,3-4-1-2,Juan Sacchi,Report partita,
19,19-12-2021,18:00,Serie A,Giornata n. 18,Dom,Ospiti,P,0,1,Torino,0.4,0.8,34,6.202,Miguel Veloso,3-4-3,Michael Fabbri,Report partita,
20,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Casa,N,1,1,Fiorentina,1.1,1.0,40,14.001,Miguel Veloso,3-4-3,Daniele Doveri,Report partita,
21,06-01-2022,14:30,Serie A,Giornata n. 20,Gio,Ospiti,V,2,1,Spezia,1.9,0.9,60,3.25,Miguel Veloso,3-4-3,Maurizio Mariani,Report partita,
22,09-01-2022,20:45,Serie A,Giornata n. 21,Dom,Casa,P,1,2,Salernitana,1.4,1.1,70,3.106,Miguel Veloso,3-4-3,Federico Dionisi,Report partita,
23,16-01-2022,12:30,Serie A,Giornata n. 22,Dom,Ospiti,V,4,2,Sassuolo,3.5,1.1,45,3.843,Miguel Veloso,3-4-3,Alessandro Prontera,Report partita,
24,21-01-2022,20:45,Serie A,Giornata n. 23,Ven,Casa,V,2,1,Bologna,1.5,0.6,57,4.286,Miguel Veloso,3-4-3,Matteo Gariglio,Report partita,
25,06-02-2022,20:45,Serie A,Giornata n. 24,Dom,Ospiti,P,0,2,Juventus,0.6,1.2,54,17.016,Miguel Veloso,3-4-3,Luca Massimi,Report partita,
26,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Casa,V,4,0,Udinese,1.0,1.6,44,11.713,Darko Lazović,3-4-3,Andrea Colombo,Report partita,
27,19-02-2022,18:00,Serie A,Giornata n. 26,Sab,Ospiti,N,2,2,Roma,0.5,0.6,43,34.777,Davide Faraoni,3-4-3,Luca Pairetto,Report partita,
28,27-02-2022,15:05,Serie A,Giornata n. 27,Dom,Casa,V,3,1,Venezia,2.3,0.9,57,14.298,Davide Faraoni,3-4-3,Juan Sacchi,Report partita,
29,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Ospiti,N,1,1,Fiorentina,1.3,1.4,50,23.491,Davide Faraoni,3-4-1-2,Gianluca Manganiello,Report partita,
30,13-03-2022,15:00,Serie A,Giornata n. 29,Dom,Casa,P,1,2,Napoli,0.5,1.5,49,18.782,Davide Faraoni,3-5-2,Daniele Doveri,Report partita,
31,20-03-2022,15:00,Serie A,Giornata n. 30,Dom,Ospiti,N,1,1,Empoli,1.3,1.0,62,5.445,Koray Günter,3-4-1-2,Matteo Marcenaro,Report partita,
32,04-04-2022,18:30,Serie A,Giornata n. 31,Lun,Casa,V,1,0,Genoa,1.1,0.5,46,14.993,Davide Faraoni,3-4-3,Francesco Fourneau,Report partita,
33,09-04-2022,18:00,Serie A,Giornata n. 32,Sab,Ospiti,P,0,2,Inter,0.8,2.5,52,61.325,Davide Faraoni,3-4-3,Livio Marinelli,Report partita,
34,18-04-2022,21:00,Serie A,Giornata n. 33,Lun,Ospiti,V,2,1,Atalanta,3.2,1.5,44,14.537,Davide Faraoni,3-4-3,Marco Piccinini,Report partita,
35,23-04-2022,20:45,Serie A,Giornata n. 34,Sab,Casa,N,1,1,Sampdoria,1.1,1.0,57,16.188,Davide Faraoni,3-4-3,Giovanni Ayroldi,Report partita,
36,30-04-2022,15:00,Serie A,Giornata n. 35,Sab,Ospiti,V,2,1,Cagliari,1.3,0.9,40,16.267,Davide Faraoni,3-4-3,Daniele Orsato,Report partita,
37,08-05-2022,20:45,Serie A,Giornata n. 36,Dom,Casa,P,1,3,Milan,1.2,2.9,47,30.154,Davide Faraoni,3-4-3,Daniele Doveri,Report partita,
38,14-05-2022,18:00,Serie A,Giornata n. 37,Sab,Casa,P,0,1,Torino,0.7,0.7,46,24.001,Darko Lazović,3-4-3,Giacomo Camplone,Report partita,
39,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Ospiti,N,3,3,Lazio,1.6,2.4,47,50.0,Alessandro Berardi,3-4-3,Andrea Colombo,Report partita,
