,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
0,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Ospiti,N,2,2,Udinese,0.8,2.2,56,9.66,Paulo Dybala,4-4-2,Ivan Pezzuto,Report partita,
1,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Casa,P,0,1,Empoli,1.5,0.8,54,17.584,Paulo Dybala,4-4-2◆,Davide Ghersini,Report partita,
2,11-09-2021,18:00,Serie A,Giornata n. 3,Sab,Ospiti,P,1,2,Napoli,1.0,2.1,33,23.5,Giorgio Chiellini,4-3-3,Massimiliano Irrati,Report partita,
4,19-09-2021,20:45,Serie A,Giornata n. 4,Dom,Casa,N,1,1,Milan,1.0,0.7,44,18.785,Giorgio Chiellini,4-4-2,Daniele Doveri,Report partita,
5,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Ospiti,V,3,2,Spezia,2.3,0.7,59,5.7,Paulo Dybala,4-4-2,Gianluca Aureliano,Report partita,
6,26-09-2021,12:30,Serie A,Giornata n. 6,Dom,Casa,V,3,2,Sampdoria,2.4,0.4,50,15.381,Paulo Dybala,4-4-2,Giovanni Ayroldi,Report partita,
8,02-10-2021,18:00,Serie A,Giornata n. 7,Sab,Ospiti,V,1,0,Torino,0.9,1.0,52,12.073,Giorgio Chiellini,4-4-2,Paolo Valeri,Report partita,
9,17-10-2021,20:45,Serie A,Giornata n. 8,Dom,Casa,V,1,0,Roma,0.8,1.4,47,20.239,Giorgio Chiellini,4-4-2,Daniele Orsato,Report partita,
11,24-10-2021,20:45,Serie A,Giornata n. 9,Dom,Ospiti,N,1,1,Inter,1.8,0.8,51,56.532,Giorgio Chiellini,4-4-2,Maurizio Mariani,Report partita,
12,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Casa,P,1,2,Sassuolo,1.3,1.2,57,18.288,Paulo Dybala,4-4-2,Juan Sacchi,Report partita,
13,30-10-2021,18:00,Serie A,Giornata n. 11,Sab,Ospiti,P,1,2,Hellas Verona,0.9,1.6,55,22.314,Giorgio Chiellini,4-4-2,Livio Marinelli,Report partita,
15,06-11-2021,18:00,Serie A,Giornata n. 12,Sab,Casa,V,1,0,Fiorentina,0.7,0.5,50,6.953,Paulo Dybala,4-4-2,Simone Sozza,Report partita,
16,20-11-2021,18:00,Serie A,Giornata n. 13,Sab,Ospiti,V,2,0,Lazio,2.7,0.2,43,45.0,Leonardo Bonucci,3-5-2,Marco Di Bello,Report partita,
18,27-11-2021,18:00,Serie A,Giornata n. 14,Sab,Casa,P,0,1,Atalanta,0.9,0.4,59,29.886,Paulo Dybala,4-4-2,Giovanni Ayroldi,Report partita,
19,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Ospiti,V,2,0,Salernitana,2.2,0.3,73,19.5,Giorgio Chiellini,4-2-3-1,Francesco Fourneau,Report partita,
20,05-12-2021,20:45,Serie A,Giornata n. 16,Dom,Casa,V,2,0,Genoa,2.5,0.0,70,18.458,Giorgio Chiellini,4-2-3-1,Daniele Chiffi,Report partita,
22,11-12-2021,18:00,Serie A,Giornata n. 17,Sab,Ospiti,N,1,1,Venezia,1.6,0.4,60,8.35,Paulo Dybala,4-2-3-1,Paolo Valeri,Report partita,
23,18-12-2021,18:00,Serie A,Giornata n. 18,Sab,Ospiti,V,2,0,Bologna,1.1,0.4,43,22.394,Leonardo Bonucci,4-3-3,Daniele Orsato,Report partita,
24,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Casa,V,2,0,Cagliari,1.0,1.3,63,11.197,Leonardo Bonucci,4-3-3,Federico Dionisi,Report partita,
25,06-01-2022,20:45,Serie A,Giornata n. 20,Gio,Casa,N,1,1,Napoli,1.3,0.7,44,19.301,Juan Cuadrado,4-3-3,Simone Sozza,Report partita,
26,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Ospiti,V,4,3,Roma,1.1,2.1,47,33.178,Paulo Dybala,4-4-1-1,Davide Massa,Report partita,
28,15-01-2022,20:45,Serie A,Giornata n. 22,Sab,Casa,V,2,0,Udinese,1.5,0.8,66,5.0,Paulo Dybala,4-4-2,Antonio Giua,Report partita,
30,23-01-2022,20:45,Serie A,Giornata n. 23,Dom,Ospiti,N,0,0,Milan,0.4,0.6,53,5.0,Giorgio Chiellini,4-4-2,Marco Di Bello,Report partita,
31,06-02-2022,20:45,Serie A,Giornata n. 24,Dom,Casa,V,2,0,Hellas Verona,1.2,0.6,46,17.016,Giorgio Chiellini,4-3-3,Luca Massimi,Report partita,
33,13-02-2022,20:45,Serie A,Giornata n. 25,Dom,Ospiti,N,1,1,Atalanta,0.7,2.1,48,9.731,Paulo Dybala,4-3-3,Maurizio Mariani,Report partita,
34,18-02-2022,20:45,Serie A,Giornata n. 26,Ven,Casa,N,1,1,Torino,0.7,0.7,46,20.132,Paulo Dybala,4-3-2-1,Davide Massa,Report partita,
36,26-02-2022,18:00,Serie A,Giornata n. 27,Sab,Ospiti,V,3,2,Empoli,2.1,1.3,47,11.89,Leonardo Bonucci,4-4-2,Fabio Maresca,Report partita,
38,06-03-2022,18:00,Serie A,Giornata n. 28,Dom,Casa,V,1,0,Spezia,1.5,0.7,56,26.475,Juan Cuadrado,4-4-2,Francesco Fourneau,Report partita,
39,12-03-2022,18:00,Serie A,Giornata n. 29,Sab,Ospiti,V,3,1,Sampdoria,1.1,1.7,51,16.644,Juan Cuadrado,4-4-2,Paolo Valeri,Report partita,
41,20-03-2022,15:00,Serie A,Giornata n. 30,Dom,Casa,V,2,0,Salernitana,1.5,0.5,56,29.186,Giorgio Chiellini,4-4-2,Giovanni Ayroldi,Report partita,
42,03-04-2022,20:45,Serie A,Giornata n. 31,Dom,Casa,P,0,1,Inter,1.7,1.2,54,40.093,Giorgio Chiellini,4-2-3-1,Massimiliano Irrati,Report partita,
43,09-04-2022,20:45,Serie A,Giornata n. 32,Sab,Ospiti,V,2,1,Cagliari,1.5,0.1,59,13.437,Giorgio Chiellini,4-4-2,Daniele Chiffi,Report partita,
44,16-04-2022,18:30,Serie A,Giornata n. 33,Sab,Casa,N,1,1,Bologna,2.0,1.2,51,36.107,Giorgio Chiellini,4-3-3,Juan Sacchi,Report partita,
46,25-04-2022,20:45,Serie A,Giornata n. 34,Lun,Ospiti,V,2,1,Sassuolo,1.2,1.4,38,20.0,Paulo Dybala,4-4-2,Fabio Maresca,Report partita,
47,01-05-2022,12:30,Serie A,Giornata n. 35,Dom,Casa,V,2,1,Venezia,2.2,0.6,50,39.203,Leonardo Bonucci,3-5-2,Alessandro Prontera,Report partita,
48,06-05-2022,21:00,Serie A,Giornata n. 36,Ven,Ospiti,P,1,2,Genoa,1.4,2.7,53,18.762,Paulo Dybala,4-3-3,Simone Sozza,Report partita,
50,16-05-2022,20:45,Serie A,Giornata n. 37,Lun,Casa,N,2,2,Lazio,0.8,1.1,37,40.515,Giorgio Chiellini,4-2-3-1,Giovanni Ayroldi,Report partita,
51,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Ospiti,P,0,2,Fiorentina,0.1,1.5,34,34.831,Giorgio Chiellini,3-5-2,Daniele Chiffi,Report partita,
