,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
0,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Casa,V,2,0,Venezia,2.3,0.5,56,20.0,Lorenzo Insigne,4-3-3,Gianluca Aureliano,Report partita,
1,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Ospiti,V,2,1,Genoa,1.1,0.6,61,20.0,Lorenzo Insigne,4-3-3,Marco Di Bello,Report partita,
2,11-09-2021,18:00,Serie A,Giornata n. 3,Sab,Casa,V,2,1,Juventus,2.1,1.0,67,23.5,Lorenzo Insigne,4-3-3,Massimiliano Irrati,Report partita,
4,20-09-2021,20:45,Serie A,Giornata n. 4,Lun,Ospiti,V,4,0,Udinese,2.4,0.3,63,11.484,Lorenzo Insigne,4-3-3,Gianluca Manganiello,Report partita,
5,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Ospiti,V,4,0,Sampdoria,2.2,0.6,52,4.596,Lorenzo Insigne,4-3-3,Paolo Valeri,Report partita,
6,26-09-2021,20:45,Serie A,Giornata n. 6,Dom,Casa,V,2,0,Cagliari,1.8,0.2,67,20.0,Lorenzo Insigne,4-3-3,Marco Piccinini,Report partita,
8,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Ospiti,V,2,1,Fiorentina,1.7,0.7,45,15.264,Lorenzo Insigne,4-2-3-1,Simone Sozza,Report partita,
9,17-10-2021,18:00,Serie A,Giornata n. 8,Dom,Casa,V,1,0,Torino,1.6,0.9,51,27.579,Lorenzo Insigne,4-2-3-1,Juan Sacchi,Report partita,
11,24-10-2021,18:00,Serie A,Giornata n. 9,Dom,Ospiti,N,0,0,Roma,0.9,1.3,62,47.801,Lorenzo Insigne,4-2-3-1,Davide Massa,Report partita,
12,28-10-2021,20:45,Serie A,Giornata n. 10,Gio,Casa,V,3,0,Bologna,2.6,0.2,65,20.0,Lorenzo Insigne,4-2-3-1,Marco Serra,Report partita,
13,31-10-2021,18:00,Serie A,Giornata n. 11,Dom,Ospiti,V,1,0,Salernitana,1.4,0.7,62,17.043,Kalidou Koulibaly,4-2-3-1,Michael Fabbri,Report partita,
15,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Casa,N,1,1,Hellas Verona,0.8,1.0,58,28.0,Lorenzo Insigne,4-2-3-1,Giovanni Ayroldi,Report partita,
16,21-11-2021,18:00,Serie A,Giornata n. 13,Dom,Ospiti,P,2,3,Inter,1.1,1.9,56,56.649,Lorenzo Insigne,4-2-3-1,Paolo Valeri,Report partita,
