,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Ospiti,P,2,3,Bologna,1.6,1.5,28,8.375,Milan Đurić,3-5-2,Antonio Rapuano,Report partita,
2,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Casa,P,0,4,Roma,0.3,1.9,23,12.5,Francesco Di Tacchio,3-4-3,Rosario Abisso,Report partita,
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Ospiti,P,0,4,Torino,0.2,1.9,40,9.082,Francesco Di Tacchio,3-5-2,Gianluca Aureliano,Report partita,
4,18-09-2021,20:45,Serie A,Giornata n. 4,Sab,Casa,P,0,1,Atalanta,0.9,1.4,43,11.949,Milan Đurić,3-4-1-2,Paolo Valeri,Report partita,
5,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Casa,N,2,2,Hellas Verona,2.7,1.7,50,9.561,Norbert Gyömbér,3-4-1-2,Massimiliano Irrati,Report partita,
6,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Ospiti,P,0,1,Sassuolo,0.9,1.3,43,5.177,Francesco Di Tacchio,4-4-2◆,Antonio Giua,Report partita,
7,02-10-2021,15:00,Serie A,Giornata n. 7,Sab,Casa,V,1,0,Genoa,0.5,1.9,50,10.077,Norbert Gyömbér,4-4-2◆,Maurizio Mariani,Report partita,
8,16-10-2021,15:00,Serie A,Giornata n. 8,Sab,Ospiti,P,1,2,Spezia,1.7,1.6,41,6.023,Francesco Di Tacchio,4-4-2◆,Davide Massa,Report partita,
9,23-10-2021,15:00,Serie A,Giornata n. 9,Sab,Casa,P,2,4,Empoli,1.0,2.2,59,11.142,Francesco Di Tacchio,3-4-1-2,Daniele Doveri,Report partita,
10,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Ospiti,V,2,1,Venezia,1.3,0.5,55,5.103,Franck Ribéry,4-3-3,Marco Di Bello,Report partita,
11,31-10-2021,18:00,Serie A,Giornata n. 11,Dom,Casa,P,0,1,Napoli,0.7,1.4,38,17.043,Franck Ribéry,4-4-2◆,Michael Fabbri,Report partita,
12,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Ospiti,P,0,3,Lazio,0.5,2.1,40,25.0,Franck Ribéry,4-4-2◆,Antonio Rapuano,Report partita,
