,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,23-08-2021,18:30,Serie A,Giornata n. 1,Lun,Ospiti,N,2,2,Cagliari,0.8,2.7,41,5.387,Giulio Maggiore,3-4-3,Francesco Fourneau,Report partita,
2,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Ospiti,P,1,6,Lazio,0.7,3.2,39,20.0,Giulio Maggiore,3-4-3,Federico Dionisi,Report partita,
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Casa,P,0,1,Udinese,1.3,0.8,56,5.162,Giulio Maggiore,4-3-3,Marco Guida,Report partita,
4,19-09-2021,15:00,Serie A,Giornata n. 4,Dom,Ospiti,V,2,1,Venezia,0.5,0.9,55,3.688,Giulio Maggiore,4-3-3,Rosario Abisso,Report partita,
5,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Casa,P,2,3,Juventus,0.7,2.3,41,5.7,Giulio Maggiore,4-2-3-1,Gianluca Aureliano,Report partita,
6,25-09-2021,15:00,Serie A,Giornata n. 6,Sab,Casa,P,1,2,Milan,0.9,1.9,36,3.618,Giulio Maggiore,4-1-4-1,Gianluca Manganiello,Report partita,
7,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Ospiti,P,0,4,Hellas Verona,1.4,0.4,55,8.398,Emmanuel Gyasi,4-2-3-1,Giacomo Camplone,Report partita,
8,16-10-2021,15:00,Serie A,Giornata n. 8,Sab,Casa,V,2,1,Salernitana,1.6,1.7,59,6.023,Giulio Maggiore,4-2-3-1,Davide Massa,Report partita,
9,22-10-2021,20:45,Serie A,Giornata n. 9,Ven,Ospiti,P,1,2,Sampdoria,0.9,0.9,70,7.493,Giulio Maggiore,4-2-3-1,Michael Fabbri,Report partita,
10,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Casa,N,1,1,Genoa,2.0,1.2,47,7.283,Giulio Maggiore,4-2-3-1,Simone Sozza,Report partita,
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Ospiti,P,0,3,Fiorentina,0.1,3.3,45,19.511,Giulio Maggiore,4-2-3-1,Antonio Giua,Report partita,
12,06-11-2021,15:00,Serie A,Giornata n. 12,Sab,Casa,V,1,0,Torino,0.6,0.9,41,6.953,Giulio Maggiore,4-2-3-1,Daniele Orsato,Report partita,
13,20-11-2021,15:00,Serie A,Giornata n. 13,Sab,Ospiti,P,2,5,Atalanta,1.0,2.5,50,10.744,Giulio Maggiore,3-5-1-1,Rosario Abisso,Report partita,
14,28-11-2021,15:00,Serie A,Giornata n. 14,Dom,Casa,P,0,1,Bologna,1.1,2.4,43,6.265,Giulio Maggiore,4-3-3,Luca Massimi,Report partita,
15,01-12-2021,18:30,Serie A,Giornata n. 15,Mer,Ospiti,P,0,2,Inter,0.4,2.8,37,30.076,Emmanuel Gyasi,3-5-2,Davide Ghersini,Report partita,
16,05-12-2021,15:00,Serie A,Giornata n. 16,Dom,Casa,N,2,2,Sassuolo,2.2,1.4,35,4.987,Giulio Maggiore,3-5-2,Fabio Maresca,Report partita,
17,13-12-2021,20:45,Serie A,Giornata n. 17,Lun,Ospiti,P,0,2,Roma,0.5,1.9,48,44.844,Giulio Maggiore,3-5-2,Alessandro Prontera,Report partita,
19,19-12-2021,15:00,Serie A,Giornata n. 18,Dom,Casa,N,1,1,Empoli,0.6,1.8,34,5.414,Giulio Maggiore,3-5-2,Manuel Volpi,Report partita,
20,22-12-2021,20:45,Serie A,Giornata n. 19,Mer,Ospiti,V,1,0,Napoli,0.3,2.0,35,25.0,Giulio Maggiore,3-5-2,Luca Massimi,Report partita,
21,06-01-2022,14:30,Serie A,Giornata n. 20,Gio,Casa,P,1,2,Hellas Verona,0.9,1.9,40,3.25,Giulio Maggiore,4-1-4-1,Maurizio Mariani,Report partita,
22,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Ospiti,V,1,0,Genoa,1.5,1.0,46,8.0,Giulio Maggiore,4-3-3,Marco Guida,Report partita,
23,17-01-2022,18:30,Serie A,Giornata n. 22,Lun,Ospiti,V,2,1,Milan,1.4,2.5,40,5.0,Giulio Maggiore,4-3-3,Marco Serra,Report partita,
24,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Casa,V,1,0,Sampdoria,0.4,0.4,40,5.0,Emmanuel Gyasi,4-1-4-1,Gianluca Manganiello,Report partita,
25,07-02-2022,20:45,Serie A,Giornata n. 24,Lun,Ospiti,N,2,2,Salernitana,1.9,0.4,44,10.668,Giulio Maggiore,4-2-3-1,Paolo Valeri,Report partita,
26,14-02-2022,20:45,Serie A,Giornata n. 25,Lun,Casa,P,1,2,Fiorentina,0.7,2.2,33,5.4,Giulio Maggiore,4-2-3-1,Matteo Marchetti,Report partita,
27,21-02-2022,21:00,Serie A,Giornata n. 26,Lun,Ospiti,P,1,2,Bologna,0.5,1.9,39,12.05,Giulio Maggiore,4-2-3-1,Livio Marinelli,Report partita,
28,27-02-2022,18:05,Serie A,Giornata n. 27,Dom,Casa,P,0,1,Roma,0.3,3.5,36,8.107,Simone Bastoni,4-3-3,Michael Fabbri,Report partita,
29,06-03-2022,18:00,Serie A,Giornata n. 28,Dom,Ospiti,P,0,1,Juventus,0.7,1.5,44,26.475,Giulio Maggiore,4-2-3-1,Francesco Fourneau,Report partita,
30,12-03-2022,15:00,Serie A,Giornata n. 29,Sab,Casa,V,2,0,Cagliari,2.2,0.6,43,7.18,Giulio Maggiore,4-3-3,Daniele Orsato,Report partita,
31,18-03-2022,18:45,Serie A,Giornata n. 30,Ven,Ospiti,P,1,4,Sassuolo,0.5,2.0,42,6.13,Giulio Maggiore,4-3-2-1,Manuel Volpi,Report partita,
32,02-04-2022,15:00,Serie A,Giornata n. 31,Sab,Casa,V,1,0,Venezia,1.2,1.0,53,7.993,Giulio Maggiore,4-3-3,Daniele Doveri,Report partita,
33,09-04-2022,15:00,Serie A,Giornata n. 32,Sab,Ospiti,N,0,0,Empoli,0.7,1.0,43,5.265,Giulio Maggiore,4-2-3-1,Giovanni Ayroldi,Report partita,
34,15-04-2022,19:00,Serie A,Giornata n. 33,Ven,Casa,P,1,3,Inter,0.9,2.5,34,11.382,Giulio Maggiore,4-2-3-1,Fabio Maresca,Report partita,
35,23-04-2022,15:00,Serie A,Giornata n. 34,Sab,Ospiti,P,1,2,Torino,1.0,2.3,45,8.333,Emmanuel Gyasi,3-4-3,Davide Ghersini,Report partita,
36,30-04-2022,20:45,Serie A,Giornata n. 35,Sab,Casa,P,3,4,Lazio,1.6,3.5,30,8.75,Giulio Maggiore,4-2-3-1,Luca Pairetto,Report partita,
37,08-05-2022,12:30,Serie A,Giornata n. 36,Dom,Casa,P,1,3,Atalanta,1.0,2.1,34,9.0,Giulio Maggiore,4-4-2,Fabio Maresca,Report partita,
38,14-05-2022,18:00,Serie A,Giornata n. 37,Sab,Ospiti,V,3,2,Udinese,2.2,1.4,39,20.95,Giulio Maggiore,4-2-3-1,Gianluca Aureliano,Report partita,
39,22-05-2022,12:30,Serie A,Giornata n. 38,Dom,Casa,P,0,3,Napoli,2.0,1.0,32,10.0,Giulio Maggiore,4-2-3-1,Matteo Marchetti,Report partita,
