,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Casa,P,1,2,Atalanta,1.3,1.0,47,3.475,Rolando Mandragora,3-4-3,Daniele Chiffi,Report partita,
2,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Ospiti,P,1,2,Fiorentina,0.5,0.6,41,12.592,Andrea Belotti,3-4-1-2,Maurizio Mariani,Report partita,
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Casa,V,4,0,Salernitana,1.9,0.2,60,9.082,Cristian Ansaldi,3-4-3,Gianluca Aureliano,Report partita,
4,17-09-2021,20:45,Serie A,Giornata n. 4,Ven,Ospiti,V,1,0,Sassuolo,2.0,0.6,48,20.0,Gleison Bremer,3-4-3,Marco Piccinini,Report partita,
5,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Casa,N,1,1,Lazio,1.1,0.9,45,8.646,Rolando Mandragora,3-4-3,Rosario Abisso,Report partita,
6,27-09-2021,20:45,Serie A,Giornata n. 6,Lun,Ospiti,N,1,1,Venezia,0.7,1.3,56,4.888,Cristian Ansaldi,3-4-3,Lorenzo Maggioni,Report partita,
7,02-10-2021,18:00,Serie A,Giornata n. 7,Sab,Casa,P,0,1,Juventus,1.0,0.9,48,12.073,Rolando Mandragora,3-4-3,Paolo Valeri,Report partita,
8,17-10-2021,18:00,Serie A,Giornata n. 8,Dom,Ospiti,P,0,1,Napoli,0.9,1.6,49,27.579,Rolando Mandragora,3-4-1-2,Juan Sacchi,Report partita,
9,22-10-2021,18:30,Serie A,Giornata n. 9,Ven,Casa,V,3,2,Genoa,1.5,1.8,58,9.881,Cristian Ansaldi,3-4-3,Piero Giacomelli,Report partita,
10,26-10-2021,20:45,Serie A,Giornata n. 10,Mar,Ospiti,P,0,1,Milan,0.8,0.9,56,35.929,Andrea Belotti,3-4-3,Gianluca Aureliano,Report partita,
11,30-10-2021,20:45,Serie A,Giornata n. 11,Sab,Casa,V,3,0,Sampdoria,2.1,0.2,63,13.137,Gleison Bremer,3-4-3,Francesco Fourneau,Report partita,
12,06-11-2021,15:00,Serie A,Giornata n. 12,Sab,Ospiti,P,0,1,Spezia,0.9,0.6,59,6.953,Andrea Belotti,3-4-3,Daniele Orsato,Report partita,
13,22-11-2021,20:45,Serie A,Giornata n. 13,Lun,Casa,V,2,1,Udinese,1.9,1.7,51,7.034,Andrea Belotti,3-4-3,Ivan Pezzuto,Report partita,
14,28-11-2021,18:00,Serie A,Giornata n. 14,Dom,Ospiti,P,0,1,Roma,1.2,0.9,68,46.728,Andrea Belotti,3-4-3,Daniele Chiffi,Report partita,
15,02-12-2021,18:30,Serie A,Giornata n. 15,Gio,Casa,N,2,2,Empoli,0.9,0.9,41,7.002,Gleison Bremer,3-4-3,Andrea Colombo,Report partita,
16,06-12-2021,20:45,Serie A,Giornata n. 16,Lun,Ospiti,N,1,1,Cagliari,1.4,1.2,48,8.799,Gleison Bremer,3-4-3,Luca Massimi,Report partita,
17,12-12-2021,12:30,Serie A,Giornata n. 17,Dom,Casa,V,2,1,Bologna,1.6,1.0,49,6.562,Gleison Bremer,3-4-3,Federico Dionisi,Report partita,
19,19-12-2021,18:00,Serie A,Giornata n. 18,Dom,Casa,V,1,0,Hellas Verona,0.8,0.4,66,6.202,Gleison Bremer,3-4-3,Michael Fabbri,Report partita,
20,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Ospiti,P,0,1,Inter,0.6,1.3,46,41.413,Gleison Bremer,3-4-3,Marco Guida,Report partita,
21,10-01-2022,17:00,Serie A,Giornata n. 21,Lun,Casa,V,4,0,Fiorentina,2.1,0.7,45,3.545,Rolando Mandragora,3-4-3,Livio Marinelli,Report partita,
22,15-01-2022,15:00,Serie A,Giornata n. 22,Sab,Ospiti,V,2,1,Sampdoria,1.6,1.3,63,2.549,Rolando Mandragora,3-4-3,Luca Massimi,Report partita,
23,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Casa,N,1,1,Sassuolo,2.6,0.4,50,5.0,Rolando Mandragora,3-4-3,Francesco Fourneau,Report partita,
24,06-02-2022,18:00,Serie A,Giornata n. 24,Dom,Ospiti,P,0,2,Udinese,0.6,1.3,58,9.837,Rolando Mandragora,3-4-3,Antonio Rapuano,Report partita,
25,12-02-2022,20:45,Serie A,Giornata n. 25,Sab,Casa,P,1,2,Venezia,0.7,0.4,67,6.681,Gleison Bremer,3-4-3,Antonio Giua,Report partita,
26,18-02-2022,20:45,Serie A,Giornata n. 26,Ven,Ospiti,N,1,1,Juventus,0.7,0.7,54,20.132,Andrea Belotti,3-4-3,Davide Massa,Report partita,
27,27-02-2022,12:35,Serie A,Giornata n. 27,Dom,Casa,P,1,2,Cagliari,0.8,1.9,57,10.231,Andrea Belotti,3-4-3,Manuel Volpi,Report partita,
28,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Ospiti,N,0,0,Bologna,1.2,0.3,48,17.575,Andrea Belotti,3-4-3,Luca Massimi,Report partita,
29,13-03-2022,20:45,Serie A,Giornata n. 29,Dom,Casa,N,1,1,Inter,1.7,2.3,44,15.363,Andrea Belotti,3-4-3,Marco Guida,Report partita,
30,18-03-2022,21:00,Serie A,Giornata n. 30,Ven,Ospiti,P,0,1,Genoa,1.0,1.0,74,14.961,Andrea Belotti,3-4-3,Maurizio Mariani,Report partita,
31,02-04-2022,20:45,Serie A,Giornata n. 31,Sab,Ospiti,V,1,0,Salernitana,1.6,0.8,47,8.65,Andrea Belotti,3-4-3,Marco Piccinini,Report partita,
32,10-04-2022,20:45,Serie A,Giornata n. 32,Dom,Casa,N,0,0,Milan,1.0,0.8,43,23.472,Andrea Belotti,3-4-3,Daniele Doveri,Report partita,
33,16-04-2022,20:45,Serie A,Giornata n. 33,Sab,Ospiti,N,1,1,Lazio,1.0,0.7,52,25.0,Andrea Belotti,3-4-1-2,Alessandro Prontera,Report partita,
34,23-04-2022,15:00,Serie A,Giornata n. 34,Sab,Casa,V,2,1,Spezia,2.3,1.0,55,8.333,Gleison Bremer,3-4-3,Davide Ghersini,Report partita,
35,27-04-2022,20:15,Serie A,Giornata n. 20,Mer,Ospiti,N,4,4,Atalanta,2.4,2.7,51,,Gleison Bremer,3-4-3,Rosario Abisso,Report partita,
36,01-05-2022,15:00,Serie A,Giornata n. 35,Dom,Ospiti,V,3,1,Empoli,2.4,0.7,61,8.416,Saša Lukić,3-4-3,Cosso Cosso,Report partita,
37,07-05-2022,15:00,Serie A,Giornata n. 36,Sab,Casa,P,0,1,Napoli,0.7,1.4,43,14.619,Andrea Belotti,3-4-3,Alessandro Prontera,Report partita,
38,14-05-2022,18:00,Serie A,Giornata n. 37,Sab,Ospiti,V,1,0,Hellas Verona,0.7,0.7,54,24.001,Andrea Belotti,3-4-3,Giacomo Camplone,Report partita,
39,20-05-2022,20:45,Serie A,Giornata n. 38,Ven,Casa,P,0,3,Roma,0.7,2.6,58,16.73,Andrea Belotti,3-4-3,Massimiliano Irrati,Report partita,
