,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Casa,V,3,2,Salernitana,1.5,1.6,72,8.375,Roberto Soriano,4-2-3-1,Antonio Rapuano,Report partita,,3,18,7,389,17,43.0,172.0,2.0,0,0,1.5,9.0,1.5,1.5
1,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Ospiti,N,0,0,Atalanta,0.3,1.0,41,7.912,Lorenzo De Silvestri,4-3-3,Daniele Orsato,Report partita,,0,4,1,250,0,0.0,139.0,0.0,0,0,0.3,7.0,-0.3,-0.3
2,13-09-2021,20:45,Serie A,Giornata n. 3,Lun,Casa,V,1,0,Hellas Verona,1.4,0.4,43,10.218,Roberto Soriano,4-2-3-1,Ivan Pezzuto,Report partita,,1,16,4,250,6,25.0,156.0,0.0,0,0,1.4,9.0,-0.4,-0.4
3,18-09-2021,18:00,Serie A,Giornata n. 4,Sab,Ospiti,P,1,6,Inter,0.5,3.1,54,35.278,Roberto Soriano,4-2-3-1,Giovanni Ayroldi,Report partita,,1,8,2,250,13,50.0,164.0,0.0,0,0,0.5,7.0,0.5,0.5
4,21-09-2021,18:30,Serie A,Giornata n. 5,Mar,Casa,N,2,2,Genoa,2.0,1.5,59,9.707,Roberto Soriano,4-2-3-1,Francesco Fourneau,Report partita,,2,16,4,250,6,25.0,145.0,1.0,1,1,1.2,8.0,0.0,-0.2
5,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Ospiti,P,2,4,Empoli,2.5,1.8,63,5.022,Roberto Soriano,4-2-3-1,Piero Giacomelli,Report partita,,2,20,5,250,10,40.0,149.0,0.0,0,1,1.7,9.0,-0.5,0.3
6,03-10-2021,12:30,Serie A,Giornata n. 7,Dom,Casa,V,3,0,Lazio,0.5,0.6,41,12.975,Roberto Soriano,3-4-3,Davide Massa,Report partita,,3,10,3,300,30,100.0,174.0,0.0,0,0,0.5,5.0,2.5,2.5
7,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Ospiti,N,1,1,Udinese,1.7,1.0,59,10.627,Roberto Soriano,3-4-3,Rosario Abisso,Report partita,,1,24,11,458,4,9.0,190.0,1.0,0,0,1.7,7.0,-0.7,-0.7
8,23-10-2021,20:45,Serie A,Giornata n. 9,Sab,Casa,P,2,4,Milan,0.7,0.9,38,22.167,Roberto Soriano,3-4-3,Paolo Valeri,Report partita,,1,9,4,444,11,25.0,136.0,0.0,0,0,0.7,8.0,0.3,0.3
9,28-10-2021,20:45,Serie A,Giornata n. 10,Gio,Ospiti,P,0,3,Napoli,0.2,2.6,35,20.0,Lorenzo De Silvestri,3-4-3,Marco Serra,Report partita,,0,8,1,125,0,0.0,228.0,1.0,0,0,0.2,3.0,-0.2,-0.2
