,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Casa,P,1,3,Lazio,1.3,1.3,46,3.655,Simone Romagnoli,4-4-2◆,Simone Sozza,Report partita,,1,17,4,235,6,25,174.0,0.0,0,0,1.3,8.0,-0.3,-0.3
1,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Ospiti,V,1,0,Juventus,0.8,1.5,46,17.584,Leonardo Mancuso,4-4-2◆,Davide Ghersini,Report partita,,1,12,3,250,8,33,173.0,0.0,0,0,0.8,7.0,0.2,0.2
2,11-09-2021,15:00,Serie A,Giornata n. 3,Sab,Casa,P,1,2,Venezia,1.9,1.7,69,2.511,Leonardo Mancuso,4-4-2◆,Antonio Rapuano,Report partita,,1,21,5,238,0,0,185.0,2.0,1,1,1.2,6.0,-0.9,-1.2
3,19-09-2021,12:30,Serie A,Giornata n. 4,Dom,Casa,P,0,3,Sampdoria,1.6,1.8,53,3.064,Leonardo Mancuso,4-4-2◆,Maurizio Mariani,Report partita,,0,15,4,267,0,0,189.0,1.0,0,0,1.6,11.0,-1.6,-1.6
4,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Ospiti,V,2,0,Cagliari,1.1,1.1,51,7.226,Simone Romagnoli,4-4-2◆,Marco Di Bello,Report partita,,2,18,5,278,11,40,205.0,0.0,0,0,1.1,6.0,0.9,0.9
5,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Casa,V,4,2,Bologna,1.8,2.5,37,5.022,Simone Romagnoli,4-4-2◆,Piero Giacomelli,Report partita,,3,14,6,429,14,33,166.0,1.0,1,1,1.1,8.0,1.2,0.9
6,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Ospiti,P,0,2,Roma,0.6,1.3,36,31.946,Simone Romagnoli,4-4-2◆,Giovanni Ayroldi,Report partita,,0,12,3,250,0,0,170.0,0.0,0,0,0.6,5.0,-0.6,-0.6
7,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Casa,P,1,4,Atalanta,0.7,4.2,48,6.214,Simone Romagnoli,4-3-3,Marco Serra,Report partita,,1,13,4,308,8,25,188.0,1.0,0,0,0.7,5.0,0.3,0.3
8,23-10-2021,15:00,Serie A,Giornata n. 9,Sab,Ospiti,V,4,2,Salernitana,2.2,1.0,41,11.142,Filippo Bandinelli,4-4-2◆,Daniele Doveri,Report partita,,3,9,4,444,22,50,153.0,0.0,1,1,1.5,16.0,0.8,0.5
9,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Casa,P,0,2,Inter,0.6,2.0,31,9.335,Filippo Bandinelli,4-4-2◆,Daniele Chiffi,Report partita,,0,9,1,111,0,0,170.0,1.0,0,0,0.6,6.0,-0.6,-0.6
