,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Ospiti,P,1,3,Roma,1.2,2.7,58,26.997,Cristiano Biraghi,4-3-3,Luca Pairetto,Report partita,,1,11,8,727,9,13.0,155.0,0.0,0,0,1.2,11.0,-0.2,-0.2
1,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Casa,V,2,1,Torino,0.6,0.5,59,12.592,Cristiano Biraghi,4-3-3,Maurizio Mariani,Report partita,,2,9,6,667,22,33.0,178.0,0.0,0,0,0.6,7.0,1.4,1.4
2,11-09-2021,20:45,Serie A,Giornata n. 3,Sab,Ospiti,V,2,1,Atalanta,1.7,2.5,45,9.162,Cristiano Biraghi,4-3-3,Valerio Marini,Report partita,,2,5,0,0,0,,220.0,0.0,2,2,0.2,4.0,0.3,-0.2
3,18-09-2021,15:00,Serie A,Giornata n. 4,Sab,Ospiti,V,2,1,Genoa,0.9,1.0,63,6.269,Cristiano Biraghi,4-3-3,Livio Marinelli,Report partita,,2,16,5,313,13,40.0,187.0,1.0,0,0,0.9,6.0,1.1,1.1
4,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Casa,P,1,3,Inter,1.4,2.8,53,15.927,Cristiano Biraghi,4-3-3,Michael Fabbri,Report partita,,1,14,6,429,7,17.0,207.0,0.0,0,0,1.4,10.0,-0.4,-0.4
5,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Ospiti,V,1,0,Udinese,1.1,0.6,54,7.208,Cristiano Biraghi,4-3-3,Davide Ghersini,Report partita,,1,7,1,143,0,0.0,219.0,0.0,1,1,0.5,7.0,-0.1,-0.5
6,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Casa,P,1,2,Napoli,0.7,1.7,55,15.264,Cristiano Biraghi,4-4-2,Simone Sozza,Report partita,,1,10,3,300,10,33.0,158.0,0.0,0,0,0.7,7.0,0.3,0.3
7,18-10-2021,20:45,Serie A,Giornata n. 8,Lun,Ospiti,P,0,1,Venezia,0.5,1.0,61,8.043,Cristiano Biraghi,4-3-3,Luca Massimi,Report partita,,0,11,3,273,0,0.0,187.0,1.0,0,0,0.5,4.0,-0.5,-0.5
8,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Casa,V,3,0,Cagliari,3.1,0.2,65,20.29,Cristiano Biraghi,4-3-3,Antonio Rapuano,Report partita,,3,20,4,200,10,50.0,192.0,2.0,1,1,2.4,12.0,-0.1,-0.4
9,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Ospiti,P,0,1,Lazio,0.6,0.6,51,7.0,Cristiano Biraghi,4-3-3,Giovanni Ayroldi,Report partita,,0,9,1,111,0,0.0,135.0,0.0,0,0,0.6,6.0,-0.6,-0.6
10,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Casa,V,3,0,Spezia,3.3,0.1,55,19.511,Cristiano Biraghi,4-3-3,Antonio Giua,Report partita,,3,26,11,423,8,18.0,175.0,1.0,1,1,2.6,10.0,-0.3,-0.6
11,06-11-2021,18:00,Serie A,Giornata n. 12,Sab,Ospiti,P,0,1,Juventus,0.5,0.7,50,6.953,Cristiano Biraghi,4-3-3,Simone Sozza,Report partita,,0,6,1,167,0,0.0,111.0,0.0,0,0,0.5,8.0,-0.5,-0.5
12,20-11-2021,20:45,Serie A,Giornata n. 13,Sab,Casa,V,4,3,Milan,1.8,2.1,45,32.567,Cristiano Biraghi,4-3-3,Marco Guida,Report partita,,4,9,5,556,44,80.0,137.0,0.0,0,0,1.8,20.0,2.2,2.2
13,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Ospiti,P,1,2,Empoli,2.4,1.9,49,7.878,Cristiano Biraghi,4-3-3,Juan Sacchi,Report partita,,1,16,7,438,6,14.0,156.0,1.0,0,0,2.4,15.0,-1.4,-1.4
14,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Casa,V,3,1,Sampdoria,2.7,0.7,60,17.913,Cristiano Biraghi,4-3-3,Federico Dionisi,Report partita,,3,17,7,412,18,43.0,167.0,3.0,0,0,2.7,16.0,0.3,0.3
15,05-12-2021,12:30,Serie A,Giornata n. 16,Dom,Ospiti,V,3,2,Bologna,1.1,0.7,63,18.175,Cristiano Biraghi,4-3-3,Massimiliano Irrati,Report partita,,3,5,2,400,40,100.0,230.0,1.0,1,1,0.4,7.0,1.9,1.6
16,11-12-2021,15:00,Serie A,Giornata n. 17,Sab,Casa,V,4,0,Salernitana,2.2,1.0,70,18.579,Cristiano Biraghi,4-3-3,Davide Ghersini,Report partita,,4,17,9,529,24,44.0,129.0,1.0,0,0,2.2,14.0,1.8,1.8
17,19-12-2021,12:30,Serie A,Giornata n. 18,Dom,Casa,N,2,2,Sassuolo,3.2,1.1,57,21.514,Cristiano Biraghi,4-3-3,Marco Serra,Report partita,,2,23,8,348,9,25.0,134.0,1.0,0,0,3.2,15.0,-1.2,-1.2
18,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Ospiti,N,1,1,Hellas Verona,1.0,1.1,60,14.001,Lorenzo Venuti,4-3-3,Daniele Doveri,Report partita,,1,11,1,91,9,100.0,148.0,0.0,0,0,1.0,9.0,0.0,0.0
19,10-01-2022,17:00,Serie A,Giornata n. 21,Lun,Ospiti,P,0,4,Torino,0.7,2.1,55,3.545,Cristiano Biraghi,4-3-3,Livio Marinelli,Report partita,,0,11,4,364,0,0.0,165.0,0.0,0,0,0.7,7.0,-0.7,-0.7
20,17-01-2022,20:45,Serie A,Giornata n. 22,Lun,Casa,V,6,0,Genoa,3.1,0.2,73,5.0,Cristiano Biraghi,4-3-3,Fabio Maresca,Report partita,,6,21,11,524,29,55.0,168.0,2.0,0,1,2.3,12.0,2.9,3.7
21,23-01-2022,12:30,Serie A,Giornata n. 23,Dom,Ospiti,N,1,1,Cagliari,1.9,1.4,59,5.0,Cristiano Biraghi,4-3-3,Gianluca Aureliano,Report partita,,1,14,5,357,7,20.0,179.0,0.0,0,1,1.1,8.0,-0.9,-0.1
22,05-02-2022,20:45,Serie A,Giornata n. 24,Sab,Casa,P,0,3,Lazio,0.8,2.7,50,17.181,Cristiano Biraghi,4-3-3,Daniele Orsato,Report partita,,0,9,3,333,0,0.0,156.0,0.0,0,0,0.8,9.0,-0.8,-0.8
23,14-02-2022,20:45,Serie A,Giornata n. 25,Lun,Ospiti,V,2,1,Spezia,2.2,0.7,67,5.4,Cristiano Biraghi,4-3-3,Matteo Marchetti,Report partita,,2,20,4,200,10,50.0,214.0,1.0,0,1,1.5,7.0,-0.2,0.5
24,20-02-2022,12:30,Serie A,Giornata n. 26,Dom,Casa,V,1,0,Atalanta,0.6,0.5,49,18.056,Cristiano Biraghi,4-3-3,Daniele Doveri,Report partita,,1,6,3,500,17,33.0,154.0,1.0,0,0,0.6,11.0,0.4,0.4
25,26-02-2022,20:45,Serie A,Giornata n. 27,Sab,Ospiti,P,1,2,Sassuolo,2.1,1.5,51,8.952,Cristiano Biraghi,4-3-3,Alessandro Prontera,Report partita,,1,15,6,400,7,17.0,157.0,2.0,0,0,2.1,14.0,-1.1,-1.1
26,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Casa,N,1,1,Hellas Verona,1.4,1.3,50,23.491,Cristiano Biraghi,4-3-3,Gianluca Manganiello,Report partita,,1,8,2,250,13,50.0,122.0,1.0,0,0,1.4,17.0,-0.4,-0.4
27,13-03-2022,12:30,Serie A,Giornata n. 29,Dom,Casa,V,1,0,Bologna,1.9,1.1,61,22.635,Giacomo Bonaventura,4-3-3,Juan Sacchi,Report partita,,1,14,5,357,7,20.0,159.0,1.0,0,0,1.9,18.0,-0.9,-0.9
28,19-03-2022,18:00,Serie A,Giornata n. 30,Sab,Ospiti,N,1,1,Inter,1.0,1.0,50,54.988,Cristiano Biraghi,4-3-3,Daniele Chiffi,Report partita,,1,17,4,235,6,25.0,180.0,0.0,0,0,1.0,6.0,0.0,0.0
29,03-04-2022,12:30,Serie A,Giornata n. 31,Dom,Casa,V,1,0,Empoli,1.5,0.1,61,22.407,Cristiano Biraghi,4-3-3,Luca Massimi,Report partita,,1,24,11,458,4,9.0,166.0,0.0,0,0,1.5,6.0,-0.5,-0.5
30,10-04-2022,15:00,Serie A,Giornata n. 32,Dom,Ospiti,V,3,2,Napoli,0.5,1.1,50,50.0,Cristiano Biraghi,4-3-3,Maurizio Mariani,Report partita,,3,11,4,364,27,75.0,182.0,0.0,0,0,0.5,5.0,2.5,2.5
31,16-04-2022,16:30,Serie A,Giornata n. 33,Sab,Casa,V,1,0,Venezia,2.6,0.1,69,31.627,Cristiano Biraghi,4-3-3,Rosario Abisso,Report partita,,1,22,5,227,5,20.0,138.0,3.0,0,0,2.6,14.0,-1.6,-1.6
32,24-04-2022,12:30,Serie A,Giornata n. 34,Dom,Ospiti,P,1,2,Salernitana,1.0,1.0,72,20.92,Cristiano Biraghi,4-3-3,Davide Massa,Report partita,,1,8,3,375,13,33.0,119.0,0.0,0,0,1.0,13.0,0.0,0.0
