,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Ospiti,P,0,4,Inter,1.0,1.5,41,27.402,Domenico Criscito,3-4-1-2,Valerio Marini,Report partita,,0,10,4,400.0,0.0,0.0,205.0,1.0,0,0,1.0,10.0,-1.0,-1.0
1,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Casa,P,1,2,Napoli,0.6,1.1,39,20.0,Domenico Criscito,3-5-2,Marco Di Bello,Report partita,,1,6,3,500.0,17.0,33.0,148.0,0.0,0,0,0.6,11.0,0.4,0.4
2,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Ospiti,V,3,2,Cagliari,1.1,1.4,47,6.423,Domenico Criscito,3-5-2,Luca Pairetto,Report partita,,3,11,3,273.0,27.0,100.0,170.0,0.0,0,0,1.1,10.0,1.9,1.9
3,18-09-2021,15:00,Serie A,Giornata n. 4,Sab,Casa,P,1,2,Fiorentina,1.0,0.9,37,6.269,Domenico Criscito,4-2-3-1,Livio Marinelli,Report partita,,1,8,2,250.0,0.0,0.0,253.0,1.0,1,1,0.3,4.0,0.0,-0.3
4,21-09-2021,18:30,Serie A,Giornata n. 5,Mar,Ospiti,N,2,2,Bologna,1.5,2.0,41,9.707,Domenico Criscito,4-2-3-1,Francesco Fourneau,Report partita,,2,10,5,500.0,10.0,20.0,186.0,0.0,1,1,0.8,8.0,0.5,0.2
5,25-09-2021,20:45,Serie A,Giornata n. 6,Sab,Casa,N,3,3,Hellas Verona,1.6,2.2,49,13.478,Domenico Criscito,4-2-3-1,Daniele Doveri,Report partita,,3,10,3,300.0,20.0,67.0,211.0,0.0,1,1,0.8,8.0,1.4,1.2
6,02-10-2021,15:00,Serie A,Giornata n. 7,Sab,Ospiti,P,0,1,Salernitana,1.9,0.5,50,10.077,Domenico Criscito,3-5-2,Maurizio Mariani,Report partita,,0,18,3,167.0,0.0,0.0,167.0,1.0,0,0,1.9,11.0,-1.9,-1.9
7,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Casa,N,2,2,Sassuolo,1.3,2.0,43,10.37,Domenico Criscito,3-5-2,Daniele Chiffi,Report partita,,2,19,4,211.0,11.0,50.0,150.0,0.0,0,0,1.3,7.0,0.7,0.7
8,22-10-2021,18:30,Serie A,Giornata n. 9,Ven,Ospiti,P,2,3,Torino,1.8,1.5,42,9.881,Domenico Criscito,4-4-1-1,Piero Giacomelli,Report partita,,2,14,4,286.0,14.0,50.0,160.0,1.0,0,0,1.8,13.0,0.2,0.2
9,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Ospiti,N,1,1,Spezia,1.2,2.0,53,7.283,Domenico Criscito,4-1-4-1,Simone Sozza,Report partita,,1,8,1,125.0,0.0,0.0,213.0,0.0,1,1,0.4,5.0,-0.2,-0.4
