,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Casa,P,2,3,Sassuolo,2.1,1.4,40,5.448,Miguel Veloso,3-4-3,Manuel Volpi,Report partita,,2,14,3,214,7,33.0,149.0,1.0,1,1,1.4,10.0,-0.1,-0.4
1,27-08-2021,20:45,Serie A,Giornata n. 2,Ven,Casa,P,1,3,Inter,0.8,1.6,43,11.214,Davide Faraoni,3-4-3,Gianluca Manganiello,Report partita,,1,8,1,125,13,100.0,146.0,0.0,0,0,0.8,10.0,0.2,0.2
2,13-09-2021,20:45,Serie A,Giornata n. 3,Lun,Ospiti,P,0,1,Bologna,0.4,1.4,57,10.218,Davide Faraoni,3-4-3,Ivan Pezzuto,Report partita,,0,5,0,0,0,,155.0,0.0,0,0,0.4,7.0,-0.4,-0.4
3,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Casa,V,3,2,Roma,1.1,0.8,53,10.148,Davide Faraoni,3-4-3,Fabio Maresca,Report partita,,3,10,6,600,30,50.0,192.0,0.0,0,0,1.1,11.0,1.9,1.9
4,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Ospiti,N,2,2,Salernitana,1.7,2.7,50,9.561,Davide Faraoni,3-4-3,Massimiliano Irrati,Report partita,,2,9,5,556,22,40.0,152.0,1.0,0,0,1.7,19.0,0.3,0.3
5,25-09-2021,20:45,Serie A,Giornata n. 6,Sab,Ospiti,N,3,3,Genoa,2.2,1.6,51,13.478,Davide Faraoni,3-4-3,Daniele Doveri,Report partita,,3,11,6,545,18,33.0,177.0,1.0,1,1,1.5,13.0,0.8,0.5
6,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Casa,V,4,0,Spezia,0.4,1.4,45,8.398,Davide Faraoni,3-4-3,Giacomo Camplone,Report partita,,4,6,4,667,67,100.0,184.0,0.0,0,0,0.4,7.0,3.6,3.6
7,16-10-2021,20:45,Serie A,Giornata n. 8,Sab,Ospiti,P,2,3,Milan,1.4,1.5,47,40.128,Davide Faraoni,3-4-3,Alessandro Prontera,Report partita,,2,9,4,444,11,25.0,152.0,0.0,1,1,0.7,8.0,0.6,0.3
8,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Casa,V,4,1,Lazio,2.8,0.9,49,13.953,Miguel Veloso,3-4-3,Marco Piccinini,Report partita,,4,16,7,438,25,57.0,149.0,0.0,0,0,2.8,17.0,1.2,1.2
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Ospiti,N,1,1,Udinese,0.8,1.2,66,8.751,Miguel Veloso,3-4-3,Matteo Marchetti,Report partita,,1,4,1,250,0,0.0,250.0,0.0,1,1,0.1,2.0,0.2,-0.1
10,30-10-2021,18:00,Serie A,Giornata n. 11,Sab,Casa,V,2,1,Juventus,1.6,0.9,45,22.314,Miguel Veloso,3-4-3,Livio Marinelli,Report partita,,2,12,5,417,17,40.0,171.0,0.0,0,0,1.6,16.0,0.4,0.4
11,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Ospiti,N,1,1,Napoli,1.0,0.8,42,28.0,Miguel Veloso,3-4-3,Giovanni Ayroldi,Report partita,,1,11,3,273,9,33.0,159.0,0.0,0,0,1.0,9.0,0.0,0.0
12,22-11-2021,18:30,Serie A,Giornata n. 13,Lun,Casa,V,2,1,Empoli,1.3,1.6,56,13.797,Miguel Veloso,3-4-3,Matteo Gariglio,Report partita,,2,22,4,182,9,50.0,167.0,1.0,0,0,1.3,6.0,0.7,0.7
13,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Ospiti,P,1,3,Sampdoria,0.9,0.8,58,6.813,Davide Faraoni,3-4-3,Lorenzo Maggioni,Report partita,,1,15,4,267,7,25.0,164.0,0.0,0,0,0.9,6.0,0.1,0.1
14,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Casa,N,0,0,Cagliari,1.8,0.6,68,12.188,Miguel Veloso,3-4-3,Matteo Marcenaro,Report partita,,0,15,6,400,0,0.0,172.0,1.0,0,0,1.8,12.0,-1.8,-1.8
15,05-12-2021,15:00,Serie A,Giornata n. 16,Dom,Ospiti,V,4,3,Venezia,1.9,1.8,56,7.608,Miguel Veloso,3-4-1-2,Alessandro Prontera,Report partita,,3,15,5,333,13,40.0,172.0,2.0,1,1,1.3,9.0,1.1,0.7
16,12-12-2021,15:00,Serie A,Giornata n. 17,Dom,Casa,P,1,2,Atalanta,1.1,1.7,53,15.0,Davide Faraoni,3-4-1-2,Juan Sacchi,Report partita,,1,19,3,158,5,33.0,149.0,0.0,0,0,1.1,6.0,-0.1,-0.1
17,19-12-2021,18:00,Serie A,Giornata n. 18,Dom,Ospiti,P,0,1,Torino,0.4,0.8,34,6.202,Miguel Veloso,3-4-3,Michael Fabbri,Report partita,,0,8,2,250,0,0.0,181.0,0.0,0,0,0.4,5.0,-0.4,-0.4
18,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Casa,N,1,1,Fiorentina,1.1,1.0,40,14.001,Miguel Veloso,3-4-3,Daniele Doveri,Report partita,,1,7,2,286,14,50.0,190.0,0.0,0,0,1.1,15.0,-0.1,-0.1
