,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Ospiti,N,2,2,Udinese,0.8,2.2,56,9.66,Paulo Dybala,4-4-2,Ivan Pezzuto,Report partita,,2,10,3,300,20,67.0,149.0,0.0,0,0,0.8,8.0,1.2,1.2
1,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Casa,P,0,1,Empoli,1.5,0.8,54,17.584,Paulo Dybala,4-4-2◆,Davide Ghersini,Report partita,,0,19,5,263,0,0.0,165.0,1.0,0,0,1.5,8.0,-1.5,-1.5
2,11-09-2021,18:00,Serie A,Giornata n. 3,Sab,Ospiti,P,1,2,Napoli,1.0,2.1,33,23.5,Giorgio Chiellini,4-3-3,Massimiliano Irrati,Report partita,,1,8,4,500,13,25.0,146.0,0.0,0,0,1.0,13.0,0.0,0.0
3,19-09-2021,20:45,Serie A,Giornata n. 4,Dom,Casa,N,1,1,Milan,1.0,0.7,44,18.785,Giorgio Chiellini,4-4-2,Daniele Doveri,Report partita,,1,9,4,444,11,25.0,146.0,0.0,0,0,1.0,11.0,0.0,0.0
4,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Ospiti,V,3,2,Spezia,2.3,0.7,59,5.7,Paulo Dybala,4-4-2,Gianluca Aureliano,Report partita,,3,26,9,346,12,33.0,172.0,2.0,0,0,2.3,9.0,0.7,0.7
5,26-09-2021,12:30,Serie A,Giornata n. 6,Dom,Casa,V,3,2,Sampdoria,2.4,0.4,50,15.381,Paulo Dybala,4-4-2,Giovanni Ayroldi,Report partita,,3,15,5,333,13,40.0,184.0,0.0,1,1,1.6,11.0,0.6,0.4
6,02-10-2021,18:00,Serie A,Giornata n. 7,Sab,Ospiti,V,1,0,Torino,0.9,1.0,52,12.073,Giorgio Chiellini,4-4-2,Paolo Valeri,Report partita,,1,10,3,300,10,33.0,173.0,0.0,0,0,0.9,9.0,0.1,0.1
7,17-10-2021,20:45,Serie A,Giornata n. 8,Dom,Casa,V,1,0,Roma,0.8,1.4,47,20.239,Giorgio Chiellini,4-4-2,Daniele Orsato,Report partita,,1,7,3,429,14,33.0,131.0,0.0,0,0,0.8,13.0,0.2,0.2
8,24-10-2021,20:45,Serie A,Giornata n. 9,Dom,Ospiti,N,1,1,Inter,1.8,0.8,51,56.532,Giorgio Chiellini,4-4-2,Maurizio Mariani,Report partita,,1,15,3,200,0,0.0,209.0,1.0,1,1,1.0,7.0,-0.8,-1.0
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Casa,P,1,2,Sassuolo,1.3,1.2,57,18.288,Paulo Dybala,4-4-2,Juan Sacchi,Report partita,,1,14,2,143,7,50.0,146.0,0.0,0,0,1.3,9.0,-0.3,-0.3
