,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Ospiti,V,3,1,Empoli,1.3,1.3,54,3.655,Ciro Immobile,4-3-3,Simone Sozza,Report partita,,3,7,3,429,29,67.0,144.0,0.0,1,1,0.5,8.0,1.7,1.5
1,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Casa,V,6,1,Spezia,3.2,0.7,61,20.0,Ciro Immobile,4-3-3,Federico Dionisi,Report partita,,6,17,9,529,35,67.0,176.0,1.0,0,1,2.5,15.0,2.8,3.5
2,12-09-2021,18:00,Serie A,Giornata n. 3,Dom,Ospiti,P,0,2,Milan,0.3,3.0,53,36.207,Ciro Immobile,4-3-3,Daniele Chiffi,Report partita,,0,8,5,625,0,0.0,197.0,0.0,0,0,0.3,3.0,-0.3,-0.3
3,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Casa,N,2,2,Cagliari,2.1,1.8,72,20.0,Ciro Immobile,4-3-3,Davide Ghersini,Report partita,,2,28,10,357,7,20.0,163.0,1.0,0,0,2.1,8.0,-0.1,-0.1
4,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Ospiti,N,1,1,Torino,0.9,1.1,55,8.646,Ciro Immobile,4-3-3,Rosario Abisso,Report partita,,1,5,1,200,0,0.0,288.0,0.0,1,1,0.2,3.0,0.1,-0.2
5,26-09-2021,18:00,Serie A,Giornata n. 6,Dom,Casa,V,3,2,Roma,2.2,2.3,50,32.0,Ciro Immobile,4-3-3,Marco Guida,Report partita,,3,10,4,400,30,75.0,120.0,0.0,0,0,2.2,22.0,0.8,0.8
6,03-10-2021,12:30,Serie A,Giornata n. 7,Dom,Ospiti,P,0,3,Bologna,0.6,0.5,59,12.975,Sergej Milinković-Savić,4-3-3,Davide Massa,Report partita,,0,8,4,500,0,0.0,165.0,0.0,0,0,0.6,8.0,-0.6,-0.6
7,16-10-2021,18:00,Serie A,Giornata n. 8,Sab,Casa,V,3,1,Inter,2.5,1.4,52,42.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Report partita,,3,18,7,389,11,29.0,161.0,1.0,1,1,1.8,11.0,0.5,0.2
8,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Ospiti,P,1,4,Hellas Verona,0.9,2.8,51,13.953,Ciro Immobile,4-3-3,Marco Piccinini,Report partita,,1,9,4,444,11,25.0,157.0,1.0,0,0,0.9,10.0,0.1,0.1
9,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Casa,V,1,0,Fiorentina,0.6,0.6,49,7.0,Ciro Immobile,4-3-3,Giovanni Ayroldi,Report partita,,1,5,2,400,20,50.0,131.0,0.0,0,0,0.6,12.0,0.4,0.4
10,30-10-2021,15:00,Serie A,Giornata n. 11,Sab,Ospiti,N,2,2,Atalanta,1.4,0.9,44,11.981,Ciro Immobile,4-3-3,Marco Guida,Report partita,,2,8,5,625,25,40.0,144.0,0.0,0,0,1.4,19.0,0.6,0.6
11,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Casa,V,3,0,Salernitana,2.1,0.5,60,25.0,Ciro Immobile,4-3-3,Antonio Rapuano,Report partita,,3,17,5,294,18,60.0,171.0,2.0,0,0,2.1,12.0,0.9,0.9
12,20-11-2021,18:00,Serie A,Giornata n. 13,Sab,Casa,P,0,2,Juventus,0.2,2.7,57,45.0,Sergej Milinković-Savić,4-3-3,Marco Di Bello,Report partita,,0,8,1,125,0,0.0,233.0,1.0,0,0,0.2,3.0,-0.2,-0.2
