,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Ospiti,P,2,3,Bologna,1.6,1.5,28,8.375,Milan Đurić,3-5-2,Antonio Rapuano,Report partita,,2,9,3,333,11,33.0,173.0,1.0,1,1,0.8,10.0,0.4,0.2
1,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Casa,P,0,4,Roma,0.3,1.9,23,12.5,Francesco Di Tacchio,3-4-3,Rosario Abisso,Report partita,,0,5,0,0,0,,125.0,0.0,0,0,0.3,7.0,-0.3,-0.3
2,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Ospiti,P,0,4,Torino,0.2,1.9,40,9.082,Francesco Di Tacchio,3-5-2,Gianluca Aureliano,Report partita,,0,8,2,250,0,0.0,188.0,0.0,0,0,0.2,3.0,-0.2,-0.2
3,18-09-2021,20:45,Serie A,Giornata n. 4,Sab,Casa,P,0,1,Atalanta,0.9,1.4,43,11.949,Milan Đurić,3-4-1-2,Paolo Valeri,Report partita,,0,11,1,91,0,0.0,195.0,0.0,0,0,0.9,8.0,-0.9,-0.9
4,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Casa,N,2,2,Hellas Verona,2.7,1.7,50,9.561,Norbert Gyömbér,3-4-1-2,Massimiliano Irrati,Report partita,,2,15,4,267,13,50.0,136.0,0.0,0,0,2.7,18.0,-0.7,-0.7
5,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Ospiti,P,0,1,Sassuolo,0.9,1.3,43,5.177,Francesco Di Tacchio,4-4-2◆,Antonio Giua,Report partita,,0,12,4,333,0,0.0,144.0,0.0,0,0,0.9,7.0,-0.9,-0.9
6,02-10-2021,15:00,Serie A,Giornata n. 7,Sab,Casa,V,1,0,Genoa,0.5,1.9,50,10.077,Norbert Gyömbér,4-4-2◆,Maurizio Mariani,Report partita,,1,10,4,400,10,25.0,175.0,0.0,0,0,0.5,5.0,0.5,0.5
7,16-10-2021,15:00,Serie A,Giornata n. 8,Sab,Ospiti,P,1,2,Spezia,1.7,1.6,41,6.023,Francesco Di Tacchio,4-4-2◆,Davide Massa,Report partita,,1,15,4,267,7,25.0,170.0,0.0,0,0,1.7,11.0,-0.7,-0.7
8,23-10-2021,15:00,Serie A,Giornata n. 9,Sab,Casa,P,2,4,Empoli,1.0,2.2,59,11.142,Francesco Di Tacchio,3-4-1-2,Daniele Doveri,Report partita,,1,12,5,417,8,20.0,129.0,0.0,0,0,1.0,8.0,0.0,0.0
9,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Ospiti,V,2,1,Venezia,1.3,0.5,55,5.103,Franck Ribéry,4-3-3,Marco Di Bello,Report partita,,2,21,7,333,10,29.0,173.0,1.0,0,0,1.3,6.0,0.7,0.7
