,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,23-08-2021,20:45,Serie A,Giornata n. 1,Lun,Casa,P,0,1,Milan,1.0,1.1,49,5.0,Fabio Quagliarella,4-4-2,Marco Guida,Report partita,,0,16,3,188,0,0.0,177.0,2.0,0,0,1.0,6.0,-1.0,-1.0
1,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Ospiti,N,0,0,Sassuolo,0.5,1.4,37,3.309,Fabio Quagliarella,4-2-3-1,Juan Sacchi,Report partita,,0,11,2,182,0,0.0,239.0,1.0,0,0,0.5,5.0,-0.5,-0.5
2,12-09-2021,12:30,Serie A,Giornata n. 3,Dom,Casa,N,2,2,Inter,1.2,0.7,52,7.441,Fabio Quagliarella,4-4-2,Daniele Orsato,Report partita,,2,14,2,143,14,100.0,144.0,1.0,0,0,1.2,9.0,0.8,0.8
3,19-09-2021,12:30,Serie A,Giornata n. 4,Dom,Ospiti,V,3,0,Empoli,1.8,1.6,47,3.064,Fabio Quagliarella,4-4-2,Maurizio Mariani,Report partita,,3,14,8,571,21,38.0,173.0,0.0,0,0,1.8,13.0,1.2,1.2
4,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Casa,P,0,4,Napoli,0.6,2.2,48,4.596,Fabio Quagliarella,4-4-2,Paolo Valeri,Report partita,,0,13,5,385,0,0.0,196.0,1.0,0,0,0.6,5.0,-0.6,-0.6
5,26-09-2021,12:30,Serie A,Giornata n. 6,Dom,Ospiti,P,2,3,Juventus,0.4,2.4,50,15.381,Fabio Quagliarella,4-4-2,Giovanni Ayroldi,Report partita,,2,6,3,500,33,67.0,151.0,0.0,0,0,0.4,7.0,1.6,1.6
6,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Casa,N,3,3,Udinese,1.6,2.7,54,4.292,Fabio Quagliarella,4-4-2,Daniele Orsato,Report partita,,2,11,2,182,9,50.0,186.0,0.0,1,1,0.9,8.0,0.4,0.1
7,17-10-2021,12:30,Serie A,Giornata n. 8,Dom,Ospiti,P,1,3,Cagliari,1.5,1.1,61,9.923,Fabio Quagliarella,4-3-2-1,Matteo Marchetti,Report partita,,1,17,3,176,6,33.0,169.0,0.0,0,0,1.5,9.0,-0.5,-0.5
8,22-10-2021,20:45,Serie A,Giornata n. 9,Ven,Casa,V,2,1,Spezia,0.9,0.9,30,7.493,Bartosz Bereszyński,4-4-2,Michael Fabbri,Report partita,,1,6,2,333,17,50.0,197.0,0.0,0,0,0.9,16.0,0.1,0.1
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Casa,P,1,3,Atalanta,1.3,1.1,40,5.462,Manolo Gabbiadini,4-3-3,Alessandro Prontera,Report partita,,1,8,3,375,13,33.0,181.0,0.0,0,0,1.3,16.0,-0.3,-0.3
10,30-10-2021,20:45,Serie A,Giornata n. 11,Sab,Ospiti,P,0,3,Torino,0.2,2.1,37,13.137,Fabio Quagliarella,3-5-2,Francesco Fourneau,Report partita,,0,5,1,200,0,0.0,155.0,0.0,0,0,0.2,5.0,-0.2,-0.2
