,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Ospiti,V,3,2,Hellas Verona,1.4,2.1,60,5.448,Gian Marco Ferrari,4-2-3-1,Manuel Volpi,Report partita,,3,18,7,389,17,43,189.0,1.0,0,0,1.4,8.0,1.6,1.6
1,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Casa,N,0,0,Sampdoria,1.4,0.5,63,3.309,Gian Marco Ferrari,4-2-3-1,Juan Sacchi,Report partita,,0,19,5,263,0,0,178.0,1.0,0,0,1.4,8.0,-1.4,-1.4
2,12-09-2021,20:45,Serie A,Giornata n. 3,Dom,Ospiti,P,1,2,Roma,1.7,2.8,51,29.604,Gian Marco Ferrari,4-2-3-1,Simone Sozza,Report partita,,1,14,7,500,7,14,178.0,0.0,0,0,1.7,12.0,-0.7,-0.7
3,17-09-2021,20:45,Serie A,Giornata n. 4,Ven,Casa,P,0,1,Torino,0.6,2.0,52,20.0,Gian Marco Ferrari,4-2-3-1,Marco Piccinini,Report partita,,0,10,2,200,0,0,180.0,2.0,0,0,0.6,6.0,-0.6,-0.6
4,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Ospiti,P,1,2,Atalanta,0.7,1.6,53,7.353,Francesco Magnanelli,4-1-4-1,Davide Massa,Report partita,,1,8,1,125,13,100,168.0,0.0,0,0,0.7,9.0,0.3,0.3
5,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Casa,V,1,0,Salernitana,1.3,0.9,57,5.177,Gian Marco Ferrari,4-2-3-1,Antonio Giua,Report partita,,1,17,6,353,6,17,193.0,0.0,0,0,1.3,8.0,-0.3,-0.3
6,02-10-2021,20:45,Serie A,Giornata n. 7,Sab,Casa,P,1,2,Inter,1.5,1.9,55,10.4,Gian Marco Ferrari,4-2-3-1,Luca Pairetto,Report partita,,1,11,7,636,0,0,180.0,0.0,1,1,0.7,7.0,-0.5,-0.7
7,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Ospiti,N,2,2,Genoa,2.0,1.3,57,10.37,Gian Marco Ferrari,4-2-3-1,Daniele Chiffi,Report partita,,2,15,5,333,13,40,160.0,0.0,0,0,2.0,14.0,0.0,0.0
8,23-10-2021,18:00,Serie A,Giornata n. 9,Sab,Casa,V,3,1,Venezia,2.0,0.5,63,4.482,Gian Marco Ferrari,4-2-3-1,Antonio Di Martino,Report partita,,2,14,7,500,14,29,132.0,1.0,0,0,2.0,14.0,0.0,0.0
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Ospiti,V,2,1,Juventus,1.2,1.3,43,18.288,Gian Marco Ferrari,4-2-3-1,Juan Sacchi,Report partita,,2,8,4,500,25,50,186.0,0.0,0,0,1.2,15.0,0.8,0.8
