,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,23-08-2021,18:30,Serie A,Giornata n. 1,Lun,Ospiti,N,2,2,Cagliari,0.8,2.7,41,5.387,Giulio Maggiore,3-4-3,Francesco Fourneau,Report partita,,2,12,4,333,17,50.0,218.0,1.0,0,0,0.8,7.0,1.2,1.2
1,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Ospiti,P,1,6,Lazio,0.7,3.2,39,20.0,Giulio Maggiore,3-4-3,Federico Dionisi,Report partita,,1,5,2,400,20,50.0,208.0,1.0,0,0,0.7,14.0,0.3,0.3
2,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Casa,P,0,1,Udinese,1.3,0.8,56,5.162,Giulio Maggiore,4-3-3,Marco Guida,Report partita,,0,20,5,250,0,0.0,211.0,0.0,0,0,1.3,7.0,-1.3,-1.3
3,19-09-2021,15:00,Serie A,Giornata n. 4,Dom,Ospiti,V,2,1,Venezia,0.5,0.9,55,3.688,Giulio Maggiore,4-3-3,Rosario Abisso,Report partita,,2,12,3,250,17,67.0,214.0,0.0,0,0,0.5,4.0,1.5,1.5
4,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Casa,P,2,3,Juventus,0.7,2.3,41,5.7,Giulio Maggiore,4-2-3-1,Gianluca Aureliano,Report partita,,2,10,4,400,20,50.0,212.0,0.0,0,0,0.7,7.0,1.3,1.3
5,25-09-2021,15:00,Serie A,Giornata n. 6,Sab,Casa,P,1,2,Milan,0.9,1.9,36,3.618,Giulio Maggiore,4-1-4-1,Gianluca Manganiello,Report partita,,1,8,2,250,13,50.0,205.0,0.0,0,0,0.9,12.0,0.1,0.1
6,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Ospiti,P,0,4,Hellas Verona,1.4,0.4,55,8.398,Emmanuel Gyasi,4-2-3-1,Giacomo Camplone,Report partita,,0,12,4,333,0,0.0,160.0,1.0,0,0,1.4,12.0,-1.4,-1.4
7,16-10-2021,15:00,Serie A,Giornata n. 8,Sab,Casa,V,2,1,Salernitana,1.6,1.7,59,6.023,Giulio Maggiore,4-2-3-1,Davide Massa,Report partita,,2,18,5,278,11,40.0,152.0,1.0,0,0,1.6,9.0,0.4,0.4
8,22-10-2021,20:45,Serie A,Giornata n. 9,Ven,Ospiti,P,1,2,Sampdoria,0.9,0.9,70,7.493,Giulio Maggiore,4-2-3-1,Michael Fabbri,Report partita,,1,17,7,412,6,14.0,196.0,0.0,0,0,0.9,5.0,0.1,0.1
9,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Casa,N,1,1,Genoa,2.0,1.2,47,7.283,Giulio Maggiore,4-2-3-1,Simone Sozza,Report partita,,0,13,3,231,0,0.0,206.0,1.0,0,0,2.0,15.0,-2.0,-2.0
