,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Casa,P,1,2,Atalanta,1.3,1.0,47,3.475,Rolando Mandragora,3-4-3,Daniele Chiffi,Report partita,,1,21,7,333,5,14,186.0,1.0,0,0,1.3,6.0,-0.3,-0.3
1,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Ospiti,P,1,2,Fiorentina,0.5,0.6,41,12.592,Andrea Belotti,3-4-1-2,Maurizio Mariani,Report partita,,1,5,1,200,20,100,140.0,0.0,0,0,0.5,9.0,0.5,0.5
2,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Casa,V,4,0,Salernitana,1.9,0.2,60,9.082,Cristian Ansaldi,3-4-3,Gianluca Aureliano,Report partita,,4,15,5,333,27,80,113.0,0.0,0,0,1.9,13.0,2.1,2.1
3,17-09-2021,20:45,Serie A,Giornata n. 4,Ven,Ospiti,V,1,0,Sassuolo,2.0,0.6,48,20.0,Gleison Bremer,3-4-3,Marco Piccinini,Report partita,,1,18,3,167,6,33,163.0,0.0,0,0,2.0,11.0,-1.0,-1.0
4,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Casa,N,1,1,Lazio,1.1,0.9,45,8.646,Rolando Mandragora,3-4-3,Rosario Abisso,Report partita,,1,16,5,313,6,20,168.0,0.0,0,0,1.1,7.0,-0.1,-0.1
5,27-09-2021,20:45,Serie A,Giornata n. 6,Lun,Ospiti,N,1,1,Venezia,0.7,1.3,56,4.888,Cristian Ansaldi,3-4-3,Lorenzo Maggioni,Report partita,,1,8,3,375,13,33,191.0,0.0,0,0,0.7,9.0,0.3,0.3
6,02-10-2021,18:00,Serie A,Giornata n. 7,Sab,Casa,P,0,1,Juventus,1.0,0.9,48,12.073,Rolando Mandragora,3-4-3,Paolo Valeri,Report partita,,0,13,2,154,0,0,182.0,0.0,0,0,1.0,7.0,-1.0,-1.0
7,17-10-2021,18:00,Serie A,Giornata n. 8,Dom,Ospiti,P,0,1,Napoli,0.9,1.6,49,27.579,Rolando Mandragora,3-4-1-2,Juan Sacchi,Report partita,,0,11,3,273,0,0,182.0,1.0,0,0,0.9,8.0,-0.9,-0.9
8,22-10-2021,18:30,Serie A,Giornata n. 9,Ven,Casa,V,3,2,Genoa,1.5,1.8,58,9.881,Cristian Ansaldi,3-4-3,Piero Giacomelli,Report partita,,3,17,6,353,18,50,170.0,1.0,0,0,1.5,9.0,1.5,1.5
9,26-10-2021,20:45,Serie A,Giornata n. 10,Mar,Ospiti,P,0,1,Milan,0.8,0.9,56,35.929,Andrea Belotti,3-4-3,Gianluca Aureliano,Report partita,,0,13,2,154,0,0,165.0,0.0,0,0,0.8,6.0,-0.8,-0.8
10,30-10-2021,20:45,Serie A,Giornata n. 11,Sab,Casa,V,3,0,Sampdoria,2.1,0.2,63,13.137,Gleison Bremer,3-4-3,Francesco Fourneau,Report partita,,3,16,5,313,19,60,146.0,0.0,0,0,2.1,15.0,0.9,0.9
11,06-11-2021,15:00,Serie A,Giornata n. 12,Sab,Ospiti,P,0,1,Spezia,0.9,0.6,59,6.953,Andrea Belotti,3-4-3,Daniele Orsato,Report partita,,0,10,1,100,0,0,144.0,0.0,0,0,0.9,9.0,-0.9,-0.9
12,22-11-2021,20:45,Serie A,Giornata n. 13,Lun,Casa,V,2,1,Udinese,1.9,1.7,51,7.034,Andrea Belotti,3-4-3,Ivan Pezzuto,Report partita,,2,14,3,214,14,67,138.0,0.0,0,0,1.9,18.0,0.1,0.1
13,28-11-2021,18:00,Serie A,Giornata n. 14,Dom,Ospiti,P,0,1,Roma,1.2,0.9,68,46.728,Andrea Belotti,3-4-3,Daniele Chiffi,Report partita,,0,18,3,167,0,0,150.0,0.0,0,0,1.2,7.0,-1.2,-1.2
14,02-12-2021,18:30,Serie A,Giornata n. 15,Gio,Casa,N,2,2,Empoli,0.9,0.9,41,7.002,Gleison Bremer,3-4-3,Andrea Colombo,Report partita,,2,10,3,300,20,67,155.0,0.0,0,0,0.9,10.0,1.1,1.1
15,06-12-2021,20:45,Serie A,Giornata n. 16,Lun,Ospiti,N,1,1,Cagliari,1.4,1.2,48,8.799,Gleison Bremer,3-4-3,Luca Massimi,Report partita,,0,8,3,375,0,0,140.0,0.0,0,0,1.4,17.0,-1.4,-1.4
16,12-12-2021,12:30,Serie A,Giornata n. 17,Dom,Casa,V,2,1,Bologna,1.6,1.0,49,6.562,Gleison Bremer,3-4-3,Federico Dionisi,Report partita,,1,16,7,438,6,14,187.0,1.0,0,0,1.6,10.0,-0.6,-0.6
17,19-12-2021,18:00,Serie A,Giornata n. 18,Dom,Casa,V,1,0,Hellas Verona,0.8,0.4,66,6.202,Gleison Bremer,3-4-3,Michael Fabbri,Report partita,,1,8,1,125,13,100,179.0,1.0,0,0,0.8,10.0,0.2,0.2
18,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Ospiti,P,0,1,Inter,0.6,1.3,46,41.413,Gleison Bremer,3-4-3,Marco Guida,Report partita,,0,12,3,250,0,0,193.0,1.0,0,0,0.6,5.0,-0.6,-0.6
19,10-01-2022,17:00,Serie A,Giornata n. 21,Lun,Casa,V,4,0,Fiorentina,2.1,0.7,45,3.545,Rolando Mandragora,3-4-3,Livio Marinelli,Report partita,,4,9,6,667,44,67,143.0,0.0,0,0,2.1,23.0,1.9,1.9
20,15-01-2022,15:00,Serie A,Giornata n. 22,Sab,Ospiti,V,2,1,Sampdoria,1.6,1.3,63,2.549,Rolando Mandragora,3-4-3,Luca Massimi,Report partita,,2,20,12,600,10,17,162.0,0.0,0,0,1.6,8.0,0.4,0.4
21,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Casa,N,1,1,Sassuolo,2.6,0.4,50,5.0,Rolando Mandragora,3-4-3,Francesco Fourneau,Report partita,,1,21,6,286,5,17,149.0,0.0,0,0,2.6,13.0,-1.6,-1.6
22,06-02-2022,18:00,Serie A,Giornata n. 24,Dom,Ospiti,P,0,2,Udinese,0.6,1.3,58,9.837,Rolando Mandragora,3-4-3,Antonio Rapuano,Report partita,,0,5,1,200,0,0,147.0,0.0,0,0,0.6,12.0,-0.6,-0.6
23,12-02-2022,20:45,Serie A,Giornata n. 25,Sab,Casa,P,1,2,Venezia,0.7,0.4,67,6.681,Gleison Bremer,3-4-3,Antonio Giua,Report partita,,1,14,2,143,7,50,159.0,0.0,0,0,0.7,5.0,0.3,0.3
24,18-02-2022,20:45,Serie A,Giornata n. 26,Ven,Ospiti,N,1,1,Juventus,0.7,0.7,54,20.132,Andrea Belotti,3-4-3,Davide Massa,Report partita,,1,10,3,300,10,33,170.0,0.0,0,0,0.7,7.0,0.3,0.3
25,27-02-2022,12:35,Serie A,Giornata n. 27,Dom,Casa,P,1,2,Cagliari,0.8,1.9,57,10.231,Andrea Belotti,3-4-3,Manuel Volpi,Report partita,,1,15,6,400,7,17,176.0,2.0,0,0,0.8,6.0,0.2,0.2
26,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Ospiti,N,0,0,Bologna,1.2,0.3,48,17.575,Andrea Belotti,3-4-3,Luca Massimi,Report partita,,0,13,2,154,0,0,185.0,0.0,0,0,1.2,9.0,-1.2,-1.2
27,13-03-2022,20:45,Serie A,Giornata n. 29,Dom,Casa,N,1,1,Inter,1.7,2.3,44,15.363,Andrea Belotti,3-4-3,Marco Guida,Report partita,,1,13,3,231,8,33,131.0,0.0,0,0,1.7,14.0,-0.7,-0.7
28,18-03-2022,21:00,Serie A,Giornata n. 30,Ven,Ospiti,P,0,1,Genoa,1.0,1.0,74,14.961,Andrea Belotti,3-4-3,Maurizio Mariani,Report partita,,0,9,3,333,0,0,110.0,1.0,0,0,1.0,11.0,-1.0,-1.0
29,02-04-2022,20:45,Serie A,Giornata n. 31,Sab,Ospiti,V,1,0,Salernitana,1.6,0.8,47,8.65,Andrea Belotti,3-4-3,Marco Piccinini,Report partita,,1,7,4,571,0,0,167.0,0.0,1,1,0.9,13.0,-0.6,-0.9
