,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,npxG,npxG/Sh,G-xG,np:G-xG
0,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Casa,N,2,2,Juventus,2.2,0.8,44,9.66,Bram Nuytinck,3-5-1-1,Ivan Pezzuto,Report partita,,2,11,5,455,9,20.0,169.0,0.0,1,1,1.5,14.0,-0.2,-0.5
1,27-08-2021,18:30,Serie A,Giornata n. 2,Ven,Casa,V,3,0,Venezia,2.7,1.0,45,8.274,Bram Nuytinck,3-5-1-1,Livio Marinelli,Report partita,,3,21,10,476,14,30.0,162.0,1.0,0,0,2.7,14.0,0.3,0.3
2,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Ospiti,V,1,0,Spezia,0.8,1.3,44,5.162,Bram Nuytinck,3-5-2,Marco Guida,Report partita,,1,9,4,444,11,25.0,182.0,0.0,0,0,0.8,9.0,0.2,0.2
3,20-09-2021,20:45,Serie A,Giornata n. 4,Lun,Casa,P,0,4,Napoli,0.3,2.4,37,11.484,Bram Nuytinck,3-5-2,Gianluca Manganiello,Report partita,,0,9,1,111,0,0.0,249.0,0.0,0,0,0.3,3.0,-0.3,-0.3
4,23-09-2021,20:45,Serie A,Giornata n. 5,Gio,Ospiti,P,0,1,Roma,0.9,1.3,48,29.593,Bram Nuytinck,3-5-2,Antonio Rapuano,Report partita,,0,8,2,250,0,0.0,167.0,1.0,0,0,0.9,12.0,-0.9,-0.9
5,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Casa,P,0,1,Fiorentina,0.6,1.1,46,7.208,Bram Nuytinck,3-5-2,Davide Ghersini,Report partita,,0,12,5,417,0,0.0,186.0,0.0,0,0,0.6,5.0,-0.6,-0.6
6,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Ospiti,N,3,3,Sampdoria,2.7,1.6,46,4.292,Bram Nuytinck,3-5-2,Daniele Orsato,Report partita,,3,18,7,389,17,43.0,141.0,0.0,0,0,2.7,16.0,0.3,0.3
7,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Casa,N,1,1,Bologna,1.0,1.7,41,10.627,Bram Nuytinck,3-5-2,Rosario Abisso,Report partita,,1,10,2,200,10,50.0,134.0,0.0,0,0,1.0,10.0,0.0,0.0
8,24-10-2021,12:30,Serie A,Giornata n. 9,Dom,Ospiti,N,1,1,Atalanta,0.9,0.5,33,9.951,Bram Nuytinck,3-4-3,Livio Marinelli,Report partita,,1,9,3,333,11,33.0,164.0,0.0,0,0,0.9,11.0,0.1,0.1
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Casa,N,1,1,Hellas Verona,1.2,0.8,34,8.751,Bram Nuytinck,3-4-3,Matteo Marchetti,Report partita,,1,16,5,313,6,20.0,161.0,1.0,0,0,1.2,8.0,-0.2,-0.2
10,31-10-2021,12:30,Serie A,Giornata n. 11,Dom,Ospiti,P,0,2,Inter,0.4,2.1,34,48.076,Bram Nuytinck,3-4-3,Juan Sacchi,Report partita,,0,9,5,556,0,0.0,191.0,0.0,0,0,0.4,5.0,-0.4,-0.4
11,07-11-2021,15:00,Serie A,Giornata n. 12,Dom,Casa,V,3,2,Sassuolo,1.7,1.3,38,8.322,Bram Nuytinck,4-4-2,Federico Dionisi,Report partita,,2,13,2,154,15,100.0,218.0,1.0,0,0,1.7,13.0,0.3,0.3
