,data,ora,competizione,girone,giorno,stadio,risultato,rf,rs,avversario,xg,xga,poss.,spettatori,capitano,formazione,arbitro,report partita,note,reti,tiri,tiri.1,% tip,g/tiri,g/tip,dist.,pun.,rigori,rig t,npxg,npxg/sh,g-xg,np:g-xg,team
0,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Ospiti,V,2,1,Torino,1.0,1.3,53.0,3.475,José Luis Palomino,3-4-3,Daniele Chiffi,Report partita,,2,7.0,2.0,286.0,29.0,100.0,146.0,0.0,0,0,1.0,14.0,1.0,1.0,Atalanta
1,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Casa,N,0,0,Bologna,1.0,0.3,59.0,7.912,Rafael Tolói,3-4-3,Daniele Orsato,Report partita,,0,22.0,3.0,136.0,0.0,0.0,190.0,2.0,0,0,1.0,5.0,-1.0,-1.0,Atalanta
2,11-09-2021,20:45,Serie A,Giornata n. 3,Sab,Casa,P,1,2,Fiorentina,2.5,1.7,55.0,9.162,Rafael Tolói,3-4-3,Valerio Marini,Report partita,,1,12.0,4.0,333.0,0.0,0.0,101.0,0.0,1,1,1.7,15.0,-1.5,-1.7,Atalanta
3,18-09-2021,20:45,Serie A,Giornata n. 4,Sab,Ospiti,V,1,0,Salernitana,1.4,0.9,57.0,11.949,Rafael Tolói,3-4-3,Paolo Valeri,Report partita,,1,10.0,3.0,300.0,10.0,33.0,147.0,1.0,0,0,1.4,15.0,-0.4,-0.4,Atalanta
4,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Casa,V,2,1,Sassuolo,1.6,0.7,47.0,7.353,Rafael Tolói,3-4-1-2,Davide Massa,Report partita,,2,14.0,5.0,357.0,14.0,40.0,167.0,1.0,0,0,1.6,11.0,0.4,0.4,Atalanta
5,25-09-2021,18:00,Serie A,Giornata n. 6,Sab,Ospiti,N,2,2,Inter,2.1,3.9,50.0,36.517,Rafael Tolói,3-4-1-2,Fabio Maresca,Report partita,,2,21.0,5.0,238.0,10.0,40.0,148.0,1.0,0,0,2.1,10.0,-0.1,-0.1,Atalanta
6,03-10-2021,20:45,Serie A,Giornata n. 7,Dom,Casa,P,2,3,Milan,2.1,3.0,56.0,9.363,Remo Freuler,3-4-1-2,Marco Di Bello,Report partita,,2,16.0,4.0,250.0,6.0,25.0,175.0,1.0,1,1,1.4,9.0,-0.1,-0.4,Atalanta
7,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Ospiti,V,4,1,Empoli,4.2,0.7,52.0,6.214,Rafael Tolói,3-4-1-2,Marco Serra,Report partita,,3,21.0,7.0,333.0,14.0,43.0,171.0,0.0,0,1,3.5,17.0,-1.2,-0.5,Atalanta
8,24-10-2021,12:30,Serie A,Giornata n. 9,Dom,Casa,N,1,1,Udinese,0.5,0.9,67.0,9.951,Remo Freuler,3-4-3,Livio Marinelli,Report partita,,1,8.0,3.0,375.0,13.0,33.0,194.0,0.0,0,0,0.5,6.0,0.5,0.5,Atalanta
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Ospiti,V,3,1,Sampdoria,1.1,1.3,60.0,5.462,Remo Freuler,3-4-3,Alessandro Prontera,Report partita,,2,13.0,4.0,308.0,15.0,50.0,146.0,0.0,0,0,1.1,8.0,0.9,0.9,Atalanta
