,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Casa,V,3,2,Salernitana,3,18,7,389,17,43.0,172.0,2.0,0,0,1.5,1.5,9.0,1.5,1.5,Report partita
2,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Ospiti,N,0,0,Atalanta,0,4,1,250,0,0.0,139.0,0.0,0,0,0.3,0.3,7.0,-0.3,-0.3,Report partita
3,13-09-2021,20:45,Serie A,Giornata n. 3,Lun,Casa,V,1,0,Hellas Verona,1,16,4,250,6,25.0,156.0,0.0,0,0,1.4,1.4,9.0,-0.4,-0.4,Report partita
4,18-09-2021,18:00,Serie A,Giornata n. 4,Sab,Ospiti,P,1,6,Inter,1,8,2,250,13,50.0,164.0,0.0,0,0,0.5,0.5,7.0,0.5,0.5,Report partita
5,21-09-2021,18:30,Serie A,Giornata n. 5,Mar,Casa,N,2,2,Genoa,2,16,4,250,6,25.0,145.0,1.0,1,1,2.0,1.2,8.0,0.0,-0.2,Report partita
6,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Ospiti,P,2,4,Empoli,2,20,5,250,10,40.0,149.0,0.0,0,1,2.5,1.7,9.0,-0.5,0.3,Report partita
7,03-10-2021,12:30,Serie A,Giornata n. 7,Dom,Casa,V,3,0,Lazio,3,10,3,300,30,100.0,174.0,0.0,0,0,0.5,0.5,5.0,2.5,2.5,Report partita
8,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Ospiti,N,1,1,Udinese,1,24,11,458,4,9.0,190.0,1.0,0,0,1.7,1.7,7.0,-0.7,-0.7,Report partita
9,23-10-2021,20:45,Serie A,Giornata n. 9,Sab,Casa,P,2,4,Milan,1,9,4,444,11,25.0,136.0,0.0,0,0,0.7,0.7,8.0,0.3,0.3,Report partita
10,28-10-2021,20:45,Serie A,Giornata n. 10,Gio,Ospiti,P,0,3,Napoli,0,8,1,125,0,0.0,228.0,1.0,0,0,0.2,0.2,3.0,-0.2,-0.2,Report partita
11,01-11-2021,20:45,Serie A,Giornata n. 11,Lun,Casa,V,2,0,Cagliari,2,8,3,375,25,67.0,194.0,0.0,0,0,1.0,1.0,13.0,1.0,1.0,Report partita
12,07-11-2021,15:00,Serie A,Giornata n. 12,Dom,Ospiti,V,2,1,Sampdoria,2,14,6,429,14,33.0,160.0,0.0,0,0,1.9,1.9,14.0,0.1,0.1,Report partita
13,21-11-2021,15:00,Serie A,Giornata n. 13,Dom,Casa,P,0,1,Venezia,0,24,6,250,0,0.0,193.0,0.0,0,0,1.4,1.4,6.0,-1.4,-1.4,Report partita
14,28-11-2021,15:00,Serie A,Giornata n. 14,Dom,Ospiti,V,1,0,Spezia,1,16,4,250,0,0.0,177.0,1.0,1,1,2.4,1.7,10.0,-1.4,-1.7,Report partita
15,01-12-2021,18:30,Serie A,Giornata n. 15,Mer,Casa,V,1,0,Roma,1,6,3,500,17,33.0,244.0,0.0,0,0,0.2,0.2,3.0,0.8,0.8,Report partita
16,05-12-2021,12:30,Serie A,Giornata n. 16,Dom,Casa,P,2,3,Fiorentina,2,8,3,375,25,67.0,183.0,1.0,0,0,0.7,0.7,9.0,1.3,1.3,Report partita
17,12-12-2021,12:30,Serie A,Giornata n. 17,Dom,Ospiti,P,1,2,Torino,1,7,4,571,0,0.0,242.0,0.0,1,1,1.0,0.3,4.0,0.0,-0.3,Report partita
