,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,23-08-2021,18:30,Serie A,Giornata n. 1,Lun,Casa,N,2,2,Spezia,2,19,6,316,5,17.0,151.0,0.0,1,1,2.7,1.9,10.0,-0.7,-0.9,Report partita
2,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Ospiti,P,1,4,Milan,1,7,2,286,14,50.0,126.0,1.0,0,0,0.4,0.4,6.0,0.6,0.6,Report partita
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Casa,P,2,3,Genoa,2,8,2,250,13,50.0,160.0,0.0,1,1,1.4,0.7,9.0,0.6,0.3,Report partita
4,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Ospiti,N,2,2,Lazio,2,10,3,300,20,67.0,152.0,0.0,0,0,1.8,1.8,18.0,0.2,0.2,Report partita
5,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Casa,P,0,2,Empoli,0,15,1,67,0,0.0,163.0,0.0,0,0,1.1,1.1,7.0,-1.1,-1.1,Report partita
6,26-09-2021,20:45,Serie A,Giornata n. 6,Dom,Ospiti,P,0,2,Napoli,0,6,0,0,0,,205.0,1.0,0,0,0.2,0.2,4.0,-0.2,-0.2,Report partita
7,01-10-2021,20:45,Serie A,Giornata n. 7,Ven,Casa,N,1,1,Venezia,1,9,3,333,11,33.0,216.0,0.0,0,0,0.4,0.4,4.0,0.6,0.6,Report partita
8,17-10-2021,12:30,Serie A,Giornata n. 8,Dom,Casa,V,3,1,Sampdoria,3,12,5,417,25,60.0,176.0,0.0,0,0,1.1,1.1,10.0,1.9,1.9,Report partita
9,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Ospiti,P,0,3,Fiorentina,0,3,1,333,0,0.0,214.0,0.0,0,0,0.2,0.2,8.0,-0.2,-0.2,Report partita
10,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Casa,P,1,2,Roma,1,7,5,714,14,20.0,151.0,0.0,0,0,1.1,1.1,16.0,-0.1,-0.1,Report partita
11,01-11-2021,20:45,Serie A,Giornata n. 11,Lun,Ospiti,P,0,2,Bologna,0,9,2,222,0,0.0,226.0,2.0,0,0,0.4,0.4,5.0,-0.4,-0.4,Report partita
12,06-11-2021,20:45,Serie A,Giornata n. 12,Sab,Casa,P,1,2,Atalanta,1,7,1,143,14,100.0,167.0,1.0,0,0,0.9,0.9,13.0,0.1,0.1,Report partita
13,21-11-2021,12:30,Serie A,Giornata n. 13,Dom,Ospiti,N,2,2,Sassuolo,2,10,3,300,10,33.0,150.0,0.0,1,1,1.5,0.7,7.0,0.5,0.3,Report partita
14,26-11-2021,20:45,Serie A,Giornata n. 14,Ven,Casa,N,1,1,Salernitana,1,19,3,158,5,33.0,141.0,2.0,0,0,1.6,1.6,8.0,-0.6,-0.6,Report partita
15,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Ospiti,N,0,0,Hellas Verona,0,12,3,250,0,0.0,202.0,1.0,0,0,0.6,0.6,5.0,-0.6,-0.6,Report partita
16,06-12-2021,20:45,Serie A,Giornata n. 16,Lun,Casa,N,1,1,Torino,1,16,2,125,6,50.0,138.0,1.0,0,0,1.2,1.2,7.0,-0.2,-0.2,Report partita
