,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Casa,P,1,3,Lazio,1,17,4,235,6,25,174.0,0.0,0,0,1.3,1.3,8.0,-0.3,-0.3,Report partita
2,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Ospiti,V,1,0,Juventus,1,12,3,250,8,33,173.0,0.0,0,0,0.8,0.8,7.0,0.2,0.2,Report partita
3,11-09-2021,15:00,Serie A,Giornata n. 3,Sab,Casa,P,1,2,Venezia,1,21,5,238,0,0,185.0,2.0,1,1,1.9,1.2,6.0,-0.9,-1.2,Report partita
4,19-09-2021,12:30,Serie A,Giornata n. 4,Dom,Casa,P,0,3,Sampdoria,0,15,4,267,0,0,189.0,1.0,0,0,1.6,1.6,11.0,-1.6,-1.6,Report partita
5,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Ospiti,V,2,0,Cagliari,2,18,5,278,11,40,205.0,0.0,0,0,1.1,1.1,6.0,0.9,0.9,Report partita
6,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Casa,V,4,2,Bologna,3,14,6,429,14,33,166.0,1.0,1,1,1.8,1.1,8.0,1.2,0.9,Report partita
7,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Ospiti,P,0,2,Roma,0,12,3,250,0,0,170.0,0.0,0,0,0.6,0.6,5.0,-0.6,-0.6,Report partita
8,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Casa,P,1,4,Atalanta,1,13,4,308,8,25,188.0,1.0,0,0,0.7,0.7,5.0,0.3,0.3,Report partita
9,23-10-2021,15:00,Serie A,Giornata n. 9,Sab,Ospiti,V,4,2,Salernitana,3,9,4,444,22,50,153.0,0.0,1,1,2.2,1.5,16.0,0.8,0.5,Report partita
10,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Casa,P,0,2,Inter,0,9,1,111,0,0,170.0,1.0,0,0,0.6,0.6,6.0,-0.6,-0.6,Report partita
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Ospiti,V,2,1,Sassuolo,2,13,4,308,8,25,189.0,0.0,1,1,1.5,0.8,6.0,0.5,0.2,Report partita
12,05-11-2021,20:45,Serie A,Giornata n. 12,Ven,Casa,N,2,2,Genoa,2,10,2,200,20,100,162.0,0.0,0,0,0.8,0.8,8.0,1.2,1.2,Report partita
13,22-11-2021,18:30,Serie A,Giornata n. 13,Lun,Ospiti,P,1,2,Hellas Verona,1,9,3,333,11,33,168.0,0.0,0,0,1.6,1.6,18.0,-0.6,-0.6,Report partita
14,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Casa,V,2,1,Fiorentina,2,17,5,294,12,40,168.0,0.0,0,0,1.9,1.9,11.0,0.1,0.1,Report partita
15,02-12-2021,18:30,Serie A,Giornata n. 15,Gio,Ospiti,N,2,2,Torino,2,17,5,294,12,40,182.0,1.0,0,0,0.9,0.9,5.0,1.1,1.1,Report partita
16,06-12-2021,18:30,Serie A,Giornata n. 16,Lun,Casa,V,3,1,Udinese,3,22,8,364,14,38,154.0,0.0,0,0,2.4,2.4,11.0,0.6,0.6,Report partita
