,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Ospiti,P,1,3,Roma,1,11,8,727,9,13.0,155.0,0.0,0,0,1.2,1.2,11.0,-0.2,-0.2,Report partita
2,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Casa,V,2,1,Torino,2,9,6,667,22,33.0,178.0,0.0,0,0,0.6,0.6,7.0,1.4,1.4,Report partita
3,11-09-2021,20:45,Serie A,Giornata n. 3,Sab,Ospiti,V,2,1,Atalanta,2,5,0,0,0,,220.0,0.0,2,2,1.7,0.2,4.0,0.3,-0.2,Report partita
4,18-09-2021,15:00,Serie A,Giornata n. 4,Sab,Ospiti,V,2,1,Genoa,2,16,5,313,13,40.0,187.0,1.0,0,0,0.9,0.9,6.0,1.1,1.1,Report partita
5,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Casa,P,1,3,Inter,1,14,6,429,7,17.0,207.0,0.0,0,0,1.4,1.4,10.0,-0.4,-0.4,Report partita
6,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Ospiti,V,1,0,Udinese,1,7,1,143,0,0.0,219.0,0.0,1,1,1.1,0.5,7.0,-0.1,-0.5,Report partita
7,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Casa,P,1,2,Napoli,1,10,3,300,10,33.0,158.0,0.0,0,0,0.7,0.7,7.0,0.3,0.3,Report partita
8,18-10-2021,20:45,Serie A,Giornata n. 8,Lun,Ospiti,P,0,1,Venezia,0,11,3,273,0,0.0,187.0,1.0,0,0,0.5,0.5,4.0,-0.5,-0.5,Report partita
9,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Casa,V,3,0,Cagliari,3,20,4,200,10,50.0,192.0,2.0,1,1,3.1,2.4,12.0,-0.1,-0.4,Report partita
10,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Ospiti,P,0,1,Lazio,0,9,1,111,0,0.0,135.0,0.0,0,0,0.6,0.6,6.0,-0.6,-0.6,Report partita
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Casa,V,3,0,Spezia,3,26,11,423,8,18.0,175.0,1.0,1,1,3.3,2.6,10.0,-0.3,-0.6,Report partita
12,06-11-2021,18:00,Serie A,Giornata n. 12,Sab,Ospiti,P,0,1,Juventus,0,6,1,167,0,0.0,111.0,0.0,0,0,0.5,0.5,8.0,-0.5,-0.5,Report partita
13,20-11-2021,20:45,Serie A,Giornata n. 13,Sab,Casa,V,4,3,Milan,4,9,5,556,44,80.0,137.0,0.0,0,0,1.8,1.8,20.0,2.2,2.2,Report partita
14,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Ospiti,P,1,2,Empoli,1,16,7,438,6,14.0,156.0,1.0,0,0,2.4,2.4,15.0,-1.4,-1.4,Report partita
15,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Casa,V,3,1,Sampdoria,3,17,7,412,18,43.0,167.0,3.0,0,0,2.7,2.7,16.0,0.3,0.3,Report partita
16,05-12-2021,12:30,Serie A,Giornata n. 16,Dom,Ospiti,V,3,2,Bologna,3,5,2,400,40,100.0,230.0,1.0,1,1,1.1,0.4,7.0,1.9,1.6,Report partita
17,11-12-2021,15:00,Serie A,Giornata n. 17,Sab,Casa,V,4,0,Salernitana,4,17,9,529,24,44.0,129.0,1.0,0,0,2.2,2.2,14.0,1.8,1.8,Report partita
19,19-12-2021,12:30,Serie A,Giornata n. 18,Dom,Casa,N,2,2,Sassuolo,2,23,8,348,9,25.0,134.0,1.0,0,0,3.2,3.2,15.0,-1.2,-1.2,Report partita
20,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Ospiti,N,1,1,Hellas Verona,1,11,1,91,9,100.0,148.0,0.0,0,0,1.0,1.0,9.0,0.0,0.0,Report partita
21,10-01-2022,17:00,Serie A,Giornata n. 21,Lun,Ospiti,P,0,4,Torino,0,11,4,364,0,0.0,165.0,0.0,0,0,0.7,0.7,7.0,-0.7,-0.7,Report partita
23,17-01-2022,20:45,Serie A,Giornata n. 22,Lun,Casa,V,6,0,Genoa,6,21,11,524,29,55.0,168.0,2.0,0,1,3.1,2.3,12.0,2.9,3.7,Report partita
24,23-01-2022,12:30,Serie A,Giornata n. 23,Dom,Ospiti,N,1,1,Cagliari,1,14,5,357,7,20.0,179.0,0.0,0,1,1.9,1.1,8.0,-0.9,-0.1,Report partita
25,05-02-2022,20:45,Serie A,Giornata n. 24,Sab,Casa,P,0,3,Lazio,0,9,3,333,0,0.0,156.0,0.0,0,0,0.8,0.8,9.0,-0.8,-0.8,Report partita
27,14-02-2022,20:45,Serie A,Giornata n. 25,Lun,Ospiti,V,2,1,Spezia,2,20,4,200,10,50.0,214.0,1.0,0,1,2.2,1.5,7.0,-0.2,0.5,Report partita
28,20-02-2022,12:30,Serie A,Giornata n. 26,Dom,Casa,V,1,0,Atalanta,1,6,3,500,17,33.0,154.0,1.0,0,0,0.6,0.6,11.0,0.4,0.4,Report partita
29,26-02-2022,20:45,Serie A,Giornata n. 27,Sab,Ospiti,P,1,2,Sassuolo,1,15,6,400,7,17.0,157.0,2.0,0,0,2.1,2.1,14.0,-1.1,-1.1,Report partita
31,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Casa,N,1,1,Hellas Verona,1,8,2,250,13,50.0,122.0,1.0,0,0,1.4,1.4,17.0,-0.4,-0.4,Report partita
32,13-03-2022,12:30,Serie A,Giornata n. 29,Dom,Casa,V,1,0,Bologna,1,14,5,357,7,20.0,159.0,1.0,0,0,1.9,1.9,18.0,-0.9,-0.9,Report partita
33,19-03-2022,18:00,Serie A,Giornata n. 30,Sab,Ospiti,N,1,1,Inter,1,17,4,235,6,25.0,180.0,0.0,0,0,1.0,1.0,6.0,0.0,0.0,Report partita
