,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Ospiti,P,0,4,Inter,0,10,4,400.0,0.0,0.0,205.0,1.0,0,0,1.0,1.0,10.0,-1.0,-1.0,Report partita
2,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Casa,P,1,2,Napoli,1,6,3,500.0,17.0,33.0,148.0,0.0,0,0,0.6,0.6,11.0,0.4,0.4,Report partita
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Ospiti,V,3,2,Cagliari,3,11,3,273.0,27.0,100.0,170.0,0.0,0,0,1.1,1.1,10.0,1.9,1.9,Report partita
4,18-09-2021,15:00,Serie A,Giornata n. 4,Sab,Casa,P,1,2,Fiorentina,1,8,2,250.0,0.0,0.0,253.0,1.0,1,1,1.0,0.3,4.0,0.0,-0.3,Report partita
5,21-09-2021,18:30,Serie A,Giornata n. 5,Mar,Ospiti,N,2,2,Bologna,2,10,5,500.0,10.0,20.0,186.0,0.0,1,1,1.5,0.8,8.0,0.5,0.2,Report partita
6,25-09-2021,20:45,Serie A,Giornata n. 6,Sab,Casa,N,3,3,Hellas Verona,3,10,3,300.0,20.0,67.0,211.0,0.0,1,1,1.6,0.8,8.0,1.4,1.2,Report partita
7,02-10-2021,15:00,Serie A,Giornata n. 7,Sab,Ospiti,P,0,1,Salernitana,0,18,3,167.0,0.0,0.0,167.0,1.0,0,0,1.9,1.9,11.0,-1.9,-1.9,Report partita
8,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Casa,N,2,2,Sassuolo,2,19,4,211.0,11.0,50.0,150.0,0.0,0,0,1.3,1.3,7.0,0.7,0.7,Report partita
9,22-10-2021,18:30,Serie A,Giornata n. 9,Ven,Ospiti,P,2,3,Torino,2,14,4,286.0,14.0,50.0,160.0,1.0,0,0,1.8,1.8,13.0,0.2,0.2,Report partita
10,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Ospiti,N,1,1,Spezia,1,8,1,125.0,0.0,0.0,213.0,0.0,1,1,1.2,0.4,5.0,-0.2,-0.4,Report partita
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Casa,N,0,0,Venezia,0,19,4,211.0,0.0,0.0,214.0,2.0,0,0,0.9,0.9,5.0,-0.9,-0.9,Report partita
12,05-11-2021,20:45,Serie A,Giornata n. 12,Ven,Ospiti,N,2,2,Empoli,2,14,6,429.0,7.0,17.0,190.0,0.0,1,1,1.7,1.0,7.0,0.3,0.0,Report partita
13,21-11-2021,20:45,Serie A,Giornata n. 13,Dom,Casa,P,0,2,Roma,0,1,1,1000.0,0.0,0.0,140.0,0.0,0,0,0.2,0.2,19.0,-0.2,-0.2,Report partita
14,28-11-2021,12:30,Serie A,Giornata n. 14,Dom,Ospiti,N,0,0,Udinese,0,9,2,222.0,0.0,0.0,218.0,1.0,0,0,0.7,0.7,8.0,-0.7,-0.7,Report partita
15,01-12-2021,20:45,Serie A,Giornata n. 15,Mer,Casa,P,0,3,Milan,0,11,3,273.0,0.0,0.0,224.0,0.0,0,0,0.5,0.5,4.0,-0.5,-0.5,Report partita
16,05-12-2021,20:45,Serie A,Giornata n. 16,Dom,Ospiti,P,0,2,Juventus,0,0,0,,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Report partita
17,10-12-2021,20:45,Serie A,Giornata n. 17,Ven,Casa,P,1,3,Sampdoria,1,12,2,167.0,8.0,50.0,156.0,0.0,0,0,1.0,1.0,8.0,0.0,0.0,Report partita
19,17-12-2021,18:30,Serie A,Giornata n. 18,Ven,Ospiti,P,1,3,Lazio,1,4,2,500.0,25.0,50.0,161.0,0.0,0,0,0.2,0.2,6.0,0.8,0.8,Report partita
20,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Casa,N,0,0,Atalanta,0,1,0,0.0,0.0,,181.0,0.0,0,0,0.0,0.0,4.0,0.0,0.0,Report partita
21,06-01-2022,16:30,Serie A,Giornata n. 20,Gio,Ospiti,N,1,1,Sassuolo,1,4,1,250.0,25.0,100.0,137.0,0.0,0,0,0.2,0.2,5.0,0.8,0.8,Report partita
22,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Casa,P,0,1,Spezia,0,15,2,133.0,0.0,0.0,165.0,0.0,0,0,1.0,1.0,7.0,-1.0,-1.0,Report partita
24,17-01-2022,20:45,Serie A,Giornata n. 22,Lun,Ospiti,P,0,6,Fiorentina,0,3,0,0.0,0.0,,320.0,0.0,0,0,0.2,0.2,7.0,-0.2,-0.2,Report partita
25,22-01-2022,15:00,Serie A,Giornata n. 23,Sab,Casa,N,0,0,Udinese,0,10,2,200.0,0.0,0.0,124.0,0.0,0,0,0.9,0.9,9.0,-0.9,-0.9,Report partita
26,05-02-2022,15:00,Serie A,Giornata n. 24,Sab,Ospiti,N,0,0,Roma,0,10,3,300.0,0.0,0.0,148.0,0.0,0,0,0.5,0.5,6.0,-0.5,-0.5,Report partita
27,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Casa,N,1,1,Salernitana,1,16,5,313.0,6.0,20.0,171.0,1.0,0,0,2.2,2.2,14.0,-1.2,-1.2,Report partita
28,20-02-2022,15:00,Serie A,Giornata n. 26,Dom,Ospiti,N,1,1,Venezia,1,12,2,167.0,8.0,50.0,144.0,0.0,0,0,1.2,1.2,10.0,-0.2,-0.2,Report partita
29,25-02-2022,21:00,Serie A,Giornata n. 27,Ven,Casa,N,0,0,Inter,0,7,1,143.0,0.0,0.0,153.0,0.0,0,0,0.8,0.8,12.0,-0.8,-0.8,Report partita
30,06-03-2022,12:30,Serie A,Giornata n. 28,Dom,Casa,N,0,0,Empoli,0,19,6,316.0,0.0,0.0,147.0,0.0,0,0,1.1,1.1,6.0,-1.1,-1.1,Report partita
31,13-03-2022,18:00,Serie A,Giornata n. 29,Dom,Ospiti,N,0,0,Atalanta,0,13,3,231.0,0.0,0.0,229.0,1.0,0,0,1.0,1.0,8.0,-1.0,-1.0,Report partita
32,18-03-2022,21:00,Serie A,Giornata n. 30,Ven,Casa,V,1,0,Torino,1,7,2,286.0,14.0,50.0,220.0,0.0,0,0,1.0,1.0,14.0,0.0,0.0,Report partita
33,04-04-2022,18:30,Serie A,Giornata n. 31,Lun,Ospiti,P,0,1,Hellas Verona,0,7,4,571.0,0.0,0.0,172.0,0.0,0,0,0.5,0.5,8.0,-0.5,-0.5,Report partita
34,10-04-2022,12:30,Serie A,Giornata n. 32,Dom,Casa,P,1,4,Lazio,0,15,4,267.0,0.0,0.0,184.0,1.0,0,0,0.8,0.8,6.0,-0.8,-0.8,Report partita
35,15-04-2022,21:00,Serie A,Giornata n. 33,Ven,Ospiti,P,0,2,Milan,0,7,1,143.0,0.0,0.0,214.0,0.0,0,0,0.3,0.3,4.0,-0.3,-0.3,Report partita
