,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Casa,P,2,3,Sassuolo,2,14,3,214,7,33.0,149.0,1.0,1,1,2.1,1.4,10.0,-0.1,-0.4,Report partita
2,27-08-2021,20:45,Serie A,Giornata n. 2,Ven,Casa,P,1,3,Inter,1,8,1,125,13,100.0,146.0,0.0,0,0,0.8,0.8,10.0,0.2,0.2,Report partita
3,13-09-2021,20:45,Serie A,Giornata n. 3,Lun,Ospiti,P,0,1,Bologna,0,5,0,0,0,,155.0,0.0,0,0,0.4,0.4,7.0,-0.4,-0.4,Report partita
4,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Casa,V,3,2,Roma,3,10,6,600,30,50.0,192.0,0.0,0,0,1.1,1.1,11.0,1.9,1.9,Report partita
5,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Ospiti,N,2,2,Salernitana,2,9,5,556,22,40.0,152.0,1.0,0,0,1.7,1.7,19.0,0.3,0.3,Report partita
6,25-09-2021,20:45,Serie A,Giornata n. 6,Sab,Ospiti,N,3,3,Genoa,3,11,6,545,18,33.0,177.0,1.0,1,1,2.2,1.5,13.0,0.8,0.5,Report partita
7,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Casa,V,4,0,Spezia,4,6,4,667,67,100.0,184.0,0.0,0,0,0.4,0.4,7.0,3.6,3.6,Report partita
8,16-10-2021,20:45,Serie A,Giornata n. 8,Sab,Ospiti,P,2,3,Milan,2,9,4,444,11,25.0,152.0,0.0,1,1,1.4,0.7,8.0,0.6,0.3,Report partita
9,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Casa,V,4,1,Lazio,4,16,7,438,25,57.0,149.0,0.0,0,0,2.8,2.8,17.0,1.2,1.2,Report partita
10,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Ospiti,N,1,1,Udinese,1,4,1,250,0,0.0,250.0,0.0,1,1,0.8,0.1,2.0,0.2,-0.1,Report partita
11,30-10-2021,18:00,Serie A,Giornata n. 11,Sab,Casa,V,2,1,Juventus,2,12,5,417,17,40.0,171.0,0.0,0,0,1.6,1.6,16.0,0.4,0.4,Report partita
12,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Ospiti,N,1,1,Napoli,1,11,3,273,9,33.0,159.0,0.0,0,0,1.0,1.0,9.0,0.0,0.0,Report partita
13,22-11-2021,18:30,Serie A,Giornata n. 13,Lun,Casa,V,2,1,Empoli,2,22,4,182,9,50.0,167.0,1.0,0,0,1.3,1.3,6.0,0.7,0.7,Report partita
14,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Ospiti,P,1,3,Sampdoria,1,15,4,267,7,25.0,164.0,0.0,0,0,0.9,0.9,6.0,0.1,0.1,Report partita
15,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Casa,N,0,0,Cagliari,0,15,6,400,0,0.0,172.0,1.0,0,0,1.8,1.8,12.0,-1.8,-1.8,Report partita
16,05-12-2021,15:00,Serie A,Giornata n. 16,Dom,Ospiti,V,4,3,Venezia,3,15,5,333,13,40.0,172.0,2.0,1,1,1.9,1.3,9.0,1.1,0.7,Report partita
17,12-12-2021,15:00,Serie A,Giornata n. 17,Dom,Casa,P,1,2,Atalanta,1,19,3,158,5,33.0,149.0,0.0,0,0,1.1,1.1,6.0,-0.1,-0.1,Report partita
19,19-12-2021,18:00,Serie A,Giornata n. 18,Dom,Ospiti,P,0,1,Torino,0,8,2,250,0,0.0,181.0,0.0,0,0,0.4,0.4,5.0,-0.4,-0.4,Report partita
20,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Casa,N,1,1,Fiorentina,1,7,2,286,14,50.0,190.0,0.0,0,0,1.1,1.1,15.0,-0.1,-0.1,Report partita
21,06-01-2022,14:30,Serie A,Giornata n. 20,Gio,Ospiti,V,2,1,Spezia,2,22,5,227,9,40.0,159.0,1.0,0,0,1.9,1.9,9.0,0.1,0.1,Report partita
22,09-01-2022,20:45,Serie A,Giornata n. 21,Dom,Casa,P,1,2,Salernitana,1,24,7,292,4,14.0,179.0,1.0,0,0,1.4,1.4,6.0,-0.4,-0.4,Report partita
23,16-01-2022,12:30,Serie A,Giornata n. 22,Dom,Ospiti,V,4,2,Sassuolo,4,20,5,250,15,60.0,144.0,0.0,1,1,3.5,2.8,14.0,0.5,0.2,Report partita
24,21-01-2022,20:45,Serie A,Giornata n. 23,Ven,Casa,V,2,1,Bologna,2,14,6,429,14,33.0,128.0,0.0,0,0,1.5,1.5,11.0,0.5,0.5,Report partita
25,06-02-2022,20:45,Serie A,Giornata n. 24,Dom,Ospiti,P,0,2,Juventus,0,13,1,77,0,0.0,188.0,0.0,0,0,0.6,0.6,5.0,-0.6,-0.6,Report partita
26,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Casa,V,4,0,Udinese,4,6,5,833,67,80.0,127.0,0.0,0,0,1.0,1.0,17.0,3.0,3.0,Report partita
27,19-02-2022,18:00,Serie A,Giornata n. 26,Sab,Ospiti,N,2,2,Roma,2,5,3,600,40,67.0,139.0,0.0,0,0,0.5,0.5,10.0,1.5,1.5,Report partita
28,27-02-2022,15:05,Serie A,Giornata n. 27,Dom,Casa,V,3,1,Venezia,3,19,11,579,16,27.0,155.0,0.0,0,0,2.3,2.3,12.0,0.7,0.7,Report partita
29,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Ospiti,N,1,1,Fiorentina,1,3,1,333,0,0.0,155.0,0.0,1,1,1.3,0.5,18.0,-0.3,-0.5,Report partita
30,13-03-2022,15:00,Serie A,Giornata n. 29,Dom,Casa,P,1,2,Napoli,1,8,1,125,13,100.0,167.0,0.0,0,0,0.5,0.5,6.0,0.5,0.5,Report partita
31,20-03-2022,15:00,Serie A,Giornata n. 30,Dom,Ospiti,N,1,1,Empoli,1,13,4,308,8,25.0,184.0,1.0,0,1,1.3,0.5,4.0,-0.3,0.5,Report partita
32,04-04-2022,18:30,Serie A,Giornata n. 31,Lun,Casa,V,1,0,Genoa,1,7,4,571,14,25.0,162.0,0.0,0,0,1.1,1.1,15.0,-0.1,-0.1,Report partita
33,09-04-2022,18:00,Serie A,Giornata n. 32,Sab,Ospiti,P,0,2,Inter,0,9,3,333,0,0.0,159.0,0.0,0,0,0.8,0.8,9.0,-0.8,-0.8,Report partita
34,18-04-2022,21:00,Serie A,Giornata n. 33,Lun,Ospiti,V,2,1,Atalanta,1,21,6,286,5,17.0,153.0,1.0,0,0,3.2,3.2,16.0,-2.2,-2.2,Report partita
35,23-04-2022,20:45,Serie A,Giornata n. 34,Sab,Casa,N,1,1,Sampdoria,1,12,1,83,8,100.0,161.0,1.0,0,0,1.1,1.1,10.0,-0.1,-0.1,Report partita
36,30-04-2022,15:00,Serie A,Giornata n. 35,Sab,Ospiti,V,2,1,Cagliari,2,13,4,308,15,50.0,154.0,2.0,0,0,1.3,1.3,10.0,0.7,0.7,Report partita
37,08-05-2022,20:45,Serie A,Giornata n. 36,Dom,Casa,P,1,3,Milan,1,10,3,300,10,33.0,147.0,0.0,0,0,1.2,1.2,12.0,-0.2,-0.2,Report partita
38,14-05-2022,18:00,Serie A,Giornata n. 37,Sab,Casa,P,0,1,Torino,0,10,5,500,0,0.0,144.0,0.0,0,0,0.7,0.7,7.0,-0.7,-0.7,Report partita
39,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Ospiti,N,3,3,Lazio,3,11,7,636,27,43.0,164.0,1.0,0,0,1.6,1.6,15.0,1.4,1.4,Report partita
