,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
0,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Casa,V,4,0,Genoa,4,17,8,471,24,50.0,133.0,0.0,0,0,1.5,1.5,9.0,2.5,2.5,Report partita
1,27-08-2021,20:45,Serie A,Giornata n. 2,Ven,Ospiti,V,3,1,Hellas Verona,3,16,8,500,19,38.0,139.0,0.0,0,0,1.6,1.6,10.0,1.4,1.4,Report partita
2,12-09-2021,12:30,Serie A,Giornata n. 3,Dom,Ospiti,N,2,2,Sampdoria,2,8,3,375,25,67.0,148.0,1.0,0,0,0.7,0.7,9.0,1.3,1.3,Report partita
4,18-09-2021,18:00,Serie A,Giornata n. 4,Sab,Casa,V,6,1,Bologna,6,19,11,579,32,55.0,147.0,0.0,0,0,3.1,3.1,17.0,2.9,2.9,Report partita
5,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Ospiti,V,3,1,Fiorentina,3,17,5,294,18,60.0,137.0,1.0,0,0,2.8,2.8,16.0,0.2,0.2,Report partita
6,25-09-2021,18:00,Serie A,Giornata n. 6,Sab,Casa,N,2,2,Atalanta,2,17,6,353,12,33.0,142.0,1.0,0,1,3.9,3.1,19.0,-1.9,-1.1,Report partita
8,02-10-2021,20:45,Serie A,Giornata n. 7,Sab,Ospiti,V,2,1,Sassuolo,2,16,2,125,6,50.0,161.0,0.0,1,1,1.9,1.2,7.0,0.1,-0.2,Report partita
9,16-10-2021,18:00,Serie A,Giornata n. 8,Sab,Ospiti,P,1,3,Lazio,1,11,3,273,0,0.0,174.0,0.0,1,1,1.4,0.7,6.0,-0.4,-0.7,Report partita
11,24-10-2021,20:45,Serie A,Giornata n. 9,Dom,Casa,N,1,1,Juventus,1,10,2,200,10,50.0,173.0,0.0,0,0,0.8,0.8,8.0,0.2,0.2,Report partita
12,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Ospiti,V,2,0,Empoli,2,21,9,429,10,22.0,149.0,0.0,0,0,2.0,2.0,10.0,0.0,0.0,Report partita
13,31-10-2021,12:30,Serie A,Giornata n. 11,Dom,Casa,V,2,0,Udinese,2,15,5,333,13,40.0,171.0,0.0,0,0,2.1,2.1,16.0,-0.1,-0.1,Report partita
15,07-11-2021,20:45,Serie A,Giornata n. 12,Dom,Ospiti,N,1,1,Milan,1,12,0,0,0,,200.0,0.0,1,2,2.6,1.0,9.0,-1.6,-1.0,Report partita
16,21-11-2021,18:00,Serie A,Giornata n. 13,Dom,Casa,V,3,2,Napoli,3,16,6,375,13,33.0,164.0,0.0,1,1,1.9,1.2,8.0,1.1,0.8,Report partita
18,27-11-2021,20:45,Serie A,Giornata n. 14,Sab,Ospiti,V,2,0,Venezia,2,26,10,385,4,10.0,164.0,1.0,1,1,2.7,2.2,9.0,-0.7,-1.2,Report partita
19,01-12-2021,18:30,Serie A,Giornata n. 15,Mer,Casa,V,2,0,Spezia,2,30,10,333,3,10.0,181.0,1.0,1,1,2.8,2.1,7.0,-0.8,-1.1,Report partita
20,04-12-2021,18:00,Serie A,Giornata n. 16,Sab,Ospiti,V,3,0,Roma,3,10,4,400,30,75.0,161.0,0.0,0,0,1.5,1.5,15.0,1.5,1.5,Report partita
22,12-12-2021,20:45,Serie A,Giornata n. 17,Dom,Casa,V,4,0,Cagliari,4,23,14,609,17,29.0,165.0,0.0,0,1,3.0,2.1,9.0,1.0,1.9,Report partita
23,17-12-2021,20:45,Serie A,Giornata n. 18,Ven,Ospiti,V,5,0,Salernitana,5,23,8,348,22,63.0,124.0,0.0,0,0,3.1,3.1,14.0,1.9,1.9,Report partita
24,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Casa,V,1,0,Torino,1,15,3,200,7,33.0,186.0,1.0,0,0,1.3,1.3,9.0,-0.3,-0.3,Report partita
