,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
0,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Ospiti,N,2,2,Udinese,2,10,3,300,20,67.0,149.0,0.0,0,0,0.8,0.8,8.0,1.2,1.2,Report partita
1,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Casa,P,0,1,Empoli,0,19,5,263,0,0.0,165.0,1.0,0,0,1.5,1.5,8.0,-1.5,-1.5,Report partita
2,11-09-2021,18:00,Serie A,Giornata n. 3,Sab,Ospiti,P,1,2,Napoli,1,8,4,500,13,25.0,146.0,0.0,0,0,1.0,1.0,13.0,0.0,0.0,Report partita
4,19-09-2021,20:45,Serie A,Giornata n. 4,Dom,Casa,N,1,1,Milan,1,9,4,444,11,25.0,146.0,0.0,0,0,1.0,1.0,11.0,0.0,0.0,Report partita
5,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Ospiti,V,3,2,Spezia,3,26,9,346,12,33.0,172.0,2.0,0,0,2.3,2.3,9.0,0.7,0.7,Report partita
6,26-09-2021,12:30,Serie A,Giornata n. 6,Dom,Casa,V,3,2,Sampdoria,3,15,5,333,13,40.0,184.0,0.0,1,1,2.4,1.6,11.0,0.6,0.4,Report partita
8,02-10-2021,18:00,Serie A,Giornata n. 7,Sab,Ospiti,V,1,0,Torino,1,10,3,300,10,33.0,173.0,0.0,0,0,0.9,0.9,9.0,0.1,0.1,Report partita
9,17-10-2021,20:45,Serie A,Giornata n. 8,Dom,Casa,V,1,0,Roma,1,7,3,429,14,33.0,131.0,0.0,0,0,0.8,0.8,13.0,0.2,0.2,Report partita
11,24-10-2021,20:45,Serie A,Giornata n. 9,Dom,Ospiti,N,1,1,Inter,1,15,3,200,0,0.0,209.0,1.0,1,1,1.8,1.0,7.0,-0.8,-1.0,Report partita
12,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Casa,P,1,2,Sassuolo,1,14,2,143,7,50.0,146.0,0.0,0,0,1.3,1.3,9.0,-0.3,-0.3,Report partita
13,30-10-2021,18:00,Serie A,Giornata n. 11,Sab,Ospiti,P,1,2,Hellas Verona,1,15,4,267,7,25.0,185.0,0.0,0,0,0.9,0.9,6.0,0.1,0.1,Report partita
15,06-11-2021,18:00,Serie A,Giornata n. 12,Sab,Casa,V,1,0,Fiorentina,1,13,3,231,8,33.0,152.0,0.0,0,0,0.7,0.7,6.0,0.3,0.3,Report partita
16,20-11-2021,18:00,Serie A,Giornata n. 13,Sab,Ospiti,V,2,0,Lazio,2,9,3,333,0,0.0,157.0,0.0,2,2,2.7,1.2,13.0,-0.7,-1.2,Report partita
18,27-11-2021,18:00,Serie A,Giornata n. 14,Sab,Casa,P,0,1,Atalanta,0,15,2,133,0,0.0,183.0,1.0,0,0,0.9,0.9,6.0,-0.9,-0.9,Report partita
19,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Ospiti,V,2,0,Salernitana,2,17,7,412,12,29.0,189.0,1.0,0,1,2.2,1.5,9.0,-0.2,0.5,Report partita
20,05-12-2021,20:45,Serie A,Giornata n. 16,Dom,Casa,V,2,0,Genoa,2,27,12,444,7,17.0,177.0,0.0,0,0,2.5,2.5,10.0,-0.5,-0.5,Report partita
22,11-12-2021,18:00,Serie A,Giornata n. 17,Sab,Ospiti,N,1,1,Venezia,1,20,6,300,5,17.0,164.0,1.0,0,0,1.6,1.6,8.0,-0.6,-0.6,Report partita
23,18-12-2021,18:00,Serie A,Giornata n. 18,Sab,Ospiti,V,2,0,Bologna,2,11,7,636,18,29.0,177.0,0.0,0,0,1.1,1.1,10.0,0.9,0.9,Report partita
24,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Casa,V,2,0,Cagliari,2,15,4,267,13,50.0,133.0,0.0,0,0,1.0,1.0,7.0,1.0,1.0,Report partita
25,06-01-2022,20:45,Serie A,Giornata n. 20,Gio,Casa,N,1,1,Napoli,1,22,5,227,5,20.0,186.0,2.0,0,0,1.3,1.3,6.0,-0.3,-0.3,Report partita
26,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Ospiti,V,4,3,Roma,4,14,5,357,29,80.0,196.0,1.0,0,0,1.1,1.1,8.0,2.9,2.9,Report partita
28,15-01-2022,20:45,Serie A,Giornata n. 22,Sab,Casa,V,2,0,Udinese,2,14,4,286,14,50.0,176.0,1.0,0,0,1.5,1.5,11.0,0.5,0.5,Report partita
30,23-01-2022,20:45,Serie A,Giornata n. 23,Dom,Ospiti,N,0,0,Milan,0,8,0,0,0,,159.0,0.0,0,0,0.4,0.4,5.0,-0.4,-0.4,Report partita
31,06-02-2022,20:45,Serie A,Giornata n. 24,Dom,Casa,V,2,0,Hellas Verona,2,11,8,727,18,25.0,173.0,0.0,0,0,1.2,1.2,11.0,0.8,0.8,Report partita
33,13-02-2022,20:45,Serie A,Giornata n. 25,Dom,Ospiti,N,1,1,Atalanta,1,15,6,400,7,17.0,169.0,0.0,0,0,0.7,0.7,5.0,0.3,0.3,Report partita
34,18-02-2022,20:45,Serie A,Giornata n. 26,Ven,Casa,N,1,1,Torino,1,12,3,250,8,33.0,171.0,1.0,0,0,0.7,0.7,5.0,0.3,0.3,Report partita
36,26-02-2022,18:00,Serie A,Giornata n. 27,Sab,Ospiti,V,3,2,Empoli,3,12,5,417,25,60.0,131.0,0.0,0,0,2.1,2.1,17.0,0.9,0.9,Report partita
38,06-03-2022,18:00,Serie A,Giornata n. 28,Dom,Casa,V,1,0,Spezia,1,10,3,300,10,33.0,157.0,0.0,0,0,1.5,1.5,15.0,-0.5,-0.5,Report partita
39,12-03-2022,18:00,Serie A,Giornata n. 29,Sab,Ospiti,V,3,1,Sampdoria,2,5,2,400,20,50.0,139.0,0.0,1,1,1.1,0.4,8.0,0.9,0.6,Report partita
41,20-03-2022,15:00,Serie A,Giornata n. 30,Dom,Casa,V,2,0,Salernitana,2,12,7,583,17,29.0,116.0,0.0,0,0,1.5,1.5,12.0,0.5,0.5,Report partita
42,03-04-2022,20:45,Serie A,Giornata n. 31,Dom,Casa,P,0,1,Inter,0,22,5,227,0,0.0,186.0,3.0,0,0,1.7,1.7,8.0,-1.7,-1.7,Report partita
43,09-04-2022,20:45,Serie A,Giornata n. 32,Sab,Ospiti,V,2,1,Cagliari,2,20,7,350,10,29.0,190.0,1.0,0,0,1.5,1.5,8.0,0.5,0.5,Report partita
44,16-04-2022,18:30,Serie A,Giornata n. 33,Sab,Casa,N,1,1,Bologna,1,24,4,167,4,25.0,167.0,2.0,0,0,2.0,2.0,9.0,-1.0,-1.0,Report partita
46,25-04-2022,20:45,Serie A,Giornata n. 34,Lun,Ospiti,V,2,1,Sassuolo,2,10,5,500,20,40.0,199.0,1.0,0,0,1.2,1.2,12.0,0.8,0.8,Report partita
47,01-05-2022,12:30,Serie A,Giornata n. 35,Dom,Casa,V,2,1,Venezia,2,18,4,222,11,50.0,144.0,0.0,0,0,2.2,2.2,13.0,-0.2,-0.2,Report partita
48,06-05-2022,21:00,Serie A,Giornata n. 36,Ven,Ospiti,P,1,2,Genoa,1,13,4,308,8,25.0,152.0,0.0,0,0,1.4,1.4,11.0,-0.4,-0.4,Report partita
50,16-05-2022,20:45,Serie A,Giornata n. 37,Lun,Casa,N,2,2,Lazio,2,4,2,500,50,100.0,130.0,0.0,0,0,0.8,0.8,21.0,1.2,1.2,Report partita
51,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Ospiti,P,0,2,Fiorentina,0,1,0,0,0,,171.0,0.0,0,0,0.1,0.1,10.0,-0.1,-0.1,Report partita
