,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
0,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Ospiti,V,3,1,Empoli,3,7,3,429,29,67.0,144.0,0.0,1,1,1.3,0.5,8.0,1.7,1.5,Report partita
1,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Casa,V,6,1,Spezia,6,17,9,529,35,67.0,176.0,1.0,0,1,3.2,2.5,15.0,2.8,3.5,Report partita
2,12-09-2021,18:00,Serie A,Giornata n. 3,Dom,Ospiti,P,0,2,Milan,0,8,5,625,0,0.0,197.0,0.0,0,0,0.3,0.3,3.0,-0.3,-0.3,Report partita
4,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Casa,N,2,2,Cagliari,2,28,10,357,7,20.0,163.0,1.0,0,0,2.1,2.1,8.0,-0.1,-0.1,Report partita
5,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Ospiti,N,1,1,Torino,1,5,1,200,0,0.0,288.0,0.0,1,1,0.9,0.2,3.0,0.1,-0.2,Report partita
6,26-09-2021,18:00,Serie A,Giornata n. 6,Dom,Casa,V,3,2,Roma,3,10,4,400,30,75.0,120.0,0.0,0,0,2.2,2.2,22.0,0.8,0.8,Report partita
8,03-10-2021,12:30,Serie A,Giornata n. 7,Dom,Ospiti,P,0,3,Bologna,0,8,4,500,0,0.0,165.0,0.0,0,0,0.6,0.6,8.0,-0.6,-0.6,Report partita
9,16-10-2021,18:00,Serie A,Giornata n. 8,Sab,Casa,V,3,1,Inter,3,18,7,389,11,29.0,161.0,1.0,1,1,2.5,1.8,11.0,0.5,0.2,Report partita
11,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Ospiti,P,1,4,Hellas Verona,1,9,4,444,11,25.0,157.0,1.0,0,0,0.9,0.9,10.0,0.1,0.1,Report partita
12,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Casa,V,1,0,Fiorentina,1,5,2,400,20,50.0,131.0,0.0,0,0,0.6,0.6,12.0,0.4,0.4,Report partita
