,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
0,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Casa,V,2,0,Venezia,2,11,3,273,9,33,206.0,3.0,1,2,2.3,0.8,7.0,-0.3,0.2,Report partita
1,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Ospiti,V,2,1,Genoa,2,13,8,615,15,25,179.0,1.0,0,0,1.1,1.1,9.0,0.9,0.9,Report partita
2,11-09-2021,18:00,Serie A,Giornata n. 3,Sab,Casa,V,2,1,Juventus,2,25,7,280,8,29,174.0,1.0,0,0,2.1,2.1,8.0,-0.1,-0.1,Report partita
4,20-09-2021,20:45,Serie A,Giornata n. 4,Lun,Ospiti,V,4,0,Udinese,4,18,8,444,22,50,154.0,2.0,0,0,2.4,2.4,15.0,1.6,1.6,Report partita
5,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Ospiti,V,4,0,Sampdoria,4,17,9,529,24,44,194.0,0.0,0,0,2.2,2.2,13.0,1.8,1.8,Report partita
6,26-09-2021,20:45,Serie A,Giornata n. 6,Dom,Casa,V,2,0,Cagliari,2,16,6,375,6,17,223.0,1.0,1,1,1.8,1.1,7.0,0.2,-0.1,Report partita
8,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Ospiti,V,2,1,Fiorentina,2,11,4,364,18,50,158.0,1.0,0,1,1.7,0.8,7.0,0.3,1.2,Report partita
9,17-10-2021,18:00,Serie A,Giornata n. 8,Dom,Casa,V,1,0,Torino,1,10,2,200,10,50,182.0,0.0,0,1,1.6,0.9,9.0,-0.6,0.1,Report partita
11,24-10-2021,18:00,Serie A,Giornata n. 9,Dom,Ospiti,N,0,0,Roma,0,11,2,182,0,0,188.0,1.0,0,0,0.9,0.9,9.0,-0.9,-0.9,Report partita
12,28-10-2021,20:45,Serie A,Giornata n. 10,Gio,Casa,V,3,0,Bologna,3,16,4,250,6,25,190.0,0.0,2,2,2.6,1.1,7.0,0.4,-0.1,Report partita
13,31-10-2021,18:00,Serie A,Giornata n. 11,Dom,Ospiti,V,1,0,Salernitana,1,18,4,222,6,25,170.0,0.0,0,0,1.4,1.4,8.0,-0.4,-0.4,Report partita
15,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Casa,N,1,1,Hellas Verona,1,16,1,63,6,100,202.0,3.0,0,0,0.8,0.8,5.0,0.2,0.2,Report partita
16,21-11-2021,18:00,Serie A,Giornata n. 13,Dom,Ospiti,P,2,3,Inter,2,9,3,333,22,67,150.0,0.0,0,0,1.1,1.1,12.0,0.9,0.9,Report partita
18,28-11-2021,20:45,Serie A,Giornata n. 14,Dom,Casa,V,4,0,Lazio,4,18,8,444,22,50,202.0,1.0,0,0,1.2,1.2,7.0,2.8,2.8,Report partita
19,01-12-2021,20:45,Serie A,Giornata n. 15,Mer,Ospiti,N,2,2,Sassuolo,2,9,4,444,22,50,158.0,0.0,0,0,0.8,0.8,8.0,1.2,1.2,Report partita
20,04-12-2021,20:45,Serie A,Giornata n. 16,Sab,Casa,P,2,3,Atalanta,2,15,4,267,13,50,177.0,1.0,0,0,1.2,1.2,8.0,0.8,0.8,Report partita
22,12-12-2021,18:00,Serie A,Giornata n. 17,Dom,Casa,P,0,1,Empoli,0,30,6,200,0,0,177.0,0.0,0,0,1.7,1.7,6.0,-1.7,-1.7,Report partita
23,19-12-2021,20:45,Serie A,Giornata n. 18,Dom,Ospiti,V,1,0,Milan,1,11,2,182,9,50,153.0,0.0,0,0,0.9,0.9,8.0,0.1,0.1,Report partita
24,22-12-2021,20:45,Serie A,Giornata n. 19,Mer,Casa,P,0,1,Spezia,0,27,6,222,0,0,158.0,0.0,0,0,2.0,2.0,8.0,-2.0,-2.0,Report partita
25,06-01-2022,20:45,Serie A,Giornata n. 20,Gio,Ospiti,N,1,1,Juventus,1,16,4,250,6,25,209.0,1.0,0,0,0.7,0.7,4.0,0.3,0.3,Report partita
26,09-01-2022,16:30,Serie A,Giornata n. 21,Dom,Casa,V,1,0,Sampdoria,1,22,5,227,5,20,171.0,1.0,0,0,1.5,1.5,7.0,-0.5,-0.5,Report partita
28,17-01-2022,18:30,Serie A,Giornata n. 22,Lun,Ospiti,V,2,0,Bologna,2,14,5,357,14,40,171.0,1.0,0,0,2.1,2.1,15.0,-0.1,-0.1,Report partita
