,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Casa,V,3,1,Fiorentina,3,11.0,6.0,545.0,27.0,50.0,137.0,0.0,0,0,2.7,2.7,25.0,0.3,0.3,Report partita
3,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Ospiti,V,4,0,Salernitana,4,28.0,9.0,321.0,14.0,44.0,175.0,0.0,0,0,1.9,1.9,7.0,2.1,2.1,Report partita
4,12-09-2021,20:45,Serie A,Giornata n. 3,Dom,Casa,V,2,1,Sassuolo,2,18.0,6.0,333.0,11.0,33.0,136.0,0.0,0,0,2.8,2.8,17.0,-0.8,-0.8,Report partita
6,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Ospiti,P,2,3,Hellas Verona,1,15.0,2.0,133.0,7.0,50.0,191.0,0.0,0,0,0.8,0.8,6.0,0.2,0.2,Report partita
7,23-09-2021,20:45,Serie A,Giornata n. 5,Gio,Casa,V,1,0,Udinese,1,12.0,2.0,167.0,8.0,50.0,173.0,0.0,0,0,1.3,1.3,11.0,-0.3,-0.3,Report partita
8,26-09-2021,18:00,Serie A,Giornata n. 6,Dom,Ospiti,P,2,3,Lazio,2,19.0,6.0,316.0,5.0,17.0,136.0,0.0,1,1,2.3,1.5,8.0,-0.3,-0.5,Report partita
10,03-10-2021,18:00,Serie A,Giornata n. 7,Dom,Casa,V,2,0,Empoli,2,18.0,5.0,278.0,11.0,40.0,148.0,2.0,0,0,1.3,1.3,7.0,0.7,0.7,Report partita
11,17-10-2021,20:45,Serie A,Giornata n. 8,Dom,Ospiti,P,0,1,Juventus,0,14.0,3.0,214.0,0.0,0.0,182.0,0.0,0,1,1.4,0.6,4.0,-1.4,-0.6,Report partita
13,24-10-2021,18:00,Serie A,Giornata n. 9,Dom,Casa,N,0,0,Napoli,0,13.0,1.0,77.0,0.0,0.0,163.0,0.0,0,0,1.3,1.3,10.0,-1.3,-1.3,Report partita
14,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Ospiti,V,2,1,Cagliari,2,23.0,3.0,130.0,9.0,67.0,117.0,1.0,0,0,2.4,2.4,12.0,-0.4,-0.4,Report partita
15,31-10-2021,20:45,Serie A,Giornata n. 11,Dom,Casa,P,1,2,Milan,1,24.0,6.0,250.0,4.0,17.0,181.0,1.0,0,0,1.2,1.2,5.0,-0.2,-0.2,Report partita
17,07-11-2021,12:30,Serie A,Giornata n. 12,Dom,Ospiti,P,2,3,Venezia,2,28.0,8.0,286.0,7.0,25.0,124.0,0.0,0,0,3.5,3.5,14.0,-1.5,-1.5,Report partita
18,21-11-2021,20:45,Serie A,Giornata n. 13,Dom,Ospiti,V,2,0,Genoa,2,18.0,3.0,167.0,11.0,67.0,158.0,0.0,0,0,1.8,1.8,10.0,0.2,0.2,Report partita
20,28-11-2021,18:00,Serie A,Giornata n. 14,Dom,Casa,V,1,0,Torino,1,10.0,2.0,200.0,10.0,50.0,172.0,0.0,0,0,0.9,0.9,10.0,0.1,0.1,Report partita
21,01-12-2021,18:30,Serie A,Giornata n. 15,Mer,Ospiti,P,0,1,Bologna,0,13.0,5.0,385.0,0.0,0.0,198.0,1.0,0,0,0.9,0.9,7.0,-0.9,-0.9,Report partita
22,04-12-2021,18:00,Serie A,Giornata n. 16,Sab,Casa,P,0,3,Inter,0,9.0,1.0,111.0,0.0,0.0,151.0,0.0,0,0,0.7,0.7,7.0,-0.7,-0.7,Report partita
24,13-12-2021,20:45,Serie A,Giornata n. 17,Lun,Casa,V,2,0,Spezia,2,12.0,5.0,417.0,17.0,40.0,112.0,0.0,0,0,1.9,1.9,17.0,0.1,0.1,Report partita
25,18-12-2021,15:00,Serie A,Giornata n. 18,Sab,Ospiti,V,4,1,Atalanta,4,8.0,5.0,625.0,50.0,80.0,153.0,1.0,0,0,1.2,1.2,15.0,2.8,2.8,Report partita
26,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Casa,N,1,1,Sampdoria,1,15.0,4.0,267.0,7.0,25.0,184.0,0.0,0,0,1.5,1.5,10.0,-0.5,-0.5,Report partita
27,06-01-2022,18:30,Serie A,Giornata n. 20,Gio,Ospiti,P,1,3,Milan,1,11.0,5.0,455.0,9.0,20.0,182.0,0.0,0,0,0.8,0.8,7.0,0.2,0.2,Report partita
28,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Casa,P,3,4,Juventus,3,19.0,6.0,316.0,16.0,50.0,168.0,1.0,0,1,2.1,1.3,7.0,0.9,1.7,Report partita
29,16-01-2022,18:00,Serie A,Giornata n. 22,Dom,Casa,V,1,0,Cagliari,1,14.0,6.0,429.0,0.0,0.0,185.0,0.0,1,1,1.9,1.2,8.0,-0.9,-1.2,Report partita
31,23-01-2022,18:00,Serie A,Giornata n. 23,Dom,Ospiti,V,4,2,Empoli,4,16.0,7.0,438.0,25.0,57.0,122.0,0.0,0,0,3.0,3.0,20.0,1.0,1.0,Report partita
32,05-02-2022,15:00,Serie A,Giornata n. 24,Sab,Casa,N,0,0,Genoa,0,23.0,3.0,130.0,0.0,0.0,170.0,2.0,0,0,1.4,1.4,6.0,-1.4,-1.4,Report partita
34,13-02-2022,18:00,Serie A,Giornata n. 25,Dom,Ospiti,N,2,2,Sassuolo,2,12.0,7.0,583.0,8.0,14.0,141.0,1.0,1,1,2.4,1.6,14.0,-0.4,-0.6,Report partita
35,19-02-2022,18:00,Serie A,Giornata n. 26,Sab,Casa,N,2,2,Hellas Verona,2,7.0,3.0,429.0,29.0,67.0,170.0,0.0,0,0,0.6,0.6,8.0,1.4,1.4,Report partita
36,27-02-2022,18:05,Serie A,Giornata n. 27,Dom,Ospiti,V,1,0,Spezia,1,30.0,7.0,233.0,0.0,0.0,161.0,1.0,1,1,3.5,2.8,10.0,-2.5,-2.8,Report partita
37,05-03-2022,18:00,Serie A,Giornata n. 28,Sab,Casa,V,1,0,Atalanta,1,13.0,4.0,308.0,8.0,25.0,180.0,1.0,0,0,1.2,1.2,9.0,-0.2,-0.2,Report partita
39,13-03-2022,18:00,Serie A,Giornata n. 29,Dom,Ospiti,N,1,1,Udinese,1,9.0,2.0,222.0,0.0,0.0,207.0,0.0,1,1,1.2,0.5,5.0,-0.2,-0.5,Report partita
41,20-03-2022,18:00,Serie A,Giornata n. 30,Dom,Casa,V,3,0,Lazio,3,12.0,6.0,500.0,25.0,50.0,170.0,1.0,0,0,2.2,2.2,19.0,0.8,0.8,Report partita
42,03-04-2022,18:00,Serie A,Giornata n. 31,Dom,Ospiti,V,1,0,Sampdoria,1,6.0,1.0,167.0,17.0,100.0,144.0,0.0,0,0,1.1,1.1,19.0,-0.1,-0.1,Report partita
