,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Ospiti,P,2,3,Bologna,2,9,3,333,11,33.0,173.0,1.0,1,1,1.6,0.8,10.0,0.4,0.2,Report partita
2,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Casa,P,0,4,Roma,0,5,0,0,0,,125.0,0.0,0,0,0.3,0.3,7.0,-0.3,-0.3,Report partita
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Ospiti,P,0,4,Torino,0,8,2,250,0,0.0,188.0,0.0,0,0,0.2,0.2,3.0,-0.2,-0.2,Report partita
4,18-09-2021,20:45,Serie A,Giornata n. 4,Sab,Casa,P,0,1,Atalanta,0,11,1,91,0,0.0,195.0,0.0,0,0,0.9,0.9,8.0,-0.9,-0.9,Report partita
5,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Casa,N,2,2,Hellas Verona,2,15,4,267,13,50.0,136.0,0.0,0,0,2.7,2.7,18.0,-0.7,-0.7,Report partita
6,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Ospiti,P,0,1,Sassuolo,0,12,4,333,0,0.0,144.0,0.0,0,0,0.9,0.9,7.0,-0.9,-0.9,Report partita
7,02-10-2021,15:00,Serie A,Giornata n. 7,Sab,Casa,V,1,0,Genoa,1,10,4,400,10,25.0,175.0,0.0,0,0,0.5,0.5,5.0,0.5,0.5,Report partita
8,16-10-2021,15:00,Serie A,Giornata n. 8,Sab,Ospiti,P,1,2,Spezia,1,15,4,267,7,25.0,170.0,0.0,0,0,1.7,1.7,11.0,-0.7,-0.7,Report partita
9,23-10-2021,15:00,Serie A,Giornata n. 9,Sab,Casa,P,2,4,Empoli,1,12,5,417,8,20.0,129.0,0.0,0,0,1.0,1.0,8.0,0.0,0.0,Report partita
10,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Ospiti,V,2,1,Venezia,2,21,7,333,10,29.0,173.0,1.0,0,0,1.3,1.3,6.0,0.7,0.7,Report partita
11,31-10-2021,18:00,Serie A,Giornata n. 11,Dom,Casa,P,0,1,Napoli,0,9,2,222,0,0.0,186.0,1.0,0,0,0.7,0.7,8.0,-0.7,-0.7,Report partita
12,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Ospiti,P,0,3,Lazio,0,5,0,0,0,,139.0,0.0,0,0,0.5,0.5,11.0,-0.5,-0.5,Report partita
13,21-11-2021,15:00,Serie A,Giornata n. 13,Dom,Casa,P,0,2,Sampdoria,0,18,3,167,0,0.0,139.0,2.0,0,0,1.3,1.3,7.0,-1.3,-1.3,Report partita
14,26-11-2021,20:45,Serie A,Giornata n. 14,Ven,Ospiti,N,1,1,Cagliari,1,8,2,250,13,50.0,216.0,0.0,0,0,0.4,0.4,6.0,0.6,0.6,Report partita
15,30-11-2021,20:45,Serie A,Giornata n. 15,Mar,Casa,P,0,2,Juventus,0,4,0,0,0,,132.0,0.0,0,0,0.3,0.3,8.0,-0.3,-0.3,Report partita
16,04-12-2021,15:00,Serie A,Giornata n. 16,Sab,Ospiti,P,0,2,Milan,0,7,2,286,0,0.0,227.0,0.0,0,0,0.3,0.3,4.0,-0.3,-0.3,Report partita
17,11-12-2021,15:00,Serie A,Giornata n. 17,Sab,Ospiti,P,0,4,Fiorentina,0,11,6,545,0,0.0,151.0,0.0,0,0,1.0,1.0,9.0,-1.0,-1.0,Report partita
19,17-12-2021,20:45,Serie A,Giornata n. 18,Ven,Casa,P,0,5,Inter,0,10,2,200,0,0.0,129.0,0.0,0,0,0.7,0.7,7.0,-0.7,-0.7,Report partita
20,09-01-2022,20:45,Serie A,Giornata n. 21,Dom,Ospiti,V,2,1,Hellas Verona,2,8,4,500,13,25.0,220.0,1.0,1,1,1.1,0.3,4.0,0.9,0.7,Report partita
21,15-01-2022,18:00,Serie A,Giornata n. 22,Sab,Casa,P,0,3,Lazio,0,7,1,143,0,0.0,203.0,0.0,0,0,0.3,0.3,4.0,-0.3,-0.3,Report partita
22,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Ospiti,P,1,4,Napoli,1,1,1,1000,100,100.0,110.0,0.0,0,0,0.2,0.2,16.0,0.8,0.8,Report partita
23,07-02-2022,20:45,Serie A,Giornata n. 24,Lun,Casa,N,2,2,Spezia,2,10,5,500,20,40.0,241.0,2.0,0,0,0.4,0.4,4.0,1.6,1.6,Report partita
24,13-02-2022,15:00,Serie A,Giornata n. 25,Dom,Ospiti,N,1,1,Genoa,1,12,4,333,8,25.0,183.0,1.0,0,0,0.8,0.8,7.0,0.2,0.2,Report partita
