,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,23-08-2021,20:45,Serie A,Giornata n. 1,Lun,Casa,P,0,1,Milan,0,16,3,188,0,0.0,177.0,2.0,0,0,1.0,1.0,6.0,-1.0,-1.0,Report partita
2,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Ospiti,N,0,0,Sassuolo,0,11,2,182,0,0.0,239.0,1.0,0,0,0.5,0.5,5.0,-0.5,-0.5,Report partita
3,12-09-2021,12:30,Serie A,Giornata n. 3,Dom,Casa,N,2,2,Inter,2,14,2,143,14,100.0,144.0,1.0,0,0,1.2,1.2,9.0,0.8,0.8,Report partita
4,19-09-2021,12:30,Serie A,Giornata n. 4,Dom,Ospiti,V,3,0,Empoli,3,14,8,571,21,38.0,173.0,0.0,0,0,1.8,1.8,13.0,1.2,1.2,Report partita
5,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Casa,P,0,4,Napoli,0,13,5,385,0,0.0,196.0,1.0,0,0,0.6,0.6,5.0,-0.6,-0.6,Report partita
6,26-09-2021,12:30,Serie A,Giornata n. 6,Dom,Ospiti,P,2,3,Juventus,2,6,3,500,33,67.0,151.0,0.0,0,0,0.4,0.4,7.0,1.6,1.6,Report partita
7,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Casa,N,3,3,Udinese,2,11,2,182,9,50.0,186.0,0.0,1,1,1.6,0.9,8.0,0.4,0.1,Report partita
8,17-10-2021,12:30,Serie A,Giornata n. 8,Dom,Ospiti,P,1,3,Cagliari,1,17,3,176,6,33.0,169.0,0.0,0,0,1.5,1.5,9.0,-0.5,-0.5,Report partita
9,22-10-2021,20:45,Serie A,Giornata n. 9,Ven,Casa,V,2,1,Spezia,1,6,2,333,17,50.0,197.0,0.0,0,0,0.9,0.9,16.0,0.1,0.1,Report partita
10,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Casa,P,1,3,Atalanta,1,8,3,375,13,33.0,181.0,0.0,0,0,1.3,1.3,16.0,-0.3,-0.3,Report partita
11,30-10-2021,20:45,Serie A,Giornata n. 11,Sab,Ospiti,P,0,3,Torino,0,5,1,200,0,0.0,155.0,0.0,0,0,0.2,0.2,5.0,-0.2,-0.2,Report partita
12,07-11-2021,15:00,Serie A,Giornata n. 12,Dom,Casa,P,1,2,Bologna,1,10,4,400,10,25.0,172.0,0.0,0,0,0.8,0.8,8.0,0.2,0.2,Report partita
13,21-11-2021,15:00,Serie A,Giornata n. 13,Dom,Ospiti,V,2,0,Salernitana,1,13,6,462,8,17.0,211.0,0.0,0,0,0.9,0.9,7.0,0.1,0.1,Report partita
14,27-11-2021,15:00,Serie A,Giornata n. 14,Sab,Casa,V,3,1,Hellas Verona,3,15,6,400,20,50.0,173.0,0.0,0,0,0.8,0.8,5.0,2.2,2.2,Report partita
15,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Ospiti,P,1,3,Fiorentina,1,11,4,364,9,25.0,157.0,0.0,0,0,0.7,0.7,6.0,0.3,0.3,Report partita
16,05-12-2021,18:00,Serie A,Giornata n. 16,Dom,Casa,P,1,3,Lazio,1,18,5,278,6,20.0,131.0,0.0,0,0,1.4,1.4,8.0,-0.4,-0.4,Report partita
17,10-12-2021,20:45,Serie A,Giornata n. 17,Ven,Ospiti,V,3,1,Genoa,2,14,5,357,14,40.0,139.0,0.0,0,0,1.4,1.4,10.0,0.6,0.6,Report partita
19,19-12-2021,18:00,Serie A,Giornata n. 18,Dom,Casa,N,1,1,Venezia,1,18,7,389,6,14.0,198.0,2.0,0,0,1.4,1.4,8.0,-0.4,-0.4,Report partita
20,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Ospiti,N,1,1,Roma,1,9,2,222,11,50.0,167.0,0.0,0,0,1.5,1.5,23.0,-0.5,-0.5,Report partita
21,06-01-2022,12:30,Serie A,Giornata n. 20,Gio,Casa,P,1,2,Cagliari,1,4,2,500,25,50.0,139.0,0.0,0,0,0.6,0.6,15.0,0.4,0.4,Report partita
22,09-01-2022,16:30,Serie A,Giornata n. 21,Dom,Ospiti,P,0,1,Napoli,0,11,1,91,0,0.0,207.0,0.0,0,0,0.4,0.4,4.0,-0.4,-0.4,Report partita
23,15-01-2022,15:00,Serie A,Giornata n. 22,Sab,Casa,P,1,2,Torino,1,11,3,273,9,33.0,177.0,1.0,0,0,1.3,1.3,12.0,-0.3,-0.3,Report partita
25,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Ospiti,P,0,1,Spezia,0,8,0,0,0,,200.0,0.0,0,0,0.4,0.4,4.0,-0.4,-0.4,Report partita
26,06-02-2022,15:00,Serie A,Giornata n. 24,Dom,Casa,V,4,0,Sassuolo,4,10,6,600,30,50.0,128.0,0.0,1,1,2.1,1.3,14.0,1.9,1.7,Report partita
27,13-02-2022,12:30,Serie A,Giornata n. 25,Dom,Ospiti,P,0,1,Milan,0,4,1,250,0,0.0,178.0,0.0,0,0,0.2,0.2,5.0,-0.2,-0.2,Report partita
28,19-02-2022,15:00,Serie A,Giornata n. 26,Sab,Casa,V,2,0,Empoli,2,8,3,375,25,67.0,144.0,0.0,0,0,0.5,0.5,6.0,1.5,1.5,Report partita
29,28-02-2022,20:50,Serie A,Giornata n. 27,Lun,Ospiti,P,0,4,Atalanta,0,6,1,167,0,0.0,199.0,0.0,0,0,0.5,0.5,9.0,-0.5,-0.5,Report partita
30,05-03-2022,15:00,Serie A,Giornata n. 28,Sab,Ospiti,P,1,2,Udinese,1,8,3,375,13,33.0,147.0,0.0,0,0,0.7,0.7,9.0,0.3,0.3,Report partita
31,12-03-2022,18:00,Serie A,Giornata n. 29,Sab,Casa,P,1,3,Juventus,1,16,4,250,6,25.0,212.0,1.0,0,1,1.7,0.9,6.0,-0.7,0.1,Report partita
32,20-03-2022,12:30,Serie A,Giornata n. 30,Dom,Ospiti,V,2,0,Venezia,2,8,4,500,25,50.0,172.0,0.0,0,0,1.6,1.6,21.0,0.4,0.4,Report partita
33,03-04-2022,18:00,Serie A,Giornata n. 31,Dom,Casa,P,0,1,Roma,0,8,3,375,0,0.0,201.0,1.0,0,0,0.4,0.4,5.0,-0.4,-0.4,Report partita
34,11-04-2022,20:45,Serie A,Giornata n. 32,Lun,Ospiti,P,0,2,Bologna,0,9,2,222,0,0.0,229.0,0.0,0,0,0.6,0.6,7.0,-0.6,-0.6,Report partita
35,16-04-2022,14:30,Serie A,Giornata n. 33,Sab,Casa,P,1,2,Salernitana,1,5,1,200,20,100.0,153.0,0.0,0,0,0.8,0.8,15.0,0.2,0.2,Report partita
36,23-04-2022,20:45,Serie A,Giornata n. 34,Sab,Ospiti,N,1,1,Hellas Verona,1,3,2,667,33,50.0,257.0,0.0,0,1,1.0,0.0,1.0,0.0,1.0,Report partita
