,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
0,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Ospiti,V,3,2,Hellas Verona,3,18,7,389,17,43,189.0,1.0,0,0,1.4,1.4,8.0,1.6,1.6,Report partita
1,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Casa,N,0,0,Sampdoria,0,19,5,263,0,0,178.0,1.0,0,0,1.4,1.4,8.0,-1.4,-1.4,Report partita
2,12-09-2021,20:45,Serie A,Giornata n. 3,Dom,Ospiti,P,1,2,Roma,1,14,7,500,7,14,178.0,0.0,0,0,1.7,1.7,12.0,-0.7,-0.7,Report partita
3,17-09-2021,20:45,Serie A,Giornata n. 4,Ven,Casa,P,0,1,Torino,0,10,2,200,0,0,180.0,2.0,0,0,0.6,0.6,6.0,-0.6,-0.6,Report partita
4,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Ospiti,P,1,2,Atalanta,1,8,1,125,13,100,168.0,0.0,0,0,0.7,0.7,9.0,0.3,0.3,Report partita
5,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Casa,V,1,0,Salernitana,1,17,6,353,6,17,193.0,0.0,0,0,1.3,1.3,8.0,-0.3,-0.3,Report partita
6,02-10-2021,20:45,Serie A,Giornata n. 7,Sab,Casa,P,1,2,Inter,1,11,7,636,0,0,180.0,0.0,1,1,1.5,0.7,7.0,-0.5,-0.7,Report partita
7,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Ospiti,N,2,2,Genoa,2,15,5,333,13,40,160.0,0.0,0,0,2.0,2.0,14.0,0.0,0.0,Report partita
8,23-10-2021,18:00,Serie A,Giornata n. 9,Sab,Casa,V,3,1,Venezia,2,14,7,500,14,29,132.0,1.0,0,0,2.0,2.0,14.0,0.0,0.0,Report partita
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Ospiti,V,2,1,Juventus,2,8,4,500,25,50,186.0,0.0,0,0,1.2,1.2,15.0,0.8,0.8,Report partita
10,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Casa,P,1,2,Empoli,0,15,5,333,0,0,183.0,0.0,0,0,0.9,0.9,6.0,-0.9,-0.9,Report partita
11,07-11-2021,15:00,Serie A,Giornata n. 12,Dom,Ospiti,P,2,3,Udinese,2,10,4,400,20,50,165.0,0.0,0,0,1.3,1.3,13.0,0.7,0.7,Report partita
12,21-11-2021,12:30,Serie A,Giornata n. 13,Dom,Casa,N,2,2,Cagliari,2,19,3,158,5,33,172.0,1.0,1,1,3.2,2.5,13.0,-1.2,-1.5,Report partita
13,28-11-2021,15:00,Serie A,Giornata n. 14,Dom,Ospiti,V,3,1,Milan,2,15,5,333,13,40,177.0,2.0,0,0,1.1,1.1,7.0,0.9,0.9,Report partita
14,01-12-2021,20:45,Serie A,Giornata n. 15,Mer,Casa,N,2,2,Napoli,2,9,7,778,22,29,215.0,0.0,0,0,0.3,0.3,3.0,1.7,1.7,Report partita
