,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,23-08-2021,18:30,Serie A,Giornata n. 1,Lun,Ospiti,N,2,2,Cagliari,2,12,4,333,17,50.0,218.0,1.0,0,0,0.8,0.8,7.0,1.2,1.2,Report partita
2,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Ospiti,P,1,6,Lazio,1,5,2,400,20,50.0,208.0,1.0,0,0,0.7,0.7,14.0,0.3,0.3,Report partita
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Casa,P,0,1,Udinese,0,20,5,250,0,0.0,211.0,0.0,0,0,1.3,1.3,7.0,-1.3,-1.3,Report partita
4,19-09-2021,15:00,Serie A,Giornata n. 4,Dom,Ospiti,V,2,1,Venezia,2,12,3,250,17,67.0,214.0,0.0,0,0,0.5,0.5,4.0,1.5,1.5,Report partita
5,22-09-2021,18:30,Serie A,Giornata n. 5,Mer,Casa,P,2,3,Juventus,2,10,4,400,20,50.0,212.0,0.0,0,0,0.7,0.7,7.0,1.3,1.3,Report partita
6,25-09-2021,15:00,Serie A,Giornata n. 6,Sab,Casa,P,1,2,Milan,1,8,2,250,13,50.0,205.0,0.0,0,0,0.9,0.9,12.0,0.1,0.1,Report partita
7,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Ospiti,P,0,4,Hellas Verona,0,12,4,333,0,0.0,160.0,1.0,0,0,1.4,1.4,12.0,-1.4,-1.4,Report partita
8,16-10-2021,15:00,Serie A,Giornata n. 8,Sab,Casa,V,2,1,Salernitana,2,18,5,278,11,40.0,152.0,1.0,0,0,1.6,1.6,9.0,0.4,0.4,Report partita
9,22-10-2021,20:45,Serie A,Giornata n. 9,Ven,Ospiti,P,1,2,Sampdoria,1,17,7,412,6,14.0,196.0,0.0,0,0,0.9,0.9,5.0,0.1,0.1,Report partita
10,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Casa,N,1,1,Genoa,0,13,3,231,0,0.0,206.0,1.0,0,0,2.0,2.0,15.0,-2.0,-2.0,Report partita
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Ospiti,P,0,3,Fiorentina,0,3,0,0,0,,254.0,0.0,0,0,0.1,0.1,4.0,-0.1,-0.1,Report partita
12,06-11-2021,15:00,Serie A,Giornata n. 12,Sab,Casa,V,1,0,Torino,1,7,3,429,14,33.0,185.0,0.0,0,0,0.6,0.6,9.0,0.4,0.4,Report partita
13,20-11-2021,15:00,Serie A,Giornata n. 13,Sab,Ospiti,P,2,5,Atalanta,2,10,5,500,20,40.0,192.0,0.0,0,0,1.0,1.0,10.0,1.0,1.0,Report partita
14,28-11-2021,15:00,Serie A,Giornata n. 14,Dom,Casa,P,0,1,Bologna,0,14,6,429,0,0.0,178.0,0.0,0,0,1.1,1.1,8.0,-1.1,-1.1,Report partita
15,01-12-2021,18:30,Serie A,Giornata n. 15,Mer,Ospiti,P,0,2,Inter,0,7,4,571,0,0.0,191.0,0.0,0,0,0.4,0.4,5.0,-0.4,-0.4,Report partita
16,05-12-2021,15:00,Serie A,Giornata n. 16,Dom,Casa,N,2,2,Sassuolo,2,9,4,444,22,50.0,115.0,1.0,0,0,2.2,2.2,25.0,-0.2,-0.2,Report partita
17,13-12-2021,20:45,Serie A,Giornata n. 17,Lun,Ospiti,P,0,2,Roma,0,8,2,250,0,0.0,145.0,0.0,0,0,0.5,0.5,6.0,-0.5,-0.5,Report partita
19,19-12-2021,15:00,Serie A,Giornata n. 18,Dom,Casa,N,1,1,Empoli,0,9,2,222,0,0.0,112.0,0.0,0,0,0.6,0.6,7.0,-0.6,-0.6,Report partita
20,22-12-2021,20:45,Serie A,Giornata n. 19,Mer,Ospiti,V,1,0,Napoli,0,8,0,0,0,,255.0,2.0,0,0,0.3,0.3,4.0,-0.3,-0.3,Report partita
21,06-01-2022,14:30,Serie A,Giornata n. 20,Gio,Casa,P,1,2,Hellas Verona,1,9,3,333,11,33.0,167.0,0.0,0,0,0.9,0.9,10.0,0.1,0.1,Report partita
22,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Ospiti,V,1,0,Genoa,1,17,9,529,6,11.0,184.0,0.0,0,0,1.5,1.5,9.0,-0.5,-0.5,Report partita
23,17-01-2022,18:30,Serie A,Giornata n. 22,Lun,Ospiti,V,2,1,Milan,2,10,6,600,20,33.0,152.0,0.0,0,0,1.4,1.4,14.0,0.6,0.6,Report partita
24,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Casa,V,1,0,Sampdoria,1,7,2,286,14,50.0,179.0,1.0,0,0,0.4,0.4,6.0,0.6,0.6,Report partita
25,07-02-2022,20:45,Serie A,Giornata n. 24,Lun,Ospiti,N,2,2,Salernitana,2,11,0,0,0,,228.0,2.0,2,2,1.9,0.4,4.0,0.1,-0.4,Report partita
26,14-02-2022,20:45,Serie A,Giornata n. 25,Lun,Casa,P,1,2,Fiorentina,1,9,1,111,11,100.0,206.0,0.0,0,0,0.7,0.7,7.0,0.3,0.3,Report partita
27,21-02-2022,21:00,Serie A,Giornata n. 26,Lun,Ospiti,P,1,2,Bologna,1,6,2,333,17,50.0,212.0,0.0,0,0,0.5,0.5,9.0,0.5,0.5,Report partita
28,27-02-2022,18:05,Serie A,Giornata n. 27,Dom,Casa,P,0,1,Roma,0,9,3,333,0,0.0,224.0,1.0,0,0,0.3,0.3,3.0,-0.3,-0.3,Report partita
29,06-03-2022,18:00,Serie A,Giornata n. 28,Dom,Ospiti,P,0,1,Juventus,0,9,4,444,0,0.0,197.0,1.0,0,0,0.7,0.7,7.0,-0.7,-0.7,Report partita
30,12-03-2022,15:00,Serie A,Giornata n. 29,Sab,Casa,V,2,0,Cagliari,2,14,8,571,14,25.0,182.0,0.0,0,1,2.2,1.4,10.0,-0.2,0.6,Report partita
31,18-03-2022,18:45,Serie A,Giornata n. 30,Ven,Ospiti,P,1,4,Sassuolo,1,6,1,167,17,100.0,151.0,0.0,0,0,0.5,0.5,8.0,0.5,0.5,Report partita
32,02-04-2022,15:00,Serie A,Giornata n. 31,Sab,Casa,V,1,0,Venezia,1,11,4,364,9,25.0,162.0,0.0,0,0,1.2,1.2,11.0,-0.2,-0.2,Report partita
33,09-04-2022,15:00,Serie A,Giornata n. 32,Sab,Ospiti,N,0,0,Empoli,0,11,4,364,0,0.0,131.0,0.0,0,0,0.7,0.7,7.0,-0.7,-0.7,Report partita
34,15-04-2022,19:00,Serie A,Giornata n. 33,Ven,Casa,P,1,3,Inter,1,11,3,273,9,33.0,144.0,0.0,0,0,0.9,0.9,8.0,0.1,0.1,Report partita
35,23-04-2022,15:00,Serie A,Giornata n. 34,Sab,Ospiti,P,1,2,Torino,1,6,1,167,0,0.0,239.0,2.0,1,1,1.0,0.3,4.0,0.0,-0.3,Report partita
36,30-04-2022,20:45,Serie A,Giornata n. 35,Sab,Casa,P,3,4,Lazio,3,9,3,333,33,100.0,136.0,0.0,0,0,1.6,1.6,17.0,1.4,1.4,Report partita
37,08-05-2022,12:30,Serie A,Giornata n. 36,Dom,Casa,P,1,3,Atalanta,1,5,1,200,20,100.0,163.0,1.0,0,0,1.0,1.0,21.0,0.0,0.0,Report partita
38,14-05-2022,18:00,Serie A,Giornata n. 37,Sab,Ospiti,V,3,2,Udinese,3,10,7,700,30,43.0,155.0,0.0,0,1,2.2,1.5,15.0,0.8,1.5,Report partita
