,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Casa,P,1,2,Atalanta,1,21,7,333,5,14,186.0,1.0,0,0,1.3,1.3,6.0,-0.3,-0.3,Report partita
2,28-08-2021,20:45,Serie A,Giornata n. 2,Sab,Ospiti,P,1,2,Fiorentina,1,5,1,200,20,100,140.0,0.0,0,0,0.5,0.5,9.0,0.5,0.5,Report partita
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Casa,V,4,0,Salernitana,4,15,5,333,27,80,113.0,0.0,0,0,1.9,1.9,13.0,2.1,2.1,Report partita
4,17-09-2021,20:45,Serie A,Giornata n. 4,Ven,Ospiti,V,1,0,Sassuolo,1,18,3,167,6,33,163.0,0.0,0,0,2.0,2.0,11.0,-1.0,-1.0,Report partita
5,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Casa,N,1,1,Lazio,1,16,5,313,6,20,168.0,0.0,0,0,1.1,1.1,7.0,-0.1,-0.1,Report partita
6,27-09-2021,20:45,Serie A,Giornata n. 6,Lun,Ospiti,N,1,1,Venezia,1,8,3,375,13,33,191.0,0.0,0,0,0.7,0.7,9.0,0.3,0.3,Report partita
7,02-10-2021,18:00,Serie A,Giornata n. 7,Sab,Casa,P,0,1,Juventus,0,13,2,154,0,0,182.0,0.0,0,0,1.0,1.0,7.0,-1.0,-1.0,Report partita
8,17-10-2021,18:00,Serie A,Giornata n. 8,Dom,Ospiti,P,0,1,Napoli,0,11,3,273,0,0,182.0,1.0,0,0,0.9,0.9,8.0,-0.9,-0.9,Report partita
9,22-10-2021,18:30,Serie A,Giornata n. 9,Ven,Casa,V,3,2,Genoa,3,17,6,353,18,50,170.0,1.0,0,0,1.5,1.5,9.0,1.5,1.5,Report partita
10,26-10-2021,20:45,Serie A,Giornata n. 10,Mar,Ospiti,P,0,1,Milan,0,13,2,154,0,0,165.0,0.0,0,0,0.8,0.8,6.0,-0.8,-0.8,Report partita
11,30-10-2021,20:45,Serie A,Giornata n. 11,Sab,Casa,V,3,0,Sampdoria,3,16,5,313,19,60,146.0,0.0,0,0,2.1,2.1,15.0,0.9,0.9,Report partita
12,06-11-2021,15:00,Serie A,Giornata n. 12,Sab,Ospiti,P,0,1,Spezia,0,10,1,100,0,0,144.0,0.0,0,0,0.9,0.9,9.0,-0.9,-0.9,Report partita
13,22-11-2021,20:45,Serie A,Giornata n. 13,Lun,Casa,V,2,1,Udinese,2,14,3,214,14,67,138.0,0.0,0,0,1.9,1.9,18.0,0.1,0.1,Report partita
14,28-11-2021,18:00,Serie A,Giornata n. 14,Dom,Ospiti,P,0,1,Roma,0,18,3,167,0,0,150.0,0.0,0,0,1.2,1.2,7.0,-1.2,-1.2,Report partita
15,02-12-2021,18:30,Serie A,Giornata n. 15,Gio,Casa,N,2,2,Empoli,2,10,3,300,20,67,155.0,0.0,0,0,0.9,0.9,10.0,1.1,1.1,Report partita
16,06-12-2021,20:45,Serie A,Giornata n. 16,Lun,Ospiti,N,1,1,Cagliari,0,8,3,375,0,0,140.0,0.0,0,0,1.4,1.4,17.0,-1.4,-1.4,Report partita
17,12-12-2021,12:30,Serie A,Giornata n. 17,Dom,Casa,V,2,1,Bologna,1,16,7,438,6,14,187.0,1.0,0,0,1.6,1.6,10.0,-0.6,-0.6,Report partita
19,19-12-2021,18:00,Serie A,Giornata n. 18,Dom,Casa,V,1,0,Hellas Verona,1,8,1,125,13,100,179.0,1.0,0,0,0.8,0.8,10.0,0.2,0.2,Report partita
20,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Ospiti,P,0,1,Inter,0,12,3,250,0,0,193.0,1.0,0,0,0.6,0.6,5.0,-0.6,-0.6,Report partita
21,10-01-2022,17:00,Serie A,Giornata n. 21,Lun,Casa,V,4,0,Fiorentina,4,9,6,667,44,67,143.0,0.0,0,0,2.1,2.1,23.0,1.9,1.9,Report partita
22,15-01-2022,15:00,Serie A,Giornata n. 22,Sab,Ospiti,V,2,1,Sampdoria,2,20,12,600,10,17,162.0,0.0,0,0,1.6,1.6,8.0,0.4,0.4,Report partita
23,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Casa,N,1,1,Sassuolo,1,21,6,286,5,17,149.0,0.0,0,0,2.6,2.6,13.0,-1.6,-1.6,Report partita
24,06-02-2022,18:00,Serie A,Giornata n. 24,Dom,Ospiti,P,0,2,Udinese,0,5,1,200,0,0,147.0,0.0,0,0,0.6,0.6,12.0,-0.6,-0.6,Report partita
25,12-02-2022,20:45,Serie A,Giornata n. 25,Sab,Casa,P,1,2,Venezia,1,14,2,143,7,50,159.0,0.0,0,0,0.7,0.7,5.0,0.3,0.3,Report partita
26,18-02-2022,20:45,Serie A,Giornata n. 26,Ven,Ospiti,N,1,1,Juventus,1,10,3,300,10,33,170.0,0.0,0,0,0.7,0.7,7.0,0.3,0.3,Report partita
27,27-02-2022,12:35,Serie A,Giornata n. 27,Dom,Casa,P,1,2,Cagliari,1,15,6,400,7,17,176.0,2.0,0,0,0.8,0.8,6.0,0.2,0.2,Report partita
28,06-03-2022,15:00,Serie A,Giornata n. 28,Dom,Ospiti,N,0,0,Bologna,0,13,2,154,0,0,185.0,0.0,0,0,1.2,1.2,9.0,-1.2,-1.2,Report partita
29,13-03-2022,20:45,Serie A,Giornata n. 29,Dom,Casa,N,1,1,Inter,1,13,3,231,8,33,131.0,0.0,0,0,1.7,1.7,14.0,-0.7,-0.7,Report partita
30,18-03-2022,21:00,Serie A,Giornata n. 30,Ven,Ospiti,P,0,1,Genoa,0,9,3,333,0,0,110.0,1.0,0,0,1.0,1.0,11.0,-1.0,-1.0,Report partita
31,02-04-2022,20:45,Serie A,Giornata n. 31,Sab,Ospiti,V,1,0,Salernitana,1,7,4,571,0,0,167.0,0.0,1,1,1.6,0.9,13.0,-0.6,-0.9,Report partita
32,10-04-2022,20:45,Serie A,Giornata n. 32,Dom,Casa,N,0,0,Milan,0,14,3,214,0,0,177.0,0.0,0,0,1.0,1.0,7.0,-1.0,-1.0,Report partita
33,16-04-2022,20:45,Serie A,Giornata n. 33,Sab,Ospiti,N,1,1,Lazio,1,12,4,333,8,25,122.0,1.0,0,0,1.0,1.0,9.0,0.0,0.0,Report partita
34,23-04-2022,15:00,Serie A,Giornata n. 34,Sab,Casa,V,2,1,Spezia,2,14,5,357,7,20,148.0,1.0,1,1,2.3,1.5,11.0,-0.3,-0.5,Report partita
35,27-04-2022,20:15,Serie A,Giornata n. 20,Mer,Ospiti,N,4,4,Atalanta,3,3,2,667,33,50,226.0,0.0,2,2,2.4,0.8,27.0,0.6,0.2,Report partita
36,01-05-2022,15:00,Serie A,Giornata n. 35,Dom,Ospiti,V,3,1,Empoli,3,11,1,91,9,100,195.0,0.0,2,2,2.4,1.0,9.0,0.6,0.0,Report partita
37,07-05-2022,15:00,Serie A,Giornata n. 36,Sab,Casa,P,0,1,Napoli,0,10,3,300,0,0,197.0,1.0,0,0,0.7,0.7,7.0,-0.7,-0.7,Report partita
38,14-05-2022,18:00,Serie A,Giornata n. 37,Sab,Ospiti,V,1,0,Hellas Verona,1,11,5,455,9,20,164.0,0.0,0,0,0.7,0.7,6.0,0.3,0.3,Report partita
39,20-05-2022,20:45,Serie A,Giornata n. 38,Ven,Casa,P,0,3,Roma,0,13,2,154,0,0,193.0,2.0,0,0,0.7,0.7,6.0,-0.7,-0.7,Report partita
