,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,Reti,Tiri,Tiri.1,% TiP,G/Tiri,G/TiP,Dist.,Pun.,Rigori,Rig T,xG,npxG,npxG/Sh,G-xG,np:G-xG,Report partita
1,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Ospiti,P,0,2,Napoli,0,8,4,500,0,0.0,167.0,0.0,0,0,0.5,0.5,7.0,-0.5,-0.5,Report partita
2,27-08-2021,18:30,Serie A,Giornata n. 2,Ven,Ospiti,P,0,3,Udinese,0,11,3,273,0,0.0,167.0,0.0,0,0,1.0,1.0,10.0,-1.0,-1.0,Report partita
3,11-09-2021,15:00,Serie A,Giornata n. 3,Sab,Ospiti,V,2,1,Empoli,2,10,3,300,20,67.0,161.0,0.0,0,0,1.7,1.7,17.0,0.3,0.3,Report partita
4,19-09-2021,15:00,Serie A,Giornata n. 4,Dom,Casa,P,1,2,Spezia,1,14,3,214,7,33.0,191.0,2.0,0,0,0.9,0.9,6.0,0.1,0.1,Report partita
5,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Ospiti,P,0,2,Milan,0,8,2,250,0,0.0,198.0,1.0,0,0,0.7,0.7,9.0,-0.7,-0.7,Report partita
6,27-09-2021,20:45,Serie A,Giornata n. 6,Lun,Casa,N,1,1,Torino,1,6,0,0,0,,171.0,1.0,1,1,1.3,0.6,9.0,-0.3,-0.6,Report partita
7,01-10-2021,20:45,Serie A,Giornata n. 7,Ven,Ospiti,N,1,1,Cagliari,1,12,4,333,8,25.0,176.0,0.0,0,0,1.1,1.1,10.0,-0.1,-0.1,Report partita
8,18-10-2021,20:45,Serie A,Giornata n. 8,Lun,Casa,V,1,0,Fiorentina,1,4,2,500,25,50.0,133.0,0.0,0,0,1.0,1.0,25.0,0.0,0.0,Report partita
9,23-10-2021,18:00,Serie A,Giornata n. 9,Sab,Ospiti,P,1,3,Sassuolo,1,7,1,143,14,100.0,162.0,0.0,0,0,0.5,0.5,7.0,0.5,0.5,Report partita
10,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Casa,P,1,2,Salernitana,1,8,4,500,13,25.0,174.0,1.0,0,0,0.5,0.5,6.0,0.5,0.5,Report partita
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Ospiti,N,0,0,Genoa,0,6,2,333,0,0.0,127.0,0.0,0,0,0.6,0.6,10.0,-0.6,-0.6,Report partita
12,07-11-2021,12:30,Serie A,Giornata n. 12,Dom,Casa,V,3,2,Roma,3,12,6,500,17,33.0,159.0,1.0,1,1,2.5,1.8,15.0,0.5,0.2,Report partita
13,21-11-2021,15:00,Serie A,Giornata n. 13,Dom,Ospiti,V,1,0,Bologna,1,8,6,750,13,17.0,203.0,0.0,0,0,1.0,1.0,12.0,0.0,0.0,Report partita
14,27-11-2021,20:45,Serie A,Giornata n. 14,Sab,Casa,P,0,2,Inter,0,6,1,167,0,0.0,258.0,0.0,0,0,0.1,0.1,2.0,-0.1,-0.1,Report partita
15,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Ospiti,P,0,4,Atalanta,0,8,4,500,0,0.0,219.0,0.0,0,0,0.7,0.7,8.0,-0.7,-0.7,Report partita
16,05-12-2021,15:00,Serie A,Giornata n. 16,Dom,Casa,P,3,4,Hellas Verona,3,9,5,556,33,60.0,158.0,0.0,0,0,1.8,1.8,21.0,1.2,1.2,Report partita
17,11-12-2021,18:00,Serie A,Giornata n. 17,Sab,Casa,N,1,1,Juventus,1,13,4,308,8,25.0,220.0,0.0,0,0,0.4,0.4,3.0,0.6,0.6,Report partita
