,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Ospiti,P,0,4,Inter,1.0,1.5,41,27.402,Domenico Criscito,3-4-1-2,Valerio Marini,Report partita,
2,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Casa,P,1,2,Napoli,0.6,1.1,39,20.0,Domenico Criscito,3-5-2,Marco Di Bello,Report partita,
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Ospiti,V,3,2,Cagliari,1.1,1.4,47,6.423,Domenico Criscito,3-5-2,Luca Pairetto,Report partita,
4,18-09-2021,15:00,Serie A,Giornata n. 4,Sab,Casa,P,1,2,Fiorentina,1.0,0.9,37,6.269,Domenico Criscito,4-2-3-1,Livio Marinelli,Report partita,
5,21-09-2021,18:30,Serie A,Giornata n. 5,Mar,Ospiti,N,2,2,Bologna,1.5,2.0,41,9.707,Domenico Criscito,4-2-3-1,Francesco Fourneau,Report partita,
6,25-09-2021,20:45,Serie A,Giornata n. 6,Sab,Casa,N,3,3,Hellas Verona,1.6,2.2,49,13.478,Domenico Criscito,4-2-3-1,Daniele Doveri,Report partita,
7,02-10-2021,15:00,Serie A,Giornata n. 7,Sab,Ospiti,P,0,1,Salernitana,1.9,0.5,50,10.077,Domenico Criscito,3-5-2,Maurizio Mariani,Report partita,
8,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Casa,N,2,2,Sassuolo,1.3,2.0,43,10.37,Domenico Criscito,3-5-2,Daniele Chiffi,Report partita,
9,22-10-2021,18:30,Serie A,Giornata n. 9,Ven,Ospiti,P,2,3,Torino,1.8,1.5,42,9.881,Domenico Criscito,4-4-1-1,Piero Giacomelli,Report partita,
10,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Ospiti,N,1,1,Spezia,1.2,2.0,53,7.283,Domenico Criscito,4-1-4-1,Simone Sozza,Report partita,
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Casa,N,0,0,Venezia,0.9,0.6,62,7.92,Domenico Criscito,4-4-2◆,Maurizio Mariani,Report partita,
12,05-11-2021,20:45,Serie A,Giornata n. 12,Ven,Ospiti,N,2,2,Empoli,1.7,0.8,47,5.631,Domenico Criscito,3-4-1-2,Luca Pairetto,Report partita,
13,21-11-2021,20:45,Serie A,Giornata n. 13,Dom,Casa,P,0,2,Roma,0.2,1.8,41,14.667,Goran Pandev,3-5-2,Massimiliano Irrati,Report partita,
14,28-11-2021,12:30,Serie A,Giornata n. 14,Dom,Ospiti,N,0,0,Udinese,0.7,1.1,57,11.537,Stefano Sturaro,3-5-2,Francesco Meraviglia,Report partita,
15,01-12-2021,20:45,Serie A,Giornata n. 15,Mer,Casa,P,0,3,Milan,0.5,1.0,42,14.0,Stefano Sturaro,3-5-2,Juan Sacchi,Report partita,
16,05-12-2021,20:45,Serie A,Giornata n. 16,Dom,Ospiti,P,0,2,Juventus,0.0,2.5,30,18.458,Valon Behrami,3-5-2,Daniele Chiffi,Report partita,
17,10-12-2021,20:45,Serie A,Giornata n. 17,Ven,Casa,P,1,3,Sampdoria,1.0,1.4,54,,Domenico Criscito,3-5-2,Daniele Doveri,Report partita,
19,17-12-2021,18:30,Serie A,Giornata n. 18,Ven,Ospiti,P,1,3,Lazio,0.2,1.5,45,6.0,Domenico Criscito,3-5-2,Luca Pairetto,Report partita,
20,21-12-2021,20:45,Serie A,Giornata n. 19,Mar,Casa,N,0,0,Atalanta,0.0,1.2,33,6.0,Domenico Criscito,3-5-2,Paolo Valeri,Report partita,
21,06-01-2022,16:30,Serie A,Giornata n. 20,Gio,Ospiti,N,1,1,Sassuolo,0.2,2.0,26,4.696,Mattia Destro,3-5-2,Gianluca Manganiello,Report partita,
22,09-01-2022,18:30,Serie A,Giornata n. 21,Dom,Casa,P,0,1,Spezia,1.0,1.5,54,8.0,Stefano Sturaro,3-5-2,Marco Guida,Report partita,
24,17-01-2022,20:45,Serie A,Giornata n. 22,Lun,Ospiti,P,0,6,Fiorentina,0.2,3.1,27,5.0,Stefano Sturaro,4-4-2◆,Fabio Maresca,Report partita,
