,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
0,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Casa,V,4,0,Genoa,1.5,1.0,59,27.402,Samir Handanovič,3-5-1-1,Valerio Marini,Report partita,
1,27-08-2021,20:45,Serie A,Giornata n. 2,Ven,Ospiti,V,3,1,Hellas Verona,1.6,0.8,57,11.214,Samir Handanovič,3-5-1-1,Gianluca Manganiello,Report partita,
2,12-09-2021,12:30,Serie A,Giornata n. 3,Dom,Ospiti,N,2,2,Sampdoria,0.7,1.2,48,7.441,Samir Handanovič,3-5-2,Daniele Orsato,Report partita,
4,18-09-2021,18:00,Serie A,Giornata n. 4,Sab,Casa,V,6,1,Bologna,3.1,0.5,46,35.278,Samir Handanovič,3-5-2,Giovanni Ayroldi,Report partita,
5,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Ospiti,V,3,1,Fiorentina,2.8,1.4,47,15.927,Samir Handanovič,3-5-2,Michael Fabbri,Report partita,
6,25-09-2021,18:00,Serie A,Giornata n. 6,Sab,Casa,N,2,2,Atalanta,3.9,2.1,50,36.517,Samir Handanovič,3-5-2,Fabio Maresca,Report partita,
8,02-10-2021,20:45,Serie A,Giornata n. 7,Sab,Ospiti,V,2,1,Sassuolo,1.9,1.5,45,10.4,Samir Handanovič,3-5-2,Luca Pairetto,Report partita,
9,16-10-2021,18:00,Serie A,Giornata n. 8,Sab,Ospiti,P,1,3,Lazio,1.4,2.5,48,42.0,Samir Handanovič,3-5-1-1,Massimiliano Irrati,Report partita,
11,24-10-2021,20:45,Serie A,Giornata n. 9,Dom,Casa,N,1,1,Juventus,0.8,1.8,49,56.532,Samir Handanovič,3-5-2,Maurizio Mariani,Report partita,
12,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Ospiti,V,2,0,Empoli,2.0,0.6,69,9.335,Samir Handanovič,3-5-2,Daniele Chiffi,Report partita,
13,31-10-2021,12:30,Serie A,Giornata n. 11,Dom,Casa,V,2,0,Udinese,2.1,0.4,66,48.076,Samir Handanovič,3-5-2,Juan Sacchi,Report partita,
15,07-11-2021,20:45,Serie A,Giornata n. 12,Dom,Ospiti,N,1,1,Milan,2.6,0.9,49,56.608,Samir Handanovič,3-5-2,Daniele Doveri,Report partita,
16,21-11-2021,18:00,Serie A,Giornata n. 13,Dom,Casa,V,3,2,Napoli,1.9,1.1,44,56.649,Samir Handanovič,3-5-2,Paolo Valeri,Report partita,
18,27-11-2021,20:45,Serie A,Giornata n. 14,Sab,Ospiti,V,2,0,Venezia,2.7,0.1,56,8.303,Samir Handanovič,3-5-2,Livio Marinelli,Report partita,
19,01-12-2021,18:30,Serie A,Giornata n. 15,Mer,Casa,V,2,0,Spezia,2.8,0.4,63,30.076,Samir Handanovič,3-5-2,Davide Ghersini,Report partita,
20,04-12-2021,18:00,Serie A,Giornata n. 16,Sab,Ospiti,V,3,0,Roma,1.5,0.7,66,51.185,Samir Handanovič,3-5-2,Marco Di Bello,Report partita,
22,12-12-2021,20:45,Serie A,Giornata n. 17,Dom,Casa,V,4,0,Cagliari,3.0,0.2,75,33.712,Samir Handanovič,3-5-2,Matteo Marchetti,Report partita,
23,17-12-2021,20:45,Serie A,Giornata n. 18,Ven,Ospiti,V,5,0,Salernitana,3.1,0.7,65,18.0,Samir Handanovič,3-5-2,Maurizio Mariani,Report partita,
24,22-12-2021,18:30,Serie A,Giornata n. 19,Mer,Casa,V,1,0,Torino,1.3,0.6,54,41.413,Samir Handanovič,3-5-2,Marco Guida,Report partita,
25,09-01-2022,20:45,Serie A,Giornata n. 21,Dom,Casa,V,2,1,Lazio,1.6,1.5,60,29.471,Samir Handanovič,3-5-2,Luca Pairetto,Report partita,
27,16-01-2022,20:45,Serie A,Giornata n. 22,Dom,Ospiti,N,0,0,Atalanta,1.5,1.6,63,5.0,Samir Handanovič,3-5-2,Davide Massa,Report partita,
