,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
0,21-08-2021,20:45,Serie A,Giornata n. 1,Sab,Ospiti,V,3,1,Empoli,1.3,1.3,54,3.655,Ciro Immobile,4-3-3,Simone Sozza,Report partita,
1,28-08-2021,18:30,Serie A,Giornata n. 2,Sab,Casa,V,6,1,Spezia,3.2,0.7,61,20.0,Ciro Immobile,4-3-3,Federico Dionisi,Report partita,
2,12-09-2021,18:00,Serie A,Giornata n. 3,Dom,Ospiti,P,0,2,Milan,0.3,3.0,53,36.207,Ciro Immobile,4-3-3,Daniele Chiffi,Report partita,
4,19-09-2021,18:00,Serie A,Giornata n. 4,Dom,Casa,N,2,2,Cagliari,2.1,1.8,72,20.0,Ciro Immobile,4-3-3,Davide Ghersini,Report partita,
5,23-09-2021,18:30,Serie A,Giornata n. 5,Gio,Ospiti,N,1,1,Torino,0.9,1.1,55,8.646,Ciro Immobile,4-3-3,Rosario Abisso,Report partita,
6,26-09-2021,18:00,Serie A,Giornata n. 6,Dom,Casa,V,3,2,Roma,2.2,2.3,50,32.0,Ciro Immobile,4-3-3,Marco Guida,Report partita,
8,03-10-2021,12:30,Serie A,Giornata n. 7,Dom,Ospiti,P,0,3,Bologna,0.6,0.5,59,12.975,Sergej Milinković-Savić,4-3-3,Davide Massa,Report partita,
9,16-10-2021,18:00,Serie A,Giornata n. 8,Sab,Casa,V,3,1,Inter,2.5,1.4,52,42.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Report partita,
11,24-10-2021,15:00,Serie A,Giornata n. 9,Dom,Ospiti,P,1,4,Hellas Verona,0.9,2.8,51,13.953,Ciro Immobile,4-3-3,Marco Piccinini,Report partita,
12,27-10-2021,20:45,Serie A,Giornata n. 10,Mer,Casa,V,1,0,Fiorentina,0.6,0.6,49,7.0,Ciro Immobile,4-3-3,Giovanni Ayroldi,Report partita,
13,30-10-2021,15:00,Serie A,Giornata n. 11,Sab,Ospiti,N,2,2,Atalanta,1.4,0.9,44,11.981,Ciro Immobile,4-3-3,Marco Guida,Report partita,
15,07-11-2021,18:00,Serie A,Giornata n. 12,Dom,Casa,V,3,0,Salernitana,2.1,0.5,60,25.0,Ciro Immobile,4-3-3,Antonio Rapuano,Report partita,
16,20-11-2021,18:00,Serie A,Giornata n. 13,Sab,Casa,P,0,2,Juventus,0.2,2.7,57,45.0,Sergej Milinković-Savić,4-3-3,Marco Di Bello,Report partita,
18,28-11-2021,20:45,Serie A,Giornata n. 14,Dom,Ospiti,P,0,4,Napoli,0.4,1.2,38,36.0,Ciro Immobile,4-3-3,Daniele Orsato,Report partita,
19,02-12-2021,20:45,Serie A,Giornata n. 15,Gio,Casa,N,4,4,Udinese,1.6,1.3,62,7.0,Ciro Immobile,4-3-3,Marco Piccinini,Report partita,
20,05-12-2021,18:00,Serie A,Giornata n. 16,Dom,Ospiti,V,3,1,Sampdoria,1.2,1.4,52,5.883,Ciro Immobile,4-3-3,Michael Fabbri,Report partita,
22,12-12-2021,18:00,Serie A,Giornata n. 17,Dom,Ospiti,P,1,2,Sassuolo,0.3,1.4,41,5.1,Ciro Immobile,4-3-3,Simone Sozza,Report partita,
23,17-12-2021,18:30,Serie A,Giornata n. 18,Ven,Casa,V,3,1,Genoa,1.5,0.2,55,6.0,Sergej Milinković-Savić,4-3-3,Luca Pairetto,Report partita,
24,22-12-2021,16:30,Serie A,Giornata n. 19,Mer,Ospiti,V,3,1,Venezia,0.8,1.0,53,7.894,Sergej Milinković-Savić,4-3-3,Fabio Maresca,Report partita,
25,06-01-2022,14:30,Serie A,Giornata n. 20,Gio,Casa,N,3,3,Empoli,2.5,2.0,62,23.0,Ciro Immobile,4-3-3,Antonio Giua,Report partita,
26,09-01-2022,20:45,Serie A,Giornata n. 21,Dom,Ospiti,P,1,2,Inter,1.5,1.6,40,29.471,Ciro Immobile,4-3-3,Luca Pairetto,Report partita,
27,15-01-2022,18:00,Serie A,Giornata n. 22,Sab,Ospiti,V,3,0,Salernitana,1.6,0.3,73,2.559,Ciro Immobile,4-3-3,Rosario Abisso,Report partita,
29,22-01-2022,20:45,Serie A,Giornata n. 23,Sab,Casa,N,0,0,Atalanta,0.2,0.4,61,4.0,Ciro Immobile,4-3-3,Simone Sozza,Report partita,
30,05-02-2022,20:45,Serie A,Giornata n. 24,Sab,Ospiti,V,3,0,Fiorentina,2.7,0.8,50,17.181,Ciro Immobile,4-3-3,Daniele Orsato,Report partita,
32,12-02-2022,15:00,Serie A,Giornata n. 25,Sab,Casa,V,3,0,Bologna,2.6,0.7,57,22.0,Ciro Immobile,4-3-3,Marco Piccinini,Report partita,
34,20-02-2022,20:45,Serie A,Giornata n. 26,Dom,Ospiti,N,1,1,Udinese,1.3,1.2,59,10.799,Sergej Milinković-Savić,4-3-3,Luca Massimi,Report partita,
36,27-02-2022,20:50,Serie A,Giornata n. 27,Dom,Casa,P,1,2,Napoli,1.1,1.4,45,25.0,Ciro Immobile,4-3-3,Marco Di Bello,Report partita,
37,05-03-2022,20:45,Serie A,Giornata n. 28,Sab,Ospiti,V,3,0,Cagliari,2.6,0.6,55,10.873,Ciro Immobile,4-3-3,Fabio Maresca,Report partita,
38,14-03-2022,20:45,Serie A,Giornata n. 29,Lun,Casa,V,1,0,Venezia,1.4,0.3,66,18.0,Ciro Immobile,4-3-3,Gianluca Manganiello,Report partita,
39,20-03-2022,18:00,Serie A,Giornata n. 30,Dom,Ospiti,P,0,3,Roma,0.5,2.2,66,51.932,Ciro Immobile,4-3-3,Massimiliano Irrati,Report partita,
40,02-04-2022,18:00,Serie A,Giornata n. 31,Sab,Casa,V,2,1,Sassuolo,2.3,1.8,54,15.0,Ciro Immobile,4-3-3,Antonio Rapuano,Report partita,
41,10-04-2022,12:30,Serie A,Giornata n. 32,Dom,Ospiti,V,4,1,Genoa,1.6,0.8,56,16.756,Ciro Immobile,4-3-2-1,Gianluca Manganiello,Report partita,
42,16-04-2022,20:45,Serie A,Giornata n. 33,Sab,Casa,N,1,1,Torino,0.7,1.0,48,25.0,Ciro Immobile,4-3-3,Alessandro Prontera,Report partita,
43,24-04-2022,20:45,Serie A,Giornata n. 34,Dom,Casa,P,1,2,Milan,0.6,2.1,47,25.0,Ciro Immobile,4-3-3,Marco Guida,Report partita,
44,30-04-2022,20:45,Serie A,Giornata n. 35,Sab,Ospiti,V,4,3,Spezia,3.5,1.6,70,8.75,Ciro Immobile,4-3-3,Luca Pairetto,Report partita,
45,07-05-2022,20:45,Serie A,Giornata n. 36,Sab,Casa,V,2,0,Sampdoria,1.4,0.9,60,31.0,Ciro Immobile,4-3-3,Davide Massa,Report partita,
46,16-05-2022,20:45,Serie A,Giornata n. 37,Lun,Ospiti,N,2,2,Juventus,1.1,0.8,63,40.515,Sergej Milinković-Savić,4-3-3,Giovanni Ayroldi,Report partita,
47,21-05-2022,20:45,Serie A,Giornata n. 38,Sab,Casa,N,3,3,Hellas Verona,2.4,1.6,53,50.0,Sergej Milinković-Savić,4-3-3,Andrea Colombo,Report partita,
