,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
0,23-08-2021,20:45,Serie A,Giornata n. 1,Lun,Ospiti,V,1,0,Sampdoria,1.1,1.0,51,5.0,Davide Calabria,4-2-3-1,Marco Guida,Report partita,
1,29-08-2021,20:45,Serie A,Giornata n. 2,Dom,Casa,V,4,1,Cagliari,2.7,0.4,57,31.946,Davide Calabria,4-2-3-1,Marco Serra,Report partita,
2,12-09-2021,18:00,Serie A,Giornata n. 3,Dom,Casa,V,2,0,Lazio,3.0,0.3,47,36.207,Alessio Romagnoli,4-2-3-1,Daniele Chiffi,Report partita,
4,19-09-2021,20:45,Serie A,Giornata n. 4,Dom,Ospiti,N,1,1,Juventus,0.7,1.0,56,18.785,Alessio Romagnoli,4-2-3-1,Daniele Doveri,Report partita,
5,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Casa,V,2,0,Venezia,1.7,0.7,67,26.185,Alessio Romagnoli,4-2-3-1,Ivan Pezzuto,Report partita,
6,25-09-2021,15:00,Serie A,Giornata n. 6,Sab,Ospiti,V,2,1,Spezia,1.9,0.9,64,3.618,Alessio Romagnoli,4-2-3-1,Gianluca Manganiello,Report partita,
8,03-10-2021,20:45,Serie A,Giornata n. 7,Dom,Ospiti,V,3,2,Atalanta,3.0,2.1,44,9.363,Davide Calabria,4-2-3-1,Marco Di Bello,Report partita,
9,16-10-2021,20:45,Serie A,Giornata n. 8,Sab,Casa,V,3,2,Hellas Verona,1.5,1.4,53,40.128,Alessio Romagnoli,4-2-3-1,Alessandro Prontera,Report partita,
11,23-10-2021,20:45,Serie A,Giornata n. 9,Sab,Ospiti,V,4,2,Bologna,0.9,0.7,62,22.167,Davide Calabria,4-2-3-1,Paolo Valeri,Report partita,
12,26-10-2021,20:45,Serie A,Giornata n. 10,Mar,Casa,V,1,0,Torino,0.9,0.8,44,35.929,Alessio Romagnoli,4-2-3-1,Gianluca Aureliano,Report partita,
13,31-10-2021,20:45,Serie A,Giornata n. 11,Dom,Ospiti,V,2,1,Roma,1.9,1.2,50,51.001,Davide Calabria,4-2-3-1,Fabio Maresca,Report partita,
15,07-11-2021,20:45,Serie A,Giornata n. 12,Dom,Casa,N,1,1,Inter,0.9,2.6,51,56.608,Simon Kjær,4-2-3-1,Daniele Doveri,Report partita,
16,20-11-2021,20:45,Serie A,Giornata n. 13,Sab,Ospiti,P,3,4,Fiorentina,2.1,1.8,55,32.567,Franck Kessié,4-2-3-1,Marco Guida,Report partita,
18,28-11-2021,15:00,Serie A,Giornata n. 14,Dom,Casa,P,1,3,Sassuolo,1.1,1.1,50,52.824,Alessio Romagnoli,4-2-3-1,Gianluca Manganiello,Report partita,
19,01-12-2021,20:45,Serie A,Giornata n. 15,Mer,Ospiti,V,3,0,Genoa,1.0,0.5,58,14.0,Franck Kessié,4-2-3-1,Juan Sacchi,Report partita,
20,04-12-2021,15:00,Serie A,Giornata n. 16,Sab,Casa,V,2,0,Salernitana,2.9,0.3,70,43.609,Alessio Romagnoli,4-2-3-1,Antonio Giua,Report partita,
22,11-12-2021,20:45,Serie A,Giornata n. 17,Sab,Ospiti,N,1,1,Udinese,1.1,1.7,66,16.385,Alessio Romagnoli,4-2-3-1,Francesco Fourneau,Report partita,
