,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
0,21-08-2021,18:30,Serie A,Giornata n. 1,Sab,Ospiti,V,3,2,Hellas Verona,1.4,2.1,60,5.448,Gian Marco Ferrari,4-2-3-1,Manuel Volpi,Report partita,
1,29-08-2021,18:30,Serie A,Giornata n. 2,Dom,Casa,N,0,0,Sampdoria,1.4,0.5,63,3.309,Gian Marco Ferrari,4-2-3-1,Juan Sacchi,Report partita,
2,12-09-2021,20:45,Serie A,Giornata n. 3,Dom,Ospiti,P,1,2,Roma,1.7,2.8,51,29.604,Gian Marco Ferrari,4-2-3-1,Simone Sozza,Report partita,
3,17-09-2021,20:45,Serie A,Giornata n. 4,Ven,Casa,P,0,1,Torino,0.6,2.0,52,20.0,Gian Marco Ferrari,4-2-3-1,Marco Piccinini,Report partita,
4,21-09-2021,20:45,Serie A,Giornata n. 5,Mar,Ospiti,P,1,2,Atalanta,0.7,1.6,53,7.353,Francesco Magnanelli,4-1-4-1,Davide Massa,Report partita,
5,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Casa,V,1,0,Salernitana,1.3,0.9,57,5.177,Gian Marco Ferrari,4-2-3-1,Antonio Giua,Report partita,
6,02-10-2021,20:45,Serie A,Giornata n. 7,Sab,Casa,P,1,2,Inter,1.5,1.9,55,10.4,Gian Marco Ferrari,4-2-3-1,Luca Pairetto,Report partita,
7,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Ospiti,N,2,2,Genoa,2.0,1.3,57,10.37,Gian Marco Ferrari,4-2-3-1,Daniele Chiffi,Report partita,
8,23-10-2021,18:00,Serie A,Giornata n. 9,Sab,Casa,V,3,1,Venezia,2.0,0.5,63,4.482,Gian Marco Ferrari,4-2-3-1,Antonio Di Martino,Report partita,
9,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Ospiti,V,2,1,Juventus,1.2,1.3,43,18.288,Gian Marco Ferrari,4-2-3-1,Juan Sacchi,Report partita,
10,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Casa,P,1,2,Empoli,0.9,1.5,57,3.539,Gian Marco Ferrari,4-3-3,Luca Massimi,Report partita,
11,07-11-2021,15:00,Serie A,Giornata n. 12,Dom,Ospiti,P,2,3,Udinese,1.3,1.7,62,8.322,Francesco Magnanelli,4-3-3,Federico Dionisi,Report partita,
12,21-11-2021,12:30,Serie A,Giornata n. 13,Dom,Casa,N,2,2,Cagliari,3.2,1.5,58,4.135,Gian Marco Ferrari,4-3-3,Niccolò Baroni,Report partita,
13,28-11-2021,15:00,Serie A,Giornata n. 14,Dom,Ospiti,V,3,1,Milan,1.1,1.1,50,52.824,Gian Marco Ferrari,4-3-3,Gianluca Manganiello,Report partita,
14,01-12-2021,20:45,Serie A,Giornata n. 15,Mer,Casa,N,2,2,Napoli,0.3,0.8,50,8.192,Gian Marco Ferrari,4-3-3,Ivan Pezzuto,Report partita,
15,05-12-2021,15:00,Serie A,Giornata n. 16,Dom,Ospiti,N,2,2,Spezia,1.4,2.2,65,4.987,Gian Marco Ferrari,4-3-3,Fabio Maresca,Report partita,
16,12-12-2021,18:00,Serie A,Giornata n. 17,Dom,Casa,V,2,1,Lazio,1.4,0.3,59,5.1,Gian Marco Ferrari,4-2-3-1,Simone Sozza,Report partita,
17,19-12-2021,12:30,Serie A,Giornata n. 18,Dom,Ospiti,N,2,2,Fiorentina,1.1,3.2,43,21.514,Gian Marco Ferrari,4-2-3-1,Marco Serra,Report partita,
18,22-12-2021,16:30,Serie A,Giornata n. 19,Mer,Casa,P,0,3,Bologna,0.8,1.3,59,4.763,Gian Marco Ferrari,4-3-3,Michael Fabbri,Report partita,
19,06-01-2022,16:30,Serie A,Giornata n. 20,Gio,Casa,N,1,1,Genoa,2.0,0.2,74,4.696,Gian Marco Ferrari,4-2-3-1,Gianluca Manganiello,Report partita,
20,09-01-2022,14:30,Serie A,Giornata n. 21,Dom,Ospiti,V,5,1,Empoli,4.1,1.4,55,4.081,Gian Marco Ferrari,4-2-3-1,Manuel Volpi,Report partita,
21,16-01-2022,12:30,Serie A,Giornata n. 22,Dom,Casa,P,2,4,Hellas Verona,1.1,3.5,55,3.843,Gian Marco Ferrari,4-2-3-1,Alessandro Prontera,Report partita,
23,23-01-2022,15:00,Serie A,Giornata n. 23,Dom,Ospiti,N,1,1,Torino,0.4,2.6,50,5.0,Gian Marco Ferrari,4-3-3,Francesco Fourneau,Report partita,
24,06-02-2022,15:00,Serie A,Giornata n. 24,Dom,Ospiti,P,0,4,Sampdoria,1.5,2.1,60,6.232,Gian Marco Ferrari,4-2-3-1,Fabio Maresca,Report partita,
26,13-02-2022,18:00,Serie A,Giornata n. 25,Dom,Casa,N,2,2,Roma,0.9,2.4,46,9.282,Gian Marco Ferrari,4-3-3,Marco Guida,Report partita,
27,20-02-2022,18:00,Serie A,Giornata n. 26,Dom,Ospiti,V,2,0,Inter,1.6,3.0,42,28.324,Andrea Consigli,4-2-3-1,Francesco Fourneau,Report partita,
