,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,22-08-2021,18:30,Serie A,Giornata n. 1,Dom,Casa,N,2,2,Juventus,2.2,0.8,44,9.66,Bram Nuytinck,3-5-1-1,Ivan Pezzuto,Report partita,
2,27-08-2021,18:30,Serie A,Giornata n. 2,Ven,Casa,V,3,0,Venezia,2.7,1.0,45,8.274,Bram Nuytinck,3-5-1-1,Livio Marinelli,Report partita,
3,12-09-2021,15:00,Serie A,Giornata n. 3,Dom,Ospiti,V,1,0,Spezia,0.8,1.3,44,5.162,Bram Nuytinck,3-5-2,Marco Guida,Report partita,
4,20-09-2021,20:45,Serie A,Giornata n. 4,Lun,Casa,P,0,4,Napoli,0.3,2.4,37,11.484,Bram Nuytinck,3-5-2,Gianluca Manganiello,Report partita,
5,23-09-2021,20:45,Serie A,Giornata n. 5,Gio,Ospiti,P,0,1,Roma,0.9,1.3,48,29.593,Bram Nuytinck,3-5-2,Antonio Rapuano,Report partita,
6,26-09-2021,15:00,Serie A,Giornata n. 6,Dom,Casa,P,0,1,Fiorentina,0.6,1.1,46,7.208,Bram Nuytinck,3-5-2,Davide Ghersini,Report partita,
7,03-10-2021,15:00,Serie A,Giornata n. 7,Dom,Ospiti,N,3,3,Sampdoria,2.7,1.6,46,4.292,Bram Nuytinck,3-5-2,Daniele Orsato,Report partita,
8,17-10-2021,15:00,Serie A,Giornata n. 8,Dom,Casa,N,1,1,Bologna,1.0,1.7,41,10.627,Bram Nuytinck,3-5-2,Rosario Abisso,Report partita,
9,24-10-2021,12:30,Serie A,Giornata n. 9,Dom,Ospiti,N,1,1,Atalanta,0.9,0.5,33,9.951,Bram Nuytinck,3-4-3,Livio Marinelli,Report partita,
10,27-10-2021,18:30,Serie A,Giornata n. 10,Mer,Casa,N,1,1,Hellas Verona,1.2,0.8,34,8.751,Bram Nuytinck,3-4-3,Matteo Marchetti,Report partita,
11,31-10-2021,12:30,Serie A,Giornata n. 11,Dom,Ospiti,P,0,2,Inter,0.4,2.1,34,48.076,Bram Nuytinck,3-4-3,Juan Sacchi,Report partita,
12,07-11-2021,15:00,Serie A,Giornata n. 12,Dom,Casa,V,3,2,Sassuolo,1.7,1.3,38,8.322,Bram Nuytinck,4-4-2,Federico Dionisi,Report partita,
13,22-11-2021,20:45,Serie A,Giornata n. 13,Lun,Ospiti,P,1,2,Torino,1.7,1.9,49,7.034,Bram Nuytinck,3-4-3,Ivan Pezzuto,Report partita,
14,28-11-2021,12:30,Serie A,Giornata n. 14,Dom,Casa,N,0,0,Genoa,1.1,0.7,43,11.537,Bram Nuytinck,3-4-3,Francesco Meraviglia,Report partita,
15,02-12-2021,20:45,Serie A,Giornata n. 15,Gio,Ospiti,N,4,4,Lazio,1.3,1.6,38,7.0,Samir Caetano de Souza Santos,4-4-2,Marco Piccinini,Report partita,
16,06-12-2021,18:30,Serie A,Giornata n. 16,Lun,Ospiti,P,1,3,Empoli,2.1,2.4,43,4.808,Samir Caetano de Souza Santos,4-4-2,Daniele Paterna,Report partita,
17,11-12-2021,20:45,Serie A,Giornata n. 17,Sab,Casa,N,1,1,Milan,1.7,1.1,34,16.385,Bram Nuytinck,3-5-2,Francesco Fourneau,Report partita,
19,18-12-2021,20:45,Serie A,Giornata n. 18,Sab,Ospiti,V,4,0,Cagliari,0.6,0.4,45,7.864,Bram Nuytinck,3-5-2,Fabio Maresca,Report partita,
