,Data,Ora,Competizione,Girone,Giorno,Stadio,Risultato,Rf,Rs,Avversario,xG,xGA,Poss.,Spettatori,Capitano,Formazione,Arbitro,Report partita,Note
1,22-08-2021,20:45,Serie A,Giornata n. 1,Dom,Ospiti,P,0,2,Napoli,0.5,2.3,44,20.0,Cristian Molinaro,4-3-3,Gianluca Aureliano,Report partita,
2,27-08-2021,18:30,Serie A,Giornata n. 2,Ven,Ospiti,P,0,3,Udinese,1.0,2.7,55,8.274,Pietro Ceccaroni,4-3-3,Livio Marinelli,Report partita,
3,11-09-2021,15:00,Serie A,Giornata n. 3,Sab,Ospiti,V,2,1,Empoli,1.7,1.9,31,2.511,Pietro Ceccaroni,4-3-3,Antonio Rapuano,Report partita,
4,19-09-2021,15:00,Serie A,Giornata n. 4,Dom,Casa,P,1,2,Spezia,0.9,0.5,45,3.688,Cristian Molinaro,4-4-2,Rosario Abisso,Report partita,
5,22-09-2021,20:45,Serie A,Giornata n. 5,Mer,Ospiti,P,0,2,Milan,0.7,1.7,33,26.185,Cristian Molinaro,4-3-3,Ivan Pezzuto,Report partita,
6,27-09-2021,20:45,Serie A,Giornata n. 6,Lun,Casa,N,1,1,Torino,1.3,0.7,44,4.888,Pietro Ceccaroni,4-4-2,Lorenzo Maggioni,Report partita,
7,01-10-2021,20:45,Serie A,Giornata n. 7,Ven,Ospiti,N,1,1,Cagliari,1.1,0.4,58,8.135,Pietro Ceccaroni,4-4-2,Manuel Volpi,Report partita,
8,18-10-2021,20:45,Serie A,Giornata n. 8,Lun,Casa,V,1,0,Fiorentina,1.0,0.5,39,8.043,Pietro Ceccaroni,4-3-2-1,Luca Massimi,Report partita,
9,23-10-2021,18:00,Serie A,Giornata n. 9,Sab,Ospiti,P,1,3,Sassuolo,0.5,2.0,37,4.482,Pietro Ceccaroni,4-4-2,Antonio Di Martino,Report partita,
10,26-10-2021,18:30,Serie A,Giornata n. 10,Mar,Casa,P,1,2,Salernitana,0.5,1.3,45,5.103,Cristian Molinaro,4-4-2,Marco Di Bello,Report partita,
11,31-10-2021,15:00,Serie A,Giornata n. 11,Dom,Ospiti,N,0,0,Genoa,0.6,0.9,38,7.92,Pietro Ceccaroni,4-3-3,Maurizio Mariani,Report partita,
12,07-11-2021,12:30,Serie A,Giornata n. 12,Dom,Casa,V,3,2,Roma,2.5,3.5,39,8.263,Pietro Ceccaroni,4-3-3,Gianluca Aureliano,Report partita,
13,21-11-2021,15:00,Serie A,Giornata n. 13,Dom,Ospiti,V,1,0,Bologna,1.0,1.4,33,15.255,Pietro Ceccaroni,4-4-2◆,Daniele Chiffi,Report partita,
14,27-11-2021,20:45,Serie A,Giornata n. 14,Sab,Casa,P,0,2,Inter,0.1,2.7,44,8.303,Pietro Ceccaroni,4-3-2-1,Livio Marinelli,Report partita,
15,30-11-2021,18:30,Serie A,Giornata n. 15,Mar,Ospiti,P,0,4,Atalanta,0.7,2.7,42,8.667,Pietro Ceccaroni,4-4-2◆,Alberto Santoro,Report partita,
