,team1,team2,result,date
1,Fiorentina,Napoli,P,2019-08-24
1,Parma,Juventus,P,2019-08-24
1,Udinese,Milan,V,2019-08-25
5,Torino,Sassuolo,V,2019-08-25
1,Sampdoria,Lazio,P,2019-08-25
1,SPAL,Atalanta,P,2019-08-25
0,Roma,Genoa,N,2019-08-25
1,Hellas Verona,Bologna,N,2019-08-25
1,Cagliari,Brescia,P,2019-08-25
0,Inter,Lecce,V,2019-08-26
2,Bologna,SPAL,V,2019-08-30
1,Juventus,Napoli,V,2019-08-31
1,Milan,Brescia,V,2019-08-31
2,Lecce,Hellas Verona,P,2019-09-01
2,Genoa,Fiorentina,V,2019-09-01
2,Sassuolo,Sampdoria,V,2019-09-01
2,Cagliari,Inter,P,2019-09-01
1,Lazio,Roma,N,2019-09-01
2,Udinese,Parma,P,2019-09-01
1,Atalanta,Torino,P,2019-09-01
3,Fiorentina,Juventus,N,2019-09-14
2,Napoli,Sampdoria,V,2019-09-14
2,Inter,Udinese,V,2019-09-14
2,Roma,Sassuolo,V,2019-09-15
3,SPAL,Lazio,V,2019-09-15
3,Genoa,Atalanta,P,2019-09-15
3,Parma,Cagliari,P,2019-09-15
3,Brescia,Bologna,P,2019-09-15
3,Hellas Verona,Milan,P,2019-09-15
8,Torino,Lecce,P,2019-09-16
4,Cagliari,Genoa,V,2019-09-20
4,Juventus,Hellas Verona,V,2019-09-21
3,Milan,Inter,P,2019-09-21
4,Udinese,Brescia,P,2019-09-21
4,Sampdoria,Torino,V,2019-09-22
4,Bologna,Roma,P,2019-09-22
4,Lecce,Napoli,P,2019-09-22
4,Lazio,Parma,V,2019-09-22
4,Atalanta,Fiorentina,N,2019-09-22
4,Sassuolo,SPAL,V,2019-09-22
5,Hellas Verona,Udinese,N,2019-09-24
5,Brescia,Juventus,P,2019-09-24
5,Parma,Sassuolo,V,2019-09-25
5,Roma,Atalanta,P,2019-09-25
5,Napoli,Cagliari,P,2019-09-25
5,Inter,Lazio,V,2019-09-25
5,SPAL,Lecce,P,2019-09-25
5,Fiorentina,Sampdoria,V,2019-09-25
5,Genoa,Bologna,N,2019-09-25
10,Torino,Milan,V,2019-09-26
6,Sampdoria,Inter,P,2019-09-28
6,Juventus,SPAL,V,2019-09-28
6,Sassuolo,Atalanta,P,2019-09-28
6,Napoli,Brescia,V,2019-09-29
5,Milan,Fiorentina,P,2019-09-29
6,Udinese,Bologna,V,2019-09-29
6,Lecce,Roma,P,2019-09-29
6,Cagliari,Hellas Verona,N,2019-09-29
6,Lazio,Genoa,V,2019-09-29
6,Parma,Torino,V,2019-09-30
7,Hellas Verona,Sampdoria,V,2019-10-05
7,Genoa,Milan,P,2019-10-05
7,SPAL,Parma,V,2019-10-05
8,Roma,Cagliari,N,2019-10-06
8,Atalanta,Lecce,V,2019-10-06
7,Bologna,Lazio,N,2019-10-06
7,Fiorentina,Udinese,V,2019-10-06
8,Inter,Juventus,P,2019-10-06
12,Torino,Napoli,N,2019-10-06
9,Juventus,Bologna,V,2019-10-19
9,Lazio,Atalanta,N,2019-10-19
9,Napoli,Hellas Verona,V,2019-10-19
8,Parma,Genoa,V,2019-10-20
8,Cagliari,SPAL,V,2019-10-20
7,Sassuolo,Inter,P,2019-10-20
8,Sampdoria,Roma,N,2019-10-20
7,Milan,Lecce,N,2019-10-20
8,Udinese,Torino,V,2019-10-20
7,Brescia,Fiorentina,N,2019-10-21
9,Hellas Verona,Sassuolo,P,2019-10-25
11,Inter,Parma,N,2019-10-26
9,Genoa,Brescia,V,2019-10-26
9,Lecce,Juventus,N,2019-10-26
9,Bologna,Sampdoria,V,2019-10-27
9,SPAL,Napoli,N,2019-10-27
11,Roma,Milan,V,2019-10-27
11,Atalanta,Udinese,V,2019-10-27
9,Fiorentina,Lazio,P,2019-10-27
14,Torino,Cagliari,N,2019-10-27
10,Parma,Hellas Verona,P,2019-10-29
9,Brescia,Inter,P,2019-10-29
12,Juventus,Genoa,V,2019-10-30
12,Napoli,Atalanta,N,2019-10-30
12,Lazio,Torino,V,2019-10-30
10,Udinese,Roma,P,2019-10-30
9,Sassuolo,Fiorentina,P,2019-10-30
10,Sampdoria,Lecce,N,2019-10-30
10,Cagliari,Bologna,V,2019-10-30
9,Milan,SPAL,V,2019-10-31
16,Torino,Juventus,P,2019-11-02
11,Bologna,Inter,P,2019-11-02
13,Roma,Napoli,V,2019-11-02
11,Lecce,Sassuolo,N,2019-11-03
11,Genoa,Udinese,P,2019-11-03
13,Atalanta,Cagliari,P,2019-11-03
11,Hellas Verona,Brescia,V,2019-11-03
11,Fiorentina,Parma,N,2019-11-03
10,Milan,Lazio,P,2019-11-03
11,SPAL,Sampdoria,P,2019-11-04
11,Sassuolo,Bologna,V,2019-11-08
15,Napoli,Genoa,N,2019-11-09
11,Brescia,Torino,P,2019-11-09
15,Inter,Hellas Verona,V,2019-11-09
12,Sampdoria,Atalanta,N,2019-11-10
12,Udinese,SPAL,N,2019-11-10
12,Parma,Roma,V,2019-11-10
12,Cagliari,Fiorentina,V,2019-11-10
15,Juventus,Milan,V,2019-11-10
15,Lazio,Lecce,V,2019-11-10
18,Torino,Inter,P,2019-11-23
