,team1,team2,result,date
1,hellas verona,sassuolo,P,2021-08-21
0,inter,genoa,V,2021-08-21
1,torino,atalanta,P,2021-08-21
1,empoli,lazio,P,2021-08-21
1,udinese,juventus,N,2021-08-22
0,napoli,venezia,V,2021-08-22
1,bologna,salernitana,V,2021-08-22
1,roma,fiorentina,V,2021-08-22
1,sampdoria,milan,P,2021-08-23
1,cagliari,spezia,N,2021-08-23
2,hellas verona,inter,P,2021-08-27
2,udinese,venezia,V,2021-08-27
1,juventus,empoli,P,2021-08-28
1,lazio,spezia,V,2021-08-28
1,atalanta,bologna,N,2021-08-28
2,fiorentina,torino,V,2021-08-28
1,sassuolo,sampdoria,N,2021-08-29
2,genoa,napoli,P,2021-08-29
1,milan,cagliari,V,2021-08-29
2,salernitana,roma,P,2021-08-29
2,atalanta,fiorentina,P,2021-09-11
3,empoli,venezia,P,2021-09-11
2,napoli,juventus,V,2021-09-11
3,cagliari,genoa,P,2021-09-12
3,spezia,udinese,P,2021-09-12
3,sampdoria,inter,N,2021-09-12
4,roma,sassuolo,V,2021-09-12
2,milan,lazio,V,2021-09-12
3,torino,salernitana,V,2021-09-12
3,bologna,hellas verona,V,2021-09-13
3,sassuolo,torino,P,2021-09-17
4,inter,bologna,V,2021-09-18
4,genoa,fiorentina,P,2021-09-18
4,salernitana,atalanta,P,2021-09-18
4,lazio,cagliari,N,2021-09-19
4,empoli,sampdoria,P,2021-09-19
4,hellas verona,roma,V,2021-09-19
4,venezia,spezia,P,2021-09-19
4,juventus,milan,N,2021-09-19
4,udinese,napoli,P,2021-09-20
5,fiorentina,inter,P,2021-09-21
5,bologna,genoa,N,2021-09-21
5,atalanta,sassuolo,V,2021-09-21
5,salernitana,hellas verona,N,2021-09-22
5,cagliari,empoli,P,2021-09-22
5,milan,venezia,V,2021-09-22
5,spezia,juventus,P,2021-09-22
5,torino,lazio,N,2021-09-23
5,sampdoria,napoli,P,2021-09-23
7,roma,udinese,V,2021-09-23
6,genoa,hellas verona,N,2021-09-25
6,inter,atalanta,N,2021-09-25
6,spezia,milan,P,2021-09-25
6,napoli,cagliari,V,2021-09-26
5,sassuolo,salernitana,V,2021-09-26
6,lazio,roma,V,2021-09-26
6,empoli,bologna,V,2021-09-26
6,udinese,fiorentina,P,2021-09-26
6,juventus,sampdoria,V,2021-09-26
6,venezia,torino,N,2021-09-27
7,cagliari,venezia,N,2021-10-01
7,salernitana,genoa,V,2021-10-02
6,sassuolo,inter,P,2021-10-02
7,torino,juventus,P,2021-10-02
