,Data,Casa,Punteggio,Ospiti
0,2016-08-20,roma,4–0,udinese
1,2016-08-20,juventus,2–1,fiorentina
2,2016-08-21,milan,3–2,torino
3,2016-08-21,atalanta,3–4,lazio
4,2016-08-21,chievo,2–0,inter
5,2016-08-21,palermo,0–1,sassuolo
6,2016-08-21,pescara,2–2,napoli
7,2016-08-21,empoli,0–1,sampdoria
8,2016-08-21,bologna,1–0,crotone
9,2016-08-21,genoa,3–1,cagliari
11,2016-08-27,lazio,0–1,juventus
12,2016-08-27,napoli,4–2,milan
13,2016-08-28,inter,1–1,palermo
14,2016-08-28,torino,5–1,bologna
15,2016-08-28,sampdoria,2–1,atalanta
16,2016-08-28,sassuolo,0–3,pescara
17,2016-08-28,crotone,1–3,genoa
18,2016-08-28,fiorentina,1–0,chievo
19,2016-08-28,cagliari,2–2,roma
20,2016-08-28,udinese,2–0,empoli
22,2016-09-10,juventus,3–1,sassuolo
23,2016-09-10,palermo,0–3,napoli
24,2016-09-11,bologna,2–1,cagliari
25,2016-09-11,chievo,1–1,lazio
26,2016-09-11,atalanta,2–1,torino
27,2016-09-11,roma,3–2,sampdoria
28,2016-09-11,milan,0–1,udinese
29,2016-09-11,pescara,1–2,inter
30,2016-09-12,empoli,2–1,crotone
32,2016-09-16,sampdoria,0–1,milan
33,2016-09-17,lazio,3–0,pescara
34,2016-09-17,napoli,3–1,bologna
35,2016-09-18,udinese,1–2,chievo
36,2016-09-18,sassuolo,2–0,genoa
37,2016-09-18,crotone,1–1,palermo
38,2016-09-18,cagliari,3–0,atalanta
39,2016-09-18,torino,0–0,empoli
40,2016-09-18,inter,2–1,juventus
41,2016-09-18,fiorentina,1–0,roma
43,2016-09-20,milan,2–0,lazio
44,2016-09-21,bologna,2–0,sampdoria
45,2016-09-21,genoa,0–0,napoli
46,2016-09-21,empoli,0–2,inter
47,2016-09-21,udinese,2–2,fiorentina
48,2016-09-21,atalanta,0–1,palermo
49,2016-09-21,pescara,0–0,torino
50,2016-09-21,roma,4–0,crotone
51,2016-09-21,chievo,2–1,sassuolo
52,2016-09-21,juventus,4–0,cagliari
54,2016-09-24,palermo,0–1,juventus
55,2016-09-24,napoli,2–0,chievo
56,2016-09-25,torino,3–1,roma
57,2016-09-25,genoa,1–1,pescara
58,2016-09-25,lazio,2–0,empoli
59,2016-09-25,sassuolo,1–0,udinese
60,2016-09-25,inter,1–1,bologna
61,2016-09-25,fiorentina,0–0,milan
62,2016-09-26,crotone,1–3,atalanta
63,2016-09-26,cagliari,2–1,sampdoria
65,2016-10-01,pescara,0–2,chievo
66,2016-10-01,udinese,0–3,lazio
67,2016-10-02,empoli,0–3,juventus
68,2016-10-02,sampdoria,1–1,palermo
69,2016-10-02,atalanta,1–0,napoli
70,2016-10-02,cagliari,2–1,crotone
71,2016-10-02,bologna,0–1,genoa
72,2016-10-02,torino,2–1,fiorentina
73,2016-10-02,milan,4–3,sassuolo
74,2016-10-02,roma,2–1,inter
76,2016-10-15,napoli,1–3,roma
77,2016-10-15,pescara,1–1,sampdoria
78,2016-10-15,juventus,2–1,udinese
79,2016-10-16,fiorentina,0–0,atalanta
80,2016-10-16,inter,1–2,cagliari
81,2016-10-16,lazio,1–1,bologna
82,2016-10-16,genoa,0–0,empoli
83,2016-10-16,sassuolo,2–1,crotone
84,2016-10-16,chievo,1–3,milan
85,2016-10-17,palermo,1–4,torino
87,2016-10-22,sampdoria,2–1,genoa
88,2016-10-22,milan,1–0,juventus
89,2016-10-23,udinese,3–1,pescara
90,2016-10-23,atalanta,2–1,inter
91,2016-10-23,cagliari,3–5,fiorentina
92,2016-10-23,torino,2–2,lazio
93,2016-10-23,empoli,0–0,chievo
94,2016-10-23,crotone,1–2,napoli
95,2016-10-23,bologna,1–1,sassuolo
96,2016-10-23,roma,4–1,palermo
98,2016-10-25,genoa,3–0,milan
99,2016-10-26,fiorentina,1–1,crotone
100,2016-10-26,pescara,0–1,atalanta
101,2016-10-26,lazio,4–1,cagliari
102,2016-10-26,napoli,2–0,empoli
103,2016-10-26,chievo,1–1,bologna
104,2016-10-26,juventus,4–1,sampdoria
105,2016-10-26,inter,2–1,torino
106,2016-10-26,sassuolo,1–3,roma
107,2016-10-27,palermo,1–3,udinese
109,2016-10-29,bologna,0–1,fiorentina
110,2016-10-29,juventus,2–1,napoli
111,2016-10-30,atalanta,3–0,genoa
112,2016-10-30,lazio,2–1,sassuolo
113,2016-10-30,empoli,0–0,roma
114,2016-10-30,crotone,2–0,chievo
115,2016-10-30,milan,1–0,pescara
116,2016-10-30,sampdoria,1–0,inter
117,2016-10-31,udinese,2–2,torino
118,2016-10-31,cagliari,2–1,palermo
120,2016-11-05,torino,5–1,cagliari
121,2016-11-05,napoli,1–1,lazio
122,2016-11-06,pescara,0–4,empoli
123,2016-11-06,genoa,1–1,udinese
124,2016-11-06,chievo,1–2,juventus
125,2016-11-06,palermo,1–2,milan
126,2016-11-06,sassuolo,0–3,atalanta
127,2016-11-06,fiorentina,1–1,sampdoria
128,2016-11-06,inter,3–0,crotone
129,2016-11-06,roma,3–0,bologna
131,2016-11-19,chievo,1–0,cagliari
132,2016-11-19,udinese,1–2,napoli
133,2016-11-19,juventus,3–0,pescara
134,2016-11-20,sampdoria,3–2,sassuolo
135,2016-11-20,bologna,3–1,palermo
136,2016-11-20,lazio,3–1,genoa
137,2016-11-20,crotone,0–2,torino
138,2016-11-20,atalanta,2–1,roma
139,2016-11-20,empoli,0–4,fiorentina
140,2016-11-20,milan,2–2,inter
142,2016-11-26,torino,2–1,chievo
143,2016-11-26,empoli,1–4,milan
144,2016-11-27,palermo,0–1,lazio
145,2016-11-27,bologna,0–2,atalanta
146,2016-11-27,genoa,3–1,juventus
147,2016-11-27,crotone,1–1,sampdoria
148,2016-11-27,cagliari,2–1,udinese
149,2016-11-27,roma,3–2,pescara
150,2016-11-28,napoli,1–1,sassuolo
151,2016-11-28,inter,4–2,fiorentina
153,2016-12-02,napoli,3–0,inter
154,2016-12-03,juventus,3–1,atalanta
155,2016-12-04,milan,2–1,crotone
156,2016-12-04,pescara,1–1,cagliari
157,2016-12-04,sassuolo,3–0,empoli
158,2016-12-04,lazio,0–2,roma
159,2016-12-04,sampdoria,2–0,torino
160,2016-12-04,fiorentina,2–1,palermo
161,2016-12-05,chievo,0–0,genoa
162,2016-12-05,udinese,1–0,bologna
164,2016-12-10,crotone,2–1,pescara
165,2016-12-10,sampdoria,1–2,lazio
166,2016-12-11,cagliari,0–5,napoli
167,2016-12-11,bologna,0–0,empoli
168,2016-12-11,palermo,0–2,chievo
169,2016-12-11,atalanta,1–3,udinese
170,2016-12-11,torino,1–3,juventus
171,2016-12-11,inter,2–0,genoa
172,2016-12-12,fiorentina,2–1,sassuolo
173,2016-12-12,roma,1–0,milan
175,2016-12-15,genoa,1–0,fiorentina
177,2016-12-17,empoli,2–0,cagliari
178,2016-12-17,milan,0–0,atalanta
179,2016-12-17,juventus,1–0,roma
180,2016-12-18,sassuolo,0–1,inter
181,2016-12-18,udinese,2–0,crotone
182,2016-12-18,pescara,0–3,bologna
183,2016-12-18,chievo,2–1,sampdoria
184,2016-12-18,napoli,5–3,torino
185,2016-12-18,genoa,3–4,palermo
186,2016-12-18,lazio,3–1,fiorentina
188,2016-12-20,atalanta,2–1,empoli
189,2016-12-21,inter,3–0,lazio
190,2016-12-22,torino,1–0,genoa
191,2016-12-22,palermo,1–1,pescara
192,2016-12-22,cagliari,4–3,sassuolo
193,2016-12-22,roma,3–1,chievo
194,2016-12-22,sampdoria,0–0,udinese
195,2016-12-22,fiorentina,3–3,napoli
197,2017-01-07,empoli,1–0,palermo
198,2017-01-07,napoli,2–1,sampdoria
199,2017-01-08,udinese,1–2,inter
200,2017-01-08,chievo,1–4,atalanta
201,2017-01-08,lazio,1–0,crotone
202,2017-01-08,sassuolo,0–0,torino
203,2017-01-08,genoa,0–1,roma
204,2017-01-08,milan,1–0,cagliari
205,2017-01-08,juventus,3–0,bologna
207,2017-01-14,crotone,0–1,bologna
208,2017-01-14,inter,3–1,chievo
209,2017-01-15,cagliari,4–1,genoa
210,2017-01-15,lazio,2–1,atalanta
211,2017-01-15,sassuolo,4–1,palermo
212,2017-01-15,sampdoria,0–0,empoli
213,2017-01-15,udinese,0–1,roma
214,2017-01-15,napoli,3–1,pescara
215,2017-01-15,fiorentina,2–1,juventus
216,2017-01-16,torino,2–2,milan
218,2017-01-21,chievo,0–3,fiorentina
