,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards
0,Roma,2020-09-19,Giornata n. 1,Ospiti,P,0,Hellas Verona,21,4,0,0,60.0,21,0,0
0,Torino,2020-09-19,Giornata n. 1,Ospiti,P,0,Fiorentina,6,3,0,0,50.0,21,1,0
0,Fiorentina,2020-09-19,Giornata n. 1,Casa,V,1,Torino,16,6,0,0,50.0,17,3,0
0,Hellas Verona,2020-09-19,Giornata n. 1,Casa,V,3,Roma,8,3,0,0,40.0,20,2,0
0,Napoli,2020-09-20,Giornata n. 1,Ospiti,V,2,Parma,17,6,0,0,60.0,12,1,0
0,Crotone,2020-09-20,Giornata n. 1,Ospiti,P,1,Genoa,13,3,0,0,51.0,16,2,0
0,Genoa,2020-09-20,Giornata n. 1,Casa,V,4,Crotone,15,6,0,0,49.0,13,4,0
0,Sassuolo,2020-09-20,Giornata n. 1,Casa,N,1,Cagliari,33,9,0,0,67.0,11,1,0
0,Parma,2020-09-20,Giornata n. 1,Casa,P,0,Napoli,6,2,0,0,40.0,17,4,0
0,Cagliari,2020-09-20,Giornata n. 1,Ospiti,N,1,Sassuolo,8,4,0,0,33.0,20,3,0
0,Juventus,2020-09-20,Giornata n. 1,Casa,V,3,Sampdoria,21,8,0,0,66.0,15,1,0
0,Sampdoria,2020-09-20,Giornata n. 1,Ospiti,P,0,Juventus,15,1,0,0,34.0,9,1,0
0,Bologna,2020-09-21,Giornata n. 1,Ospiti,P,0,Milan,13,4,0,0,42.0,23,5,1
0,Milan,2020-09-21,Giornata n. 1,Casa,V,2,Bologna,16,4,1,1,58.0,18,3,0
0,Benevento,2020-09-26,Giornata n. 2,Ospiti,V,3,Sampdoria,14,5,0,0,60.0,14,1,0
0,Atalanta,2020-09-26,Giornata n. 2,Ospiti,V,4,Torino,17,7,0,0,55.0,15,2,0
1,Sampdoria,2020-09-26,Giornata n. 2,Casa,P,2,Benevento,9,3,0,0,40.0,18,3,0
1,Fiorentina,2020-09-26,Giornata n. 2,Ospiti,P,3,Inter,10,4,0,0,34.0,13,1,0
1,Torino,2020-09-26,Giornata n. 2,Casa,P,2,Atalanta,8,4,0,0,45.0,15,1,0
0,Inter,2020-09-26,Giornata n. 2,Casa,V,4,Fiorentina,21,7,0,0,66.0,15,1,0
0,Lazio,2020-09-26,Giornata n. 2,Ospiti,V,2,Cagliari,16,7,0,0,55.0,15,1,0
1,Cagliari,2020-09-26,Giornata n. 2,Casa,P,0,Lazio,9,2,0,0,45.0,8,1,0
