,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season
0,chievo,2018-08-18,Giornata n. 1,Casa,P,2.0,juventus,5.0,1.0,1,1,28.0,11.0,2,0,2018-2019
0,juventus,2018-08-18,Giornata n. 1,Ospiti,V,3.0,chievo,28.0,10.0,0,0,72.0,8.0,0,0,2018-2019
0,lazio,2018-08-18,Giornata n. 1,Casa,P,1.0,napoli,11.0,2.0,0,0,36.0,9.0,0,0,2018-2019
0,napoli,2018-08-18,Giornata n. 1,Ospiti,V,2.0,lazio,11.0,3.0,0,0,64.0,6.0,0,0,2018-2019
0,empoli,2018-08-19,Giornata n. 1,Casa,V,2.0,cagliari,9.0,4.0,0,0,47.0,19.0,3,0,2018-2019
0,inter,2018-08-19,Giornata n. 1,Ospiti,P,0.0,sassuolo,14.0,3.0,0,0,61.0,13.0,2,0,2018-2019
0,roma,2018-08-19,Giornata n. 1,Ospiti,V,1.0,torino,19.0,5.0,0,0,58.0,15.0,3,0,2018-2019
0,torino,2018-08-19,Giornata n. 1,Casa,P,0.0,roma,12.0,4.0,0,0,42.0,12.0,1,0,2018-2019
0,parma,2018-08-19,Giornata n. 1,Casa,N,2.0,udinese,11.0,4.0,0,0,44.0,17.0,2,0,2018-2019
0,cagliari,2018-08-19,Giornata n. 1,Ospiti,P,0.0,empoli,15.0,3.0,0,0,53.0,20.0,3,0,2018-2019
0,sassuolo,2018-08-19,Giornata n. 1,Casa,V,1.0,inter,11.0,2.0,1,1,39.0,23.0,3,0,2018-2019
0,udinese,2018-08-19,Giornata n. 1,Ospiti,N,2.0,parma,17.0,3.0,1,1,56.0,16.0,2,0,2018-2019
0,bologna,2018-08-19,Giornata n. 1,Casa,P,0.0,spal,13.0,3.0,0,0,41.0,19.0,3,1,2018-2019
0,spal,2018-08-19,Giornata n. 1,Ospiti,V,1.0,bologna,14.0,5.0,0,0,59.0,18.0,2,0,2018-2019
0,frosinone,2018-08-20,Giornata n. 1,Ospiti,P,0.0,atalanta,6.0,0.0,0,0,42.0,14.0,2,0,2018-2019
0,atalanta,2018-08-20,Giornata n. 1,Casa,V,4.0,frosinone,17.0,9.0,0,0,58.0,15.0,0,0,2018-2019
1,juventus,2018-08-25,Giornata n. 2,Casa,V,2.0,lazio,19.0,6.0,0,0,54.0,13.0,3,0,2018-2019
1,lazio,2018-08-25,Giornata n. 2,Ospiti,P,0.0,juventus,8.0,2.0,0,0,46.0,14.0,2,0,2018-2019
0,milan,2018-08-25,Giornata n. 2,Ospiti,P,2.0,napoli,7.0,3.0,0,0,49.0,13.0,2,0,2018-2019
