,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
0,chievo,2018-08-18,P,-1.0,juventus,-23.0,-9.0,1.0,1.0,-44.0,3.0,2.0,0.0,2018-2019,0.0,4.0
1,lazio,2018-08-18,P,-1.0,napoli,0.0,-1.0,0.0,0.0,-28.0,3.0,0.0,0.0,2018-2019,0.0,3.0
2,empoli,2018-08-19,V,2.0,cagliari,-6.0,1.0,0.0,0.0,-6.0,-1.0,0.0,0.0,2018-2019,1.0,3.0
3,torino,2018-08-19,P,-1.0,roma,-7.0,-1.0,0.0,0.0,-16.0,-3.0,-2.0,0.0,2018-2019,1.0,3.0
4,parma,2018-08-19,N,0.0,udinese,-6.0,1.0,-1.0,-1.0,-12.0,1.0,0.0,0.0,2018-2019,0.0,4.0
5,sassuolo,2018-08-19,V,1.0,inter,-3.0,-1.0,1.0,1.0,-22.0,10.0,1.0,0.0,2018-2019,3.0,1.0
6,bologna,2018-08-19,P,-1.0,spal,-1.0,-2.0,0.0,0.0,-18.0,1.0,1.0,1.0,2018-2019,3.0,1.0
7,atalanta,2018-08-20,V,4.0,frosinone,11.0,9.0,0.0,0.0,16.0,1.0,-2.0,0.0,2018-2019,4.0,0.0
8,juventus,2018-08-25,V,2.0,lazio,17.0,8.0,0.0,0.0,36.0,-1.0,0.0,0.0,2018-2019,3.0,1.0
9,napoli,2018-08-25,V,1.0,milan,17.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,2018-2019,3.0,0.0
10,frosinone,2018-08-26,N,0.0,bologna,-7.0,-3.0,0.0,0.0,1.0,-5.0,-1.0,-1.0,2018-2019,0.0,4.0
11,genoa,2018-08-26,V,1.0,empoli,-8.0,-1.0,0.0,0.0,-36.0,-1.0,1.0,0.0,2018-2019,3.0,0.0
12,spal,2018-08-26,V,-1.0,parma,3.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,2018-2019,2.0,0.0
13,cagliari,2018-08-26,N,-1.0,sassuolo,4.0,1.0,-1.0,-1.0,14.0,-3.0,0.0,0.0,2018-2019,1.0,2.0
14,udinese,2018-08-26,V,1.0,sampdoria,2.0,3.0,0.0,0.0,-26.0,0.0,-2.0,0.0,2018-2019,1.0,1.0
15,fiorentina,2018-08-26,V,5.0,chievo,12.0,8.0,0.0,0.0,-8.0,6.0,-2.0,0.0,2018-2019,3.0,1.0
16,inter,2018-08-26,N,0.0,torino,2.0,-1.0,0.0,0.0,19.0,1.0,1.0,0.0,2018-2019,1.0,1.0
17,roma,2018-08-27,N,-3.0,atalanta,2.0,-4.0,0.0,0.0,0.0,0.0,3.0,0.0,2018-2019,1.0,2.0
18,milan,2018-08-31,V,0.0,roma,-15.0,-4.5,0.0,0.0,-7.5,0.5,0.0,0.0,2018-2019,1.0,3.0
19,parma,2018-09-01,P,-1.5,juventus,-15.5,-6.0,0.0,0.0,-20.5,6.5,0.5,0.0,2018-2019,0.0,4.0
20,bologna,2018-09-01,P,-1.0,inter,1.5,-1.0,0.0,0.0,-13.0,0.5,0.5,0.5,2018-2019,0.0,2.0
21,sassuolo,2018-09-02,V,-0.5,genoa,-0.5,0.0,1.0,1.0,17.0,3.5,0.0,0.5,2018-2019,2.0,1.0
