,home,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,prediction,rank
0,3.0,2.0,-1.0,9.0,-23.0,-9.0,1.0,1.0,-44.0,3.0,2.0,0.0,2.0,-4.0
1,10.0,2.0,-1.0,12.0,0.0,-1.0,0.0,0.0,-28.0,3.0,0.0,0.0,0.0,-3.0
2,4.0,1.0,2.0,2.0,-6.0,1.0,0.0,0.0,-6.0,-1.0,0.0,0.0,0.0,-2.0
3,18.0,2.0,-1.0,14.0,-7.0,-1.0,0.0,0.0,-16.0,-3.0,-2.0,0.0,0.0,-2.0
4,13.0,0.0,0.0,19.0,-6.0,1.0,-1.0,-1.0,-12.0,1.0,0.0,0.0,0.0,-4.0
5,17.0,1.0,1.0,8.0,-3.0,-1.0,1.0,1.0,-22.0,10.0,1.0,0.0,0.0,2.0
6,1.0,2.0,-1.0,15.0,-1.0,-2.0,0.0,0.0,-18.0,1.0,1.0,1.0,0.0,2.0
7,0.0,1.0,4.0,6.0,11.0,9.0,0.0,0.0,16.0,1.0,-2.0,0.0,1.0,4.0
8,9.0,1.0,2.0,10.0,17.0,8.0,0.0,0.0,36.0,-1.0,0.0,0.0,1.0,2.0
9,12.0,1.0,1.0,11.0,17.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
10,6.0,0.0,0.0,1.0,-7.0,-3.0,0.0,0.0,1.0,-5.0,-1.0,-1.0,2.0,-4.0
11,7.0,1.0,1.0,4.0,-8.0,-1.0,0.0,0.0,-36.0,-1.0,1.0,0.0,1.0,3.0
12,15.0,1.0,-1.0,13.0,3.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,2.0
13,2.0,0.0,-1.0,17.0,4.0,1.0,-1.0,-1.0,14.0,-3.0,0.0,0.0,2.0,-1.0
14,19.0,1.0,1.0,16.0,2.0,3.0,0.0,0.0,-26.0,0.0,-2.0,0.0,0.0,0.0
15,5.0,1.0,5.0,3.0,12.0,8.0,0.0,0.0,-8.0,6.0,-2.0,0.0,1.0,2.0
16,8.0,0.0,0.0,18.0,2.0,-1.0,0.0,0.0,19.0,1.0,1.0,0.0,1.0,0.0
17,14.0,0.0,-3.0,0.0,2.0,-4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0
18,11.0,1.0,0.0,14.0,-15.0,-4.5,0.0,0.0,-7.5,0.5,0.0,0.0,0.0,-2.0
19,13.0,2.0,-1.5,9.0,-15.5,-6.0,0.0,0.0,-20.5,6.5,0.5,0.0,2.0,-4.0
20,1.0,2.0,-1.0,8.0,1.5,-1.0,0.0,0.0,-13.0,0.5,0.5,0.5,2.0,-2.0
21,17.0,1.0,-0.5,7.0,-0.5,0.0,1.0,1.0,17.0,3.5,0.0,0.5,0.0,1.0
22,16.0,1.0,-2.5,12.0,-1.5,-3.0,0.0,0.0,5.5,2.5,2.0,0.0,2.0,-4.0
23,3.0,0.0,0.0,4.0,-7.5,-2.0,0.5,0.5,-16.5,-7.5,0.0,0.0,1.0,3.0
24,0.0,2.0,2.5,2.0,5.0,3.5,0.0,0.0,4.5,-2.5,-3.0,0.0,1.0,-2.0
25,10.0,1.0,0.5,6.0,1.0,0.0,0.0,0.0,-6.0,-4.0,-1.0,0.0,1.0,4.0
26,5.0,1.0,4.5,19.0,4.5,6.5,-0.5,-0.5,-0.5,2.0,-0.5,0.0,1.0,3.0
27,18.0,1.0,0.0,15.0,-3.0,0.0,0.0,0.0,-15.0,-1.5,-2.0,0.0,1.0,3.0
28,6.0,2.0,-1.5,16.0,-3.5,-1.0,0.0,0.0,-12.666666666666664,0.0,-0.5,0.0,2.0,-4.0
29,12.0,1.0,-1.8333333333333333,5.0,0.3333333333333321,-1.666666666666667,0.0,0.0,1.3333333333333357,-0.5,0.0,0.0,0.0,0.0
30,8.0,2.0,0.6666666666666667,13.0,4.333333333333334,1.0,0.0,0.0,22.66666666666667,-4.000000000000002,-0.3333333333333335,0.0,1.0,4.0
31,19.0,0.0,0.0,18.0,2.0,-2.0,0.3333333333333333,0.3333333333333333,-3.0,-0.6666666666666661,0.0,0.0,0.0,-2.0
32,9.0,1.0,-0.333333333333333,17.0,12.000000000000002,3.0,-0.6666666666666666,-0.6666666666666666,16.666666666666664,-8.333333333333334,-1.0,-0.3333333333333333,1.0,4.0
33,2.0,0.0,-1.0,11.0,-4.0,-2.5,0.0,0.0,-3.5,6.166666666666668,2.0,0.0,1.0,-2.0
34,14.0,0.0,0.6666666666666667,3.0,8.333333333333334,3.333333333333333,-0.3333333333333333,-0.3333333333333333,14.333333333333329,0.0,0.0,0.0,1.0,3.0
35,7.0,1.0,2.5,1.0,4.0,1.6666666666666663,0.0,0.0,5.0,5.0,1.3333333333333333,-0.3333333333333333,1.0,-1.0
36,4.0,2.0,0.3333333333333333,10.0,-0.3333333333333339,0.0,0.0,0.0,11.0,4.0,1.0,0.0,0.0,-4.0
37,15.0,1.0,-1.666666666666667,0.0,-2.9999999999999982,-2.0,0.0,0.0,3.333333333333336,2.333333333333334,2.0,0.0,2.0,-2.0
38,16.0,0.0,0.333333333333333,5.0,-3.0,-1.3333333333333337,0.3333333333333333,0.3333333333333333,7.666666666666664,-0.6666666666666661,-0.6666666666666665,0.0,0.0,2.0
39,17.0,1.0,1.5,4.0,-0.75,1.5,0.5,0.5,-8.75,2.25,1.0,0.25,1.0,4.0
40,16.0,2.0,1.0,8.0,-6.0,-0.75,0.25,0.25,-6.5,2.25,0.75,0.0,1.0,0.0
41,13.0,1.0,0.0,2.0,-1.75,-0.25,0.0,0.0,-8.0,-2.75,-0.75,0.0,0.0,-4.0
42,5.0,1.0,1.0,15.0,0.0,1.75,0.0,0.0,-4.25,-1.5,-0.5,0.0,1.0,2.0
43,18.0,2.0,-0.5,12.0,-6.25,0.25,0.0,0.0,-4.25,1.75,-0.25,0.0,0.0,-3.0
44,6.0,2.0,-2.25,9.0,-13.5,-4.75,0.0,0.0,-16.75,1.25,0.0,-0.25,2.0,-4.0
45,11.0,0.0,-0.0833333333333332,0.0,1.166666666666668,1.25,0.0,0.0,1.1666666666666643,-4.25,-1.0,0.0,1.0,-1.0
46,1.0,1.0,-1.75,14.0,-4.75,-4.5,0.0,0.0,-13.0,4.0,0.75,0.5,2.0,-3.0
47,10.0,1.0,-1.25,7.0,1.333333333333334,-0.5,0.0,0.0,1.0833333333333357,-4.166666666666668,-1.1666666666666663,0.0,0.0,1.0
48,3.0,2.0,0.25,19.0,-2.5,0.25,0.0,0.0,-0.75,-3.0,0.25,0.0,0.0,2.0
49,8.0,1.0,-1.0000000000000002,5.0,1.9999999999999984,-1.5999999999999996,0.0,0.0,13.6,-1.5999999999999996,-0.6000000000000001,0.0,1.0,1.0
50,19.0,2.0,-0.1999999999999999,10.0,-5.0,-1.0,0.2,0.2,-8.399999999999999,2.0,0.0,0.0,2.0,-4.0
