,home,away,date,result,description,prediction
0,Fiorentina,Napoli,2019-08-24,P,"Fiorentina play host to Napoli at their Stadio Artemio Franchi on day 3 of the new Serie A campaign. The Viola failed to turn their dominance into victory in a goalless draw with their local rivals Empoli, and it is no wonder they are seen as underdogs in Sunday’s showdown. Despite failing to impress in the Tuscan derby, summer signing Luka Jovic should continue to lead the line for the hosts, while both Gaetano Castrovilli and Igor are out of contention with injuries. 

The Neapolitans, on the other hand, aim to build on back-to-back wins over Verona and Monza. The visiting side have been scoring goals for fun at the start of the season, and given Fiorentina’s anything but good display against Empoli, away win should be considered. Midfielder Diego Demme should be the only absentee in the away side. ",P
4,Parma,Juventus,2019-08-24,P,"Parma and Juventus, the two old rivals, face each other at Stadio Ennio Tardini in the Serie A round 13. The Bianconeri dropped two points in a 1-1 draw with Atalanta, with the Cristiano Ronaldo failing to score the winner from the penalty spot. Juve have been anything but impressive under Antonio Conte in the 2020/21 season, but the game against Parma could be the turning point for CR7 and Co. Arthur and Demiral should be the only absentees in the away team. 

The Gli Emiliani, on the other hand, are undefeated in the previous four league fixtures. However, home win should not be considered as both Scozzarella and Pezzella suffered injuries in the goalless draw with Cagliari on Wednesday evening. In their last meeting at Stadio Ennio Tardini Juve defeated Parma thanks to Giorgio Chiellini’s goa, and we predict that the history is going to repeat itself.",P
22,Udinese,Milan,2019-08-25,V,"Udinese and Milan face each other in a highly-anticipated Serie A game at Dacia Arena. The Zebrette are on a four-game winless run in the national championship, with the team experienced all sorts of problems at the back in a 3-1 loss to Empoli. Since Udinese have recorded no more than two wins at home ground this term, we are not tempted to put our money on the underdogs. Samir is banned for the hosts, while both Rodrigo Becao and Pereyra are sidelined with injuries. 

The Rossoneri, on the other hand, aim to retain top position in the Serie A standings. Stefano Pioli’s troops have been in a fine form of late, and even though their injury list is pretty long, away win should be considered. All Calabria, Kjaer, Castillejo, Giroud, Pellegri, Rafael Leao, Rebic, and Plizzari are injured for the away team.",P
19,Hellas Verona,Bologna,2019-08-25,N,"Stadio Marc’Antonio Bentegodi will host Friday’s Serie A game between Verona and Bologna, the two mid-table sides. The Mastini aim to build on a 4-2 win over Sassuolo, with the team eyeing their first home triumph since November 22, 2021. Both Frabotta and Dawidowicz remain in the recovery room, while a man to watch in the home team will be Antonin Barak, who scored a hat-trick at the weekend. 

The Rossoblu, on the other hand, aim to make amends for a 2-0 loss to Napoli. Bologna suffered yet another dip in form, and seeing that Verona have turned their Stadio Marc’Antonio Bentegodi into a real fortress, we predict that Sinisa Mihajlovic’s troops are going to return home empty-handed. Soumaoro is banned for the visitors, while all Dijks, Schouten, and Kingsley are out of contention with injuries. In the first half of the season Bologna defeated Verona 1-0, meaning that the hosts are hungry for revenge.",V
18,SPAL,Atalanta,2019-08-25,P,"Thanks to a 3-1 win over Sassuolo on the last day of the 2018/2019 Serie A season Atalanta booked their place in the Champions League for the first time ever. The Orobici aim to prepare in the best way possible for their debut in the elite competition, but they first need to kick off the new Serie A season in style. Gian Piero Gasperini’s charges take on SPAL at Stadio Paolo Mazza in their opener and we are positive that the visitors are going to stick to their attacking style of play. 

A man to keep an eye on in the away team will be Duvan Zapata, who scored 23 goals in the Italian top flight last term. SPAL played above expectations in the Serie A last season and they surely want to continue where they left. Seeing that Atalanta were struggling in pre-season, we predict that the hosts are going to grab something from Sunday’s football match.",N
11,Roma,Genoa,2019-08-25,N,"Roma will look to build on a 4-2 win over Empoli when they take on Genoa at their Stadio Olimpico on Matchday 24. The Giallorossi have been scoring goals for fun of late, and they are likely to stick to their attacking style of play. A man to keep an eye on in the home team will be Tammy Abraham, while Leonardo Spinazzola remains in the recovery room. Both Darboe and Diawara are back from international duty. 

The Rossoblu, on the other hand, played out a goalless draw with Udinese before the international break. Genoa are not regarded as good travelers, and seeing that they experienced all sorts of problems at the back in a 6-0 loss to Fiorentina, we are tempted to put our money on Jose Mourinho’s troops, who are eyeing a place in the Champions League. Cambiaso is banned for the visitors, while both Ghighlione and Rovella miss out with injuries.",V
10,Cagliari,Brescia,2019-08-25,P,"Brescia return to Serie A following an eight-year absence. The Biancazzurri aim to impress on their return to the Italian top flight, but they will have a mountain to climb in Sunday’s football match against Cagliari. 

The Sardinians did well to sign the likes of Nahitan Nandez, Albero Cerri, Fabrizio Cacciatore, Christian Oliva, Federico Mattiello (loan) and Marko Rog (loan) in the summer transfer window and given their fine home record in the Italian top flight, it is no surprise they are seen as favourites to win the opening match of the season. The newcomers, on the other hand, are not regarded as good travelers and we do not believe that they are capable of spoiling Cagliari’s party at Sardegna Arena. A man to keep an eye on in the away team will be controversial Italian attacker Mario Balotelli, who joined the club earlier this summer. ",V
14,Sampdoria,Lazio,2019-08-25,P,"Sampdoria and Lazio take on each other at Stadio Luigi Ferraris in the Serie A round 4. La Samp are eager to record their first win of the season, and they are likely to fight tooth and nail against the capital club. All Manuel De Luca, Andrea Conti, and Simone Trimboli are out of contention with injuries, but there are no suspended players in the home team. 

The Biancocelesti, on the other hand, are eyeing their third win of the process, and they must be high on spirits following a thrilling 3-1 win over Inter. Ciro Immobile should continue to lead the line for the visitors, while there are no fresh injury worries in the away team. Since Sampdoria suit Lazio, we believe that there is a big value in betting on Maurizio Sarri’s charges. In their last meeting in the Italian top flight Lazio defeated Sampdoria 2-0.",P
6,Torino,Sassuolo,2019-08-25,V,"After failing to spoil Inter’s party at Stadio Giuseppe Meazza, Torino will look to move closer to the Conference League berth when they take on Sassuolo on Matchday 7. Il Toro defeated Lecce in their last home game, which is certainly giving fans a reason for optimism ahead of Saturday’s clash. Both Samuele Ricci and Alexey Miranchuk are sidelined with injuries, while summer signing Nemanja Radonjic should be recalled to the starting XI. 

The Neroverdi, on the other hand, failed to win the previous four league fixtures, and given their difficulties at the back in a 3-1 loss to Udinese, we believe that there is a big value in betting on the home side. Defender Ruan Tressoldi misses the match through suspension, while midfielder Davide Frattesi has yet to recover from a rib injury. ",V
25,Inter,Lecce,2019-08-26,V,"Inter play host to Lecce at their Stadio Giuseppe Meazza in the opening match of the 2019/2020 Serie A campaign. The Nerazzurri did well to reinforce the squad in the summer transfer window and, no doubt, Belgian attacker Romelu Lukaku is the club’s biggest signing. The former Manchester United man is expected to impress in the upcoming Serie A season and all eyes will be on him when Inter take on Lecce in their opener. 

Yet another man to watch in the home team will be Matteo Politano, who joined the Stadio Giuseppe Meazza outfit in a €20 million deal. The Salentini, on the other hand, return to the Italian top flight following a seven-year absence and seeing that Antonio Conte’s men are a real force to be reckoned with at home, the newcomers are unlikely to grab something from the match. ",V
