,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a
380,fiorentina,2019-08-24,P,-2.4,napoli,-7.200000000000001,-2.2,-0.2,0.0,-6.800000000000004,4.599999999999998,0.0,0.2,2019-2020,1.0,2.0
381,parma,2019-08-24,P,0.7999999999999999,juventus,-2.0,-0.20000000000000018,0.2,0.2,-14.599999999999994,1.5999999999999996,0.0,0.2,2019-2020,0.0,5.0
382,torino,2019-08-25,V,0.8,sassuolo,1.1999999999999993,2.4,0.2,0.4,2.200000000000003,2.3999999999999986,-1.0,-0.6,2019-2020,3.0,0.0
383,cagliari,2019-08-25,P,-1.0,brescia,5.0,3.0,-1.0,-1.0,18.0,-2.0,0.0,0.0,2019-2020,6.0,0.0
384,roma,2019-08-25,N,0.8,genoa,4.6,2.6,-0.2,-0.4,5.200000000000003,-3.5999999999999996,0.19999999999999973,-0.2,2019-2020,4.0,0.0
385,sampdoria,2019-08-25,P,-0.40000000000000013,lazio,1.3999999999999986,0.39999999999999947,0.4,0.4,10.399999999999999,-4.199999999999999,-0.9999999999999998,0.4,2019-2020,0.0,5.0
386,spal,2019-08-25,P,-0.20000000000000018,atalanta,-0.7999999999999989,-1.0,0.0,0.0,0.4000000000000057,1.1999999999999993,0.8000000000000003,0.0,2019-2020,1.0,3.0
387,hellas verona,2019-08-25,N,0.0,bologna,-10.0,1.0,-1.0,-1.0,-48.0,-3.0,-2.0,1.0,2019-2020,0.0,6.0
388,udinese,2019-08-25,V,0.0,milan,-5.0,-0.5999999999999996,-0.2,-0.2,-13.600000000000001,1.9999999999999982,0.0,-0.4,2019-2020,2.0,2.0
389,inter,2019-08-26,V,4.0,lecce,8.0,5.0,0.0,0.0,20.0,6.0,-1.0,-1.0,2019-2020,6.0,0.0
390,bologna,2019-08-30,V,0.19999999999999973,spal,3.3999999999999986,0.7999999999999998,0.0,0.0,4.199999999999996,0.40000000000000036,-0.19999999999999996,0.4,2019-2020,3.0,2.0
391,milan,2019-08-31,V,0.6000000000000001,brescia,6.4,3.0,-0.8,-0.8,11.399999999999999,-1.8000000000000007,-0.19999999999999996,0.2,2019-2020,6.0,0.0
392,juventus,2019-08-31,V,-2.1999999999999997,napoli,-7.800000000000001,-2.6,-0.4,-0.4,0.0,-0.5999999999999996,0.19999999999999973,0.2,2019-2020,4.0,1.0
393,cagliari,2019-09-01,P,-1.0,inter,-10.0,-3.2,-0.2,-0.4,-12.399999999999999,4.200000000000001,0.0,0.0,2019-2020,2.0,4.0
394,udinese,2019-09-01,P,0.6000000000000001,parma,3.799999999999999,2.0,-0.2,-0.2,1.3999999999999986,2.5999999999999996,0.0,-0.4,2019-2020,4.0,1.0
395,lecce,2019-09-01,P,-1.0,hellas verona,11.0,0.0,0.0,0.0,14.0,-3.0,1.0,0.0,2019-2020,0.0,2.0
396,atalanta,2019-09-01,P,0.3999999999999999,torino,1.5999999999999996,1.0,0.0,-0.2,0.6000000000000014,-0.20000000000000284,-0.19999999999999996,0.0,2019-2020,2.0,1.0
397,sassuolo,2019-09-01,V,0.0,sampdoria,-0.40000000000000036,-1.6000000000000005,-0.4,-0.4,-5.600000000000001,5.6,1.5999999999999999,0.39999999999999997,2019-2020,3.0,2.0
398,lazio,2019-09-01,N,0.3999999999999999,roma,-6.600000000000001,0.0,0.0,0.0,-0.6000000000000014,0.1999999999999993,-0.19999999999999973,0.0,2019-2020,2.0,3.0
399,genoa,2019-09-01,V,0.6,fiorentina,-2.5999999999999996,-1.7999999999999998,0.2,0.39999999999999997,-9.200000000000003,-3.4000000000000004,0.40000000000000013,0.0,2019-2020,1.0,1.0
400,inter,2019-09-14,V,0.20000000000000018,udinese,4.800000000000001,1.0,0.4,0.6,15.399999999999999,-4.0,-0.20000000000000018,0.2,2019-2020,4.0,1.0
401,fiorentina,2019-09-14,N,-0.3999999999999999,juventus,2.799999999999999,-0.20000000000000018,0.4,0.4,-3.1999999999999957,5.000000000000002,-1.2,-0.2,2019-2020,1.0,5.0
402,napoli,2019-09-14,V,2.2,sampdoria,5.6,1.7999999999999998,-0.2,-0.2,4.800000000000004,4.200000000000001,1.0,-0.2,2019-2020,5.0,1.0
403,parma,2019-09-15,P,0.3999999999999999,cagliari,-4.0,-1.4000000000000004,0.0,0.0,-10.199999999999996,-1.6000000000000014,-0.19999999999999973,0.2,2019-2020,1.0,5.0
404,spal,2019-09-15,V,-0.6000000000000001,lazio,-5.199999999999999,-3.2,0.2,0.2,-0.3999999999999986,2.0,-0.20000000000000018,0.0,2019-2020,1.0,4.0
405,hellas verona,2019-09-15,P,-0.3999999999999999,milan,-6.1,-0.7999999999999998,-0.2,-0.2,-16.0,1.1999999999999993,0.0,0.5,2019-2020,1.0,5.0
406,brescia,2019-09-15,P,-1.9,bologna,-10.100000000000001,-4.4,0.3,0.3,-16.299999999999997,3.9000000000000004,1.4,0.0,2019-2020,0.0,6.0
407,genoa,2019-09-15,P,-0.8000000000000003,atalanta,-4.199999999999999,-3.4000000000000004,0.4,0.4,-9.599999999999994,0.8000000000000007,0.6000000000000001,0.2,2019-2020,1.0,5.0
408,roma,2019-09-15,V,0.0,sassuolo,7.4,0.40000000000000036,0.2,0.2,-4.0,-0.1999999999999993,0.3999999999999999,-0.6,2019-2020,4.0,0.0
409,torino,2019-09-16,P,2.4,lecce,-2.0,3.7,0.0,0.2,7.600000000000001,4.800000000000001,-0.3999999999999999,-0.5,2019-2020,6.0,0.0
410,cagliari,2019-09-20,V,-0.19999999999999996,genoa,-2.1999999999999993,0.0,-0.6,-0.6,2.3999999999999986,2.8000000000000007,1.0,-0.2,2019-2020,2.0,3.0
411,juventus,2019-09-21,V,0.5333333333333333,hellas verona,2.5999999999999996,1.6666666666666665,0.0,0.0,17.666666666666664,1.5999999999999996,0.1333333333333333,-0.4666666666666666,2019-2020,6.0,0.0
412,udinese,2019-09-21,P,0.06666666666666665,brescia,6.0,3.3333333333333335,-0.3333333333333333,-0.3333333333333333,4.866666666666667,-1.0,-0.8666666666666665,-0.1333333333333333,2019-2020,6.0,0.0
413,milan,2019-09-21,P,-0.6000000000000001,inter,-4.399999999999999,-3.8000000000000003,0.0,-0.19999999999999996,0.20000000000000284,2.8000000000000007,0.3999999999999999,0.0,2019-2020,0.0,3.0
414,bologna,2019-09-22,P,0.3999999999999999,roma,-2.0,-0.5999999999999996,0.0,0.0,4.800000000000004,-0.5999999999999996,0.0,0.0,2019-2020,1.0,4.0
415,lazio,2019-09-22,V,0.6000000000000001,parma,4.400000000000002,2.0,0.2,0.2,4.400000000000006,-0.5999999999999996,1.2,0.0,2019-2020,6.0,0.0
416,sampdoria,2019-09-22,V,-1.4,torino,-0.6000000000000014,-1.0,0.0,0.0,-4.600000000000001,-5.400000000000002,-0.20000000000000018,0.2,2019-2020,1.0,2.0
