,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,description,prediction
0,chievo,2018-08-18,P,-1.0,juventus,-23.0,-9.0,1.0,1.0,-44.0,3.0,2.0,0.0,2018-2019,0.0,0.0,"Juventus will be looking to kick off new Serie A campaign in style when they take on Chievo at Stadio Marc’Antonio Bentegodi on Saturday evening. Cristiano Ronaldo is eager to prove his worth on his Juve debut and, no doubt, all eyes will be on the start of the summer transfer window when the Bianconeri take on the Mussi Volanti on the opening day of the season. Max Allegri’s men are likely to adopt an attack-minded approach against Chievo and we predict that they are going to emerge triumphant in Saturday’s football game. The Mussi Volanti experienced all sorts of problems at the back in a heavy 5-0 loss to Hoffenheim in their final warm-up game, which is yet another reason why away win should be considered. In their last meeting in the “City of Love” Juventus recorded a 2-0 win over Chievo and the history is likely to repeat itself.",P
1,lazio,2018-08-18,P,-1.0,napoli,0.0,-1.0,0.0,0.0,-28.0,3.0,0.0,0.0,2018-2019,0.0,0.0,"All eyes will be on Stadio Olimpico when Lazio and Napoli take on each other in the opening match of the season. The Biancocelesti missed out on a place in the Champions League in the last season finale, but they are going to represent Italy in the Europa League in the 2018/2019 season. Lazio chiefs did well to keep hold of key midfielder Sergej Milinkovic-Savic, who is likely to pose a big threat for Napoli defenders in Saturday’s football match. The Neapolitans are determined to put an end to Juventus’ dominance in the Serie A, but seeing that Cristiano Ronaldo joined the title holders in the summer transfer window, that is easier said than done. Anyhow, Napoli are likely to stick to their attacking style of play against Lazio, which is the main reason why we predict both sides are going to find the net at Stadio Olimpico.",N
2,empoli,2018-08-19,V,2.0,cagliari,-6.0,1.0,0.0,0.0,-6.0,-1.0,0.0,0.0,2018-2019,0.0,0.0,"Empoli and Cagliari face each other at Stadio Carlo Castellani in the opening match of the season. Empoli return to the Italian top flight after spending only one season in the Serie B and, no doubt, they can’t wait for Sunday’s football match against Cagliari to start. The Azzurri produce much better showings at home ground than on the travels, but seeing that they suffered a heavy 3-0 loss to Cittadella at their Stadio Carlo Castellani in the Italian Cup clash at the weekend, we do not believe that there is a big value in betting on the hosts. Over the years Cagliari have established themselves as a mid-table side in the Serie A and they are definitely capable of grabbing something from the opening match of the season. Seeing that the Rossoblu are not regarded as good travelers, we predict the two teams will share the spoils on day 1 of the 2018/2019 Serie A campaign.",N
3,torino,2018-08-19,P,-1.0,roma,-7.0,-1.0,0.0,0.0,-16.0,-3.0,-2.0,0.0,2018-2019,0.0,0.0,"Torino and Roma take on each other at Stadio Olimpico Grande Torino in what is expected to be one of the most entertaining games of the opening day of the season. Il Toro head into Sunday’s football match following a routine win over Cosenca in Coppa Italia and they are surely high on confidence ahead of the visit of Roma. Belotti, who has established himself as one of the best attackers in the Italian top flight, is likely to lead the line for the hosts against the Giallorossi. Roma aim to bounce back from a 2-1 loss to Real Madrid in their final warm-up game, but beating Torino on the road is easier said than done. Over the years Il Toro have turned their Stadio Olimpico Grande Torino into a real fortress and despite the fact that Roma will represent Italy in the Champions League this term, we believe that there is a big value in betting on draw.",N
4,parma,2018-08-19,N,0.0,udinese,-6.0,1.0,-1.0,-1.0,-12.0,1.0,0.0,0.0,2018-2019,0.0,0.0,"Following a three-year absence Parma return to Serie A. The Gli Emiliani failed to win last six games in the Italian top flight and, no doubt, they are eager to give fans some cheer. Parma aim to bounce back from a 1-0 loss to Pisa in the Coppa Italia and we predict that they will go all guns blazing at Udinese when the two teams face each other at Ennio Tardini. A man to watch in the home team will be Jonathan Biabiany, who returned to the club earlier this summer. Udinese, on the other hand, aim to make amends for the unsuccessful 2017/2018 Serie A campaign and given Parma’s lack of experience in the elite division, we are tempted to put our money on the visitors. Venezuela attacker Darwin Machis, who joined the Zebrette in the summer transfer window, is likely to make his Udinese debut against Parma. Anyhow, a close encounter is on the cards.",N
5,sassuolo,2018-08-19,V,1.0,inter,-3.0,-1.0,1.0,1.0,-22.0,10.0,1.0,0.0,2018-2019,0.0,0.0,"Inter have big ambitions for the 2018/2019 season. The Nerazzurri aim to play an important role in both Serie A and the Champions League and there is every chance they will adopt an attack-minded approach in the opener against Sassuolo. Mauro Icardi, who scored 29 goals in the Serie A last term, will be the man to watch in the away team, whereas Belgium international Nainggolan is likely to make his Inter debut against Sassuolo. The Neroverdi are eager to shock the Nerazzurri in the opening match of the season and seeing that they outclassed Ternana 5-1 in Coppa Italia at the weekend, we believe that the hosts are going to grab something from Sunday’s football match. An entertaining clash is on the horizon and we believe the two teams are going to play out a high-scoring draw at Mapei Stadium – Citta del Tricolore.",N
6,bologna,2018-08-19,P,-1.0,spal,-1.0,-2.0,0.0,0.0,-18.0,1.0,1.0,1.0,2018-2019,0.0,0.0,"Bologna play host to SPAL at their Stadio Renato Dall’Ara in the opening game of the season. The Rossoblu recorded a routine 2-0 win over Padova in the Coppa Italia at the weekend and they will be looking to build on the triumph when they take on SPAL in their Serie A opener. Switzerland international Dzemaili, who found the net in the 2-0 win over Padova, will be one of the men to watch in the home team. It is well known that Bologna are tough to beat at home, but the visitors should not be written off just yet. SPAL were producing thrilling displays in the second half of the 2017/2018 Serie A campaign and, as a result, they secured the survival. SPAL and Bologna seem to be evenly matched ahead of the start of the new season and we predict that they are going to share the spoils at Stadio Renato Dall’Ara.",N
7,atalanta,2018-08-20,V,4.0,frosinone,11.0,9.0,0.0,0.0,16.0,1.0,-2.0,0.0,2018-2019,0.0,0.0,"Atalanta will be aiming to kick off the new Serie A campaign in style when they host Frosinone at their Stadio Atleti Azzurri d’Italia on Monday evening. Over the years the Orobici have established themselves as a top-table side in the Italian top flight and it is no surprise they are seen as hot favourites to win the season opener against Frosinone. Atalanta have been scoring goals for fun in the Europa League qualifiers this term and we predict that they are going to prove their worth on the field. Frosinone, on the other hand, experienced all sorts of problems at the back in a 3-1 loss to Real Betis in their last warm-up game and, to make things even worse for the fans, they were beaten by Suditrol in their Coppa Italia opener at the weekend. David faces Goliath in Bergamo and, taking everything into account, we do not believe Frosinone are going to spoil Atalanta’s party at Stadio Atleti Azzurri d’Italia.",V
8,juventus,2018-08-25,V,2.0,lazio,17.0,8.0,0.0,0.0,36.0,-1.0,0.0,0.0,2018-2019,0.0,0.0,"Juventus were on the verge of sharing the spoils with Chievo in Verona in their opener, but thanks to Federico Bernardeschi’s goal in the stoppage time the title holders picked up all three points from the match. Cristiano Ronaldo failed to score on his Juve debut, but, no doubt, all eyes will be on CR7 when the Bianconeri take on Lazio at their Allianz Stadium on Saturday. The Biancocelesti suffered a 2-1 loss to Napoli at their Stadio Olimpico in the opening match of the season, meaning that they would be more than happy with one point from Saturday’s football game. However, seeing that Cristiano Ronaldo is eager to prove his worth in his first game at Allianz Stadium, we predict that the defending champions are going to beat the capital club in Turin.",V
9,napoli,2018-08-25,V,1.0,milan,17.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,2018-2019,0.0,0.0,"All eyes will be on Stadio San Paolo when Napoli and Milan square off against each other in the Serie A derby. The Neapolitans came from behind to beat Lazio in the “Eternal City”, meaning that they are high on confidence ahead of Saturday’s football match against the Rossoneri. Maurizio Sarri is no longer in charge of the team, but Carlo Ancelotti is undisputedly capable of recording a good result with Napoli in the 2018/2019 season. The Partenopei have turned their Stadio San Paolo into a real fortress and despite the fact that Gonzalo Higuain will play for Milan this time out, home win should be considered. The Rossoneri’s game against Genoa was postponed at the weekend and, no doubt, Genaro Gattuso’s men will give 100% in order to grab something from the opening match of the season. Anyhow, Napoli, who defeated Milan 2-1 in their last meeting in Naples, are widely expected to win Saturday’s clash.",V
