,Casa,Punteggio,Ospiti
0,Juventus,3–0,Cagliari
1,Hellas Verona,1–3,Napoli
2,Atalanta,0–1,Roma
3,Sampdoria,2–1,Benevento
4,Inter,3–0,Fiorentina
5,Crotone,0–3,Milan
6,Bologna,1–1,Torino
7,Sassuolo,0–0,Genoa
8,Lazio,0–0,SPAL
9,Udinese,1–2,Chievo
11,Benevento,0–1,Bologna
12,Genoa,2–4,Juventus
13,Roma,1–3,Inter
14,Torino,3–0,Sassuolo
15,Milan,2–1,Cagliari
16,Crotone,0–0,Hellas Verona
17,SPAL,3–2,Udinese
18,Napoli,3–1,Atalanta
19,Chievo,1–2,Lazio
20,Fiorentina,1–2,Sampdoria
22,Juventus,3–0,Chievo
23,Inter,2–0,SPAL
24,Atalanta,2–1,Sassuolo
25,Cagliari,1–0,Crotone
26,Udinese,1–0,Genoa
27,Hellas Verona,0–5,Fiorentina
28,Lazio,4–1,Milan
29,Benevento,0–1,Torino
30,Bologna,0–3,Napoli
32,Crotone,0–2,Inter
33,Fiorentina,2–1,Bologna
34,Roma,3–0,Hellas Verona
35,Sassuolo,1–3,Juventus
36,Milan,2–1,Udinese
37,Napoli,6–0,Benevento
38,SPAL,0–2,Cagliari
39,Torino,2–2,Sampdoria
40,Chievo,1–1,Atalanta
41,Genoa,2–3,Lazio
43,Bologna,1–1,Inter
44,Benevento,0–4,Roma
45,Atalanta,5–1,Crotone
46,Milan,2–0,SPAL
47,Genoa,1–1,Chievo
48,Lazio,1–4,Napoli
49,Udinese,2–3,Torino
50,Hellas Verona,0–0,Sampdoria
51,Juventus,1–0,Fiorentina
52,Cagliari,0–1,Sassuolo
54,Roma,3–1,Udinese
55,SPAL,2–3,Napoli
56,Juventus,4–0,Torino
57,Sampdoria,2–0,Milan
58,Inter,1–0,Genoa
59,Crotone,2–0,Benevento
60,Cagliari,0–2,Chievo
61,Hellas Verona,0–3,Lazio
62,Sassuolo,0–1,Bologna
63,Fiorentina,1–1,Atalanta
65,Udinese,4–0,Sampdoria
66,Genoa,0–1,Bologna
67,Napoli,3–0,Cagliari
68,Lazio,6–1,Sassuolo
