,team,date,matchday,Risultato,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Atalanta,2021-08-21,Giornata n. 1,V,2.0,7.0,2.0,0.0,0.0,328.0,462.0,1.0,53.0,14.0,2.0,0.0
1,Atalanta,2021-08-28,Giornata n. 2,N,2.0,7.0,2.0,0.0,0.0,328.0,462.0,1.0,53.0,14.0,2.0,0.0
2,Atalanta,2021-09-11,Giornata n. 3,P,1.0,14.5,2.5,0.0,0.0,406.0,530.0,3.0,56.0,13.0,2.0,0.0
3,Atalanta,2021-09-18,Giornata n. 4,V,1.0,13.666666666666666,3.0,0.3333333333333333,0.3333333333333333,425.0,538.3333333333334,5.333333333333333,55.666666666666664,13.0,2.6666666666666665,0.0
4,Atalanta,2021-09-21,Giornata n. 5,V,1.0,12.75,3.0,0.25,0.25,437.0,545.5,5.0,56.0,13.5,3.0,0.0
5,Atalanta,2021-09-25,Giornata n. 6,N,1.2,13.0,3.4,0.2,0.2,429.2,533.2,5.0,54.2,15.0,2.8,0.0
6,Atalanta,2021-10-03,Giornata n. 7,P,1.3333333333333333,14.333333333333334,3.6666666666666665,0.16666666666666666,0.16666666666666666,416.1666666666667,515.8333333333334,6.0,53.5,14.5,3.1666666666666665,0.0
7,Atalanta,2021-10-17,Giornata n. 8,V,1.4285714285714286,14.571428571428571,3.7142857142857144,0.2857142857142857,0.2857142857142857,414.7142857142857,513.4285714285714,6.428571428571429,53.857142857142854,14.285714285714286,2.857142857142857,0.0
8,Atalanta,2021-10-24,Giornata n. 9,N,1.75,15.375,4.125,0.25,0.375,413.0,510.5,6.125,53.625,14.625,2.75,0.0
9,Atalanta,2021-10-27,Giornata n. 10,V,1.6666666666666667,14.555555555555555,4.0,0.2222222222222222,0.3333333333333333,431.77777777777777,529.6666666666666,6.111111111111111,55.111111111111114,14.777777777777779,2.6666666666666665,0.0
10,Atalanta,2021-10-30,Giornata n. 11,N,1.8,14.4,4.0,0.2,0.3,438.5,537.8,5.8,55.6,15.2,2.7,0.0
11,Atalanta,2021-11-06,Giornata n. 12,V,1.8181818181818181,14.636363636363637,3.909090909090909,0.18181818181818182,0.2727272727272727,446.90909090909093,546.5454545454545,5.818181818181818,55.63636363636363,15.090909090909092,2.5454545454545454,0.0
12,Atalanta,2021-11-20,Giornata n. 13,V,1.8333333333333333,15.083333333333334,4.25,0.16666666666666666,0.25,454.5833333333333,554.4166666666666,5.916666666666667,56.166666666666664,14.666666666666666,2.4166666666666665,0.0
13,Atalanta,2021-11-27,Giornata n. 14,V,2.076923076923077,15.23076923076923,4.538461538461538,0.23076923076923078,0.3076923076923077,454.15384615384613,552.4615384615385,5.461538461538462,55.69230769230769,14.384615384615385,2.3846153846153846,0.0
14,Atalanta,2021-11-30,Giornata n. 15,V,2.0,14.642857142857142,4.285714285714286,0.21428571428571427,0.2857142857142857,443.64285714285717,541.9285714285714,5.357142857142857,54.642857142857146,15.0,2.5714285714285716,0.0
15,Atalanta,2021-12-04,Giornata n. 16,V,2.1333333333333333,14.933333333333334,4.4,0.2,0.26666666666666666,450.8,548.2,5.266666666666667,54.86666666666667,14.8,2.4,0.0
16,Atalanta,2021-12-12,Giornata n. 17,V,2.1875,15.3125,4.5625,0.1875,0.25,447.0625,543.0625,5.375,54.25,15.1875,2.4375,0.0
17,Atalanta,2021-12-18,Giornata n. 18,P,2.176470588235294,15.235294117647058,4.647058823529412,0.17647058823529413,0.23529411764705882,438.70588235294116,537.7647058823529,5.411764705882353,53.8235294117647,14.941176470588236,2.3529411764705883,0.0
18,Atalanta,2021-12-21,Giornata n. 19,N,2.111111111111111,15.333333333333334,4.722222222222222,0.16666666666666666,0.2222222222222222,448.0,547.0,5.666666666666667,54.77777777777778,14.722222222222221,2.2777777777777777,0.0
19,Atalanta,2022-01-09,Giornata n. 21,V,2.0,15.421052631578947,4.631578947368421,0.15789473684210525,0.21052631578947367,452.94736842105266,555.6315789473684,5.7894736842105265,55.421052631578945,14.789473684210526,2.210526315789474,0.0
20,Atalanta,2022-01-16,Giornata n. 22,N,2.2,15.7,4.75,0.15,0.2,458.7,561.4,5.75,55.65,14.65,2.2,0.0
21,Atalanta,2022-01-22,Giornata n. 23,N,2.0952380952380953,15.523809523809524,4.809523809523809,0.14285714285714285,0.19047619047619047,451.42857142857144,554.2857142857143,5.761904761904762,54.76190476190476,14.666666666666666,2.1904761904761907,0.0
22,Atalanta,2022-02-06,Giornata n. 24,P,2.0,15.090909090909092,4.681818181818182,0.13636363636363635,0.18181818181818182,448.3636363636364,550.3636363636364,5.545454545454546,54.04545454545455,14.772727272727273,2.227272727272727,0.0
23,Atalanta,2022-02-13,Giornata n. 25,N,1.9565217391304348,14.869565217391305,4.6521739130434785,0.13043478260869565,0.17391304347826086,451.2608695652174,553.7826086956521,5.434782608695652,54.34782608695652,14.73913043478261,2.1739130434782608,0.043478260869565216
24,Atalanta,2022-02-20,Giornata n. 26,P,1.9166666666666667,15.125,4.583333333333333,0.125,0.16666666666666666,451.4583333333333,553.6666666666666,5.541666666666667,54.25,14.666666666666666,2.1666666666666665,0.041666666666666664
25,Atalanta,2022-02-28,Giornata n. 27,V,1.84,14.8,4.44,0.12,0.16,448.68,550.36,5.36,54.12,15.0,2.28,0.04
26,Atalanta,2022-03-05,Giornata n. 28,P,1.9230769230769231,14.961538461538462,4.615384615384615,0.11538461538461539,0.15384615384615385,452.8076923076923,554.5384615384615,5.461538461538462,54.19230769230769,15.0,2.230769230769231,0.038461538461538464
27,Atalanta,2022-03-13,Giornata n. 29,N,1.8518518518518519,14.666666666666666,4.592592592592593,0.1111111111111111,0.14814814814814814,456.14814814814815,557.2592592592592,5.37037037037037,54.55555555555556,15.074074074074074,2.2962962962962963,0.07407407407407407
28,Atalanta,2022-03-20,Giornata n. 30,V,1.7857142857142858,14.571428571428571,4.5,0.10714285714285714,0.14285714285714285,456.32142857142856,560.3571428571429,5.321428571428571,54.714285714285715,15.035714285714286,2.2857142857142856,0.07142857142857142
29,Atalanta,2022-04-03,Giornata n. 31,P,1.7586206896551724,14.586206896551724,4.413793103448276,0.10344827586206896,0.13793103448275862,450.2068965517241,554.8275862068965,5.241379310344827,54.206896551724135,14.931034482758621,2.2413793103448274,0.06896551724137931
30,Atalanta,2022-04-10,Giornata n. 32,P,1.7333333333333334,14.733333333333333,4.366666666666666,0.1,0.13333333333333333,451.3666666666667,555.6333333333333,5.366666666666666,54.233333333333334,15.0,2.2333333333333334,0.06666666666666667
31,Atalanta,2022-04-18,Giornata n. 33,P,1.7096774193548387,14.741935483870968,4.354838709677419,0.0967741935483871,0.12903225806451613,450.38709677419354,554.1290322580645,5.451612903225806,54.064516129032256,15.0,2.193548387096774,0.06451612903225806
32,Atalanta,2022-04-23,Giornata n. 34,V,1.6875,14.8125,4.34375,0.09375,0.125,449.96875,554.28125,5.59375,54.125,14.96875,2.21875,0.0625
33,Atalanta,2022-04-27,Giornata n. 20,N,1.7272727272727273,14.93939393939394,4.333333333333333,0.09090909090909091,0.12121212121212122,453.1515151515151,557.7878787878788,5.636363636363637,54.333333333333336,14.93939393939394,2.242424242424242,0.06060606060606061
34,Atalanta,2022-05-02,Giornata n. 35,N,1.7941176470588236,14.941176470588236,4.294117647058823,0.14705882352941177,0.17647058823529413,450.38235294117646,554.9705882352941,5.705882352941177,54.1764705882353,14.852941176470589,2.235294117647059,0.058823529411764705
35,Atalanta,2022-05-08,Giornata n. 36,V,1.7714285714285714,15.085714285714285,4.314285714285714,0.14285714285714285,0.17142857142857143,451.51428571428573,556.1428571428571,5.857142857142857,54.371428571428574,14.82857142857143,2.257142857142857,0.05714285714285714
36,Atalanta,2022-05-15,Giornata n. 37,P,1.8055555555555556,15.13888888888889,4.361111111111111,0.1388888888888889,0.16666666666666666,453.44444444444446,557.75,5.777777777777778,54.69444444444444,14.805555555555555,2.2777777777777777,0.05555555555555555
37,Atalanta,2022-05-21,Giornata n. 38,P,1.7567567567567568,15.054054054054054,4.297297297297297,0.13513513513513514,0.16216216216216217,452.18918918918916,555.918918918919,5.783783783783784,54.7027027027027,14.837837837837839,2.324324324324324,0.05405405405405406
