,team,date,matchday,Risultato,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Hellas Verona,2021-08-21,Giornata n. 1,P,2.0,14.0,3.0,1.0,1.0,282.0,361.0,7.0,40.0,10.0,3.0,1.0
1,Hellas Verona,2021-08-27,Giornata n. 2,P,2.0,14.0,3.0,1.0,1.0,282.0,361.0,7.0,40.0,10.0,3.0,1.0
2,Hellas Verona,2021-09-13,Giornata n. 3,P,1.5,11.0,2.0,0.5,0.5,281.0,364.0,6.5,41.5,11.5,2.5,0.5
3,Hellas Verona,2021-09-19,Giornata n. 4,V,1.0,9.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,318.3333333333333,402.6666666666667,5.0,46.666666666666664,15.666666666666666,2.6666666666666665,0.3333333333333333
4,Hellas Verona,2021-09-22,Giornata n. 5,N,1.5,9.25,2.5,0.25,0.25,330.5,419.0,4.5,48.25,16.25,3.0,0.25
5,Hellas Verona,2021-09-25,Giornata n. 6,N,1.6,9.2,3.0,0.2,0.2,327.2,419.8,4.6,48.6,16.8,3.0,0.2
6,Hellas Verona,2021-10-03,Giornata n. 7,V,1.8333333333333333,9.5,3.5,0.3333333333333333,0.3333333333333333,332.3333333333333,429.0,4.166666666666667,49.0,16.5,2.6666666666666665,0.16666666666666666
7,Hellas Verona,2021-10-16,Giornata n. 8,P,2.142857142857143,9.0,3.5714285714285716,0.2857142857142857,0.2857142857142857,334.14285714285717,428.85714285714283,3.7142857142857144,48.42857142857143,16.571428571428573,2.4285714285714284,0.14285714285714285
8,Hellas Verona,2021-10-24,Giornata n. 9,V,2.125,9.0,3.625,0.375,0.375,328.0,424.625,3.75,48.25,17.125,2.625,0.125
9,Hellas Verona,2021-10-27,Giornata n. 10,N,2.3333333333333335,9.777777777777779,4.0,0.3333333333333333,0.3333333333333333,337.77777777777777,435.77777777777777,3.6666666666666665,48.333333333333336,16.88888888888889,2.5555555555555554,0.1111111111111111
10,Hellas Verona,2021-10-30,Giornata n. 11,V,2.2,9.2,3.7,0.4,0.4,352.7,450.5,3.7,50.1,16.4,2.5,0.1
11,Hellas Verona,2021-11-07,Giornata n. 12,N,2.1818181818181817,9.454545454545455,3.8181818181818183,0.36363636363636365,0.36363636363636365,355.6363636363636,453.8181818181818,3.727272727272727,49.63636363636363,17.181818181818183,2.6363636363636362,0.09090909090909091
12,Hellas Verona,2021-11-22,Giornata n. 13,V,2.0833333333333335,9.583333333333334,3.75,0.3333333333333333,0.3333333333333333,351.3333333333333,448.5,3.5833333333333335,49.0,17.25,3.0,0.25
13,Hellas Verona,2021-11-27,Giornata n. 14,P,2.076923076923077,10.538461538461538,3.769230769230769,0.3076923076923077,0.3076923076923077,355.3076923076923,453.61538461538464,3.3846153846153846,49.53846153846154,16.53846153846154,2.8461538461538463,0.23076923076923078
14,Hellas Verona,2021-11-30,Giornata n. 15,N,2.0,10.857142857142858,3.7857142857142856,0.2857142857142857,0.2857142857142857,358.85714285714283,456.57142857142856,3.5,50.142857142857146,16.571428571428573,2.7142857142857144,0.21428571428571427
15,Hellas Verona,2021-12-05,Giornata n. 16,V,1.8666666666666667,11.133333333333333,3.933333333333333,0.26666666666666666,0.26666666666666666,369.8666666666667,468.73333333333335,4.0,51.333333333333336,16.6,2.7333333333333334,0.2
16,Hellas Verona,2021-12-12,Giornata n. 17,P,2.0,11.375,4.0,0.3125,0.3125,370.25,469.625,4.125,51.625,16.5,2.6875,0.1875
17,Hellas Verona,2021-12-19,Giornata n. 18,P,1.9411764705882353,11.823529411764707,3.9411764705882355,0.29411764705882354,0.29411764705882354,368.7647058823529,472.1764705882353,4.235294117647059,51.705882352941174,16.352941176470587,2.6470588235294117,0.17647058823529413
18,Hellas Verona,2021-12-22,Giornata n. 19,N,1.8333333333333333,11.61111111111111,3.8333333333333335,0.2777777777777778,0.2777777777777778,359.6666666666667,463.8888888888889,4.166666666666667,50.72222222222222,15.777777777777779,2.611111111111111,0.2222222222222222
19,Hellas Verona,2022-01-06,Giornata n. 20,V,1.7894736842105263,11.368421052631579,3.736842105263158,0.2631578947368421,0.2631578947368421,354.2105263157895,459.4736842105263,4.105263157894737,50.1578947368421,15.789473684210526,2.5789473684210527,0.21052631578947367
20,Hellas Verona,2022-01-09,Giornata n. 21,P,1.8,11.9,3.8,0.25,0.25,357.1,462.55,4.25,50.65,15.55,2.55,0.2
21,Hellas Verona,2022-01-16,Giornata n. 22,V,1.7619047619047619,12.476190476190476,3.9523809523809526,0.23809523809523808,0.23809523809523808,363.8095238095238,469.4761904761905,4.857142857142857,51.57142857142857,15.428571428571429,2.4761904761904763,0.23809523809523808
22,Hellas Verona,2022-01-21,Giornata n. 23,V,1.8636363636363635,12.818181818181818,4.0,0.2727272727272727,0.2727272727272727,360.5,466.04545454545456,4.954545454545454,51.27272727272727,15.545454545454545,2.5454545454545454,0.22727272727272727
23,Hellas Verona,2022-02-06,Giornata n. 24,P,1.8695652173913044,12.869565217391305,4.086956521739131,0.2608695652173913,0.2608695652173913,360.4782608695652,467.0869565217391,5.043478260869565,51.52173913043478,15.782608695652174,2.5217391304347827,0.21739130434782608
24,Hellas Verona,2022-02-13,Giornata n. 25,V,1.7916666666666667,12.875,3.9583333333333335,0.25,0.25,363.7916666666667,470.625,5.041666666666667,51.625,15.583333333333334,2.4583333333333335,0.20833333333333334
25,Hellas Verona,2022-02-19,Giornata n. 26,N,1.88,12.6,4.0,0.24,0.24,360.08,467.32,4.92,51.32,15.64,2.48,0.2
26,Hellas Verona,2022-02-27,Giornata n. 27,V,1.8846153846153846,12.307692307692308,3.9615384615384617,0.23076923076923078,0.23076923076923078,357.5,465.46153846153845,4.8076923076923075,51.0,15.576923076923077,2.4615384615384617,0.19230769230769232
27,Hellas Verona,2022-03-06,Giornata n. 28,N,1.9259259259259258,12.555555555555555,4.222222222222222,0.2222222222222222,0.2222222222222222,358.81481481481484,467.6666666666667,4.814814814814815,51.22222222222222,15.481481481481481,2.3703703703703702,0.18518518518518517
28,Hellas Verona,2022-03-13,Giornata n. 29,P,1.8928571428571428,12.214285714285714,4.107142857142857,0.25,0.25,356.9642857142857,465.67857142857144,4.714285714285714,51.17857142857143,15.464285714285714,2.4285714285714284,0.17857142857142858
29,Hellas Verona,2022-03-20,Giornata n. 30,N,1.8620689655172413,12.068965517241379,4.0,0.2413793103448276,0.2413793103448276,357.2413793103448,465.7931034482759,4.655172413793103,51.10344827586207,15.586206896551724,2.5517241379310347,0.2413793103448276
30,Hellas Verona,2022-04-04,Giornata n. 31,V,1.8333333333333333,12.1,4.0,0.23333333333333334,0.26666666666666666,359.6,468.0,4.733333333333333,51.46666666666667,15.5,2.566666666666667,0.23333333333333334
31,Hellas Verona,2022-04-09,Giornata n. 32,P,1.8064516129032258,11.935483870967742,4.0,0.22580645161290322,0.25806451612903225,356.4193548387097,465.64516129032256,4.645161290322581,51.29032258064516,15.548387096774194,2.6129032258064515,0.22580645161290322
32,Hellas Verona,2022-04-18,Giornata n. 33,V,1.75,11.84375,3.96875,0.21875,0.25,357.59375,466.28125,4.5625,51.3125,15.3125,2.53125,0.21875
33,Hellas Verona,2022-04-23,Giornata n. 34,N,1.7575757575757576,12.121212121212121,4.03030303030303,0.21212121212121213,0.24242424242424243,356.8484848484849,465.27272727272725,4.454545454545454,51.09090909090909,15.242424242424242,2.5454545454545454,0.21212121212121213
34,Hellas Verona,2022-04-30,Giornata n. 35,V,1.7352941176470589,12.117647058823529,3.9411764705882355,0.20588235294117646,0.23529411764705882,358.3529411764706,467.0,4.4411764705882355,51.26470588235294,15.235294117647058,2.5,0.20588235294117646
35,Hellas Verona,2022-05-08,Giornata n. 36,P,1.7428571428571429,12.142857142857142,3.942857142857143,0.2,0.22857142857142856,354.2857142857143,463.1142857142857,4.371428571428571,50.94285714285714,15.542857142857143,2.5428571428571427,0.2
36,Hellas Verona,2022-05-14,Giornata n. 37,P,1.7222222222222223,12.083333333333334,3.9166666666666665,0.19444444444444445,0.2222222222222222,353.1666666666667,461.44444444444446,4.388888888888889,50.833333333333336,15.583333333333334,2.5277777777777777,0.19444444444444445
37,Hellas Verona,2022-05-21,Giornata n. 38,N,1.6756756756756757,12.027027027027026,3.945945945945946,0.1891891891891892,0.21621621621621623,351.1621621621622,459.18918918918916,4.378378378378378,50.7027027027027,15.675675675675675,2.5405405405405403,0.1891891891891892
