,team,date,matchday,Risultato,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Lazio,2021-08-21,Giornata n. 1,V,3.0,7.0,3.0,1.0,1.0,517.0,589.0,3.0,54.0,10.0,1.0,0.0
1,Lazio,2021-08-28,Giornata n. 2,V,3.0,7.0,3.0,1.0,1.0,517.0,589.0,3.0,54.0,10.0,1.0,0.0
2,Lazio,2021-09-12,Giornata n. 3,P,4.5,12.0,6.0,0.5,1.0,585.5,653.0,3.5,57.5,11.5,0.5,0.0
3,Lazio,2021-09-19,Giornata n. 4,N,3.0,10.666666666666666,5.666666666666667,0.3333333333333333,0.6666666666666666,553.0,625.3333333333334,2.6666666666666665,56.0,14.0,1.6666666666666667,0.0
4,Lazio,2021-09-23,Giornata n. 5,N,2.75,15.0,6.75,0.25,0.5,576.25,656.0,4.5,60.0,11.75,1.5,0.0
5,Lazio,2021-09-26,Giornata n. 6,V,2.4,13.0,5.6,0.4,0.6,536.6,624.6,4.6,59.0,11.2,1.8,0.0
6,Lazio,2021-10-03,Giornata n. 7,P,2.5,12.5,5.333333333333333,0.3333333333333333,0.5,514.8333333333334,599.6666666666666,4.0,57.5,12.0,1.8333333333333333,0.0
7,Lazio,2021-10-16,Giornata n. 8,V,2.142857142857143,11.857142857142858,5.142857142857143,0.2857142857142857,0.42857142857142855,522.7142857142857,609.0,3.857142857142857,57.714285714285715,12.857142857142858,2.2857142857142856,0.14285714285714285
8,Lazio,2021-10-24,Giornata n. 9,P,2.25,12.625,5.375,0.375,0.5,524.0,607.25,4.25,57.0,12.875,2.375,0.25
9,Lazio,2021-10-27,Giornata n. 10,V,2.111111111111111,12.222222222222221,5.222222222222222,0.3333333333333333,0.4444444444444444,513.3333333333334,600.1111111111111,4.222222222222222,56.333333333333336,13.333333333333334,2.3333333333333335,0.2222222222222222
10,Lazio,2021-10-30,Giornata n. 11,N,2.0,11.5,4.9,0.3,0.4,509.2,595.6,4.1,55.6,13.7,2.4,0.2
11,Lazio,2021-11-07,Giornata n. 12,V,2.0,11.181818181818182,4.909090909090909,0.2727272727272727,0.36363636363636365,498.8181818181818,585.9090909090909,3.909090909090909,54.54545454545455,13.818181818181818,2.4545454545454546,0.18181818181818182
12,Lazio,2021-11-20,Giornata n. 13,P,2.0833333333333335,11.666666666666666,4.916666666666667,0.25,0.3333333333333333,510.5833333333333,596.4166666666666,4.0,55.0,13.333333333333334,2.3333333333333335,0.16666666666666666
13,Lazio,2021-11-28,Giornata n. 14,P,1.9230769230769231,11.384615384615385,4.615384615384615,0.23076923076923078,0.3076923076923077,515.9230769230769,601.4615384615385,3.923076923076923,55.15384615384615,13.23076923076923,2.3846153846153846,0.15384615384615385
14,Lazio,2021-12-02,Giornata n. 15,N,1.7857142857142858,11.0,4.428571428571429,0.21428571428571427,0.2857142857142857,510.92857142857144,595.2142857142857,3.857142857142857,53.92857142857143,13.357142857142858,2.5,0.14285714285714285
15,Lazio,2021-12-05,Giornata n. 16,V,1.9333333333333333,11.133333333333333,4.466666666666667,0.2,0.26666666666666666,511.3333333333333,596.0,3.933333333333333,54.46666666666667,13.2,2.533333333333333,0.2
16,Lazio,2021-12-12,Giornata n. 17,P,2.0,10.8125,4.5,0.1875,0.25,510.8125,596.25,3.6875,54.3125,13.0,2.5625,0.25
17,Lazio,2021-12-17,Giornata n. 18,V,1.9411764705882353,10.529411764705882,4.352941176470588,0.17647058823529413,0.23529411764705882,503.5882352941176,589.0588235294117,3.4705882352941178,53.529411764705884,12.941176470588236,2.5294117647058822,0.23529411764705882
18,Lazio,2021-12-22,Giornata n. 19,V,2.0,10.555555555555555,4.388888888888889,0.16666666666666666,0.2222222222222222,508.1666666666667,593.9444444444445,3.5555555555555554,53.611111111111114,12.722222222222221,2.388888888888889,0.2222222222222222
19,Lazio,2022-01-06,Giornata n. 20,N,2.0526315789473686,10.368421052631579,4.368421052631579,0.15789473684210525,0.21052631578947367,508.2631578947368,593.578947368421,3.5789473684210527,53.578947368421055,12.68421052631579,2.4210526315789473,0.21052631578947367
20,Lazio,2022-01-09,Giornata n. 21,P,2.1,10.95,4.55,0.15,0.25,508.0,593.2,3.85,54.0,12.75,2.5,0.2
21,Lazio,2022-01-15,Giornata n. 22,V,2.0476190476190474,10.666666666666666,4.428571428571429,0.14285714285714285,0.23809523809523808,501.57142857142856,586.6666666666666,3.8095238095238093,53.333333333333336,12.952380952380953,2.5714285714285716,0.19047619047619047
22,Lazio,2022-01-22,Giornata n. 23,N,2.090909090909091,10.863636363636363,4.590909090909091,0.13636363636363635,0.22727272727272727,517.0,601.6818181818181,3.9545454545454546,54.22727272727273,13.090909090909092,2.590909090909091,0.18181818181818182
23,Lazio,2022-02-05,Giornata n. 24,V,2.0,10.782608695652174,4.434782608695652,0.13043478260869565,0.21739130434782608,522.304347826087,607.7391304347826,3.9565217391304346,54.52173913043478,12.956521739130435,2.4782608695652173,0.17391304347826086
24,Lazio,2022-02-12,Giornata n. 25,V,2.0416666666666665,10.833333333333334,4.541666666666667,0.125,0.20833333333333334,519.0833333333334,604.0833333333334,3.9166666666666665,54.333333333333336,13.083333333333334,2.5833333333333335,0.16666666666666666
25,Lazio,2022-02-20,Giornata n. 26,N,2.08,10.84,4.56,0.16,0.24,520.28,605.28,3.96,54.44,13.08,2.56,0.16
26,Lazio,2022-02-27,Giornata n. 27,P,2.0384615384615383,10.807692307692308,4.461538461538462,0.15384615384615385,0.23076923076923078,519.6153846153846,604.6153846153846,4.269230769230769,54.61538461538461,12.923076923076923,2.5384615384615383,0.15384615384615385
27,Lazio,2022-03-05,Giornata n. 28,V,2.0,10.88888888888889,4.592592592592593,0.14814814814814814,0.2222222222222222,518.7777777777778,603.2592592592592,4.148148148148148,54.25925925925926,12.962962962962964,2.5555555555555554,0.14814814814814814
28,Lazio,2022-03-14,Giornata n. 29,V,2.0357142857142856,11.0,4.571428571428571,0.17857142857142858,0.25,517.2857142857143,602.6785714285714,4.214285714285714,54.285714285714285,12.964285714285714,2.5357142857142856,0.17857142857142858
29,Lazio,2022-03-20,Giornata n. 30,P,2.0,10.931034482758621,4.413793103448276,0.20689655172413793,0.27586206896551724,522.551724137931,608.1034482758621,4.344827586206897,54.689655172413794,12.862068965517242,2.4827586206896552,0.1724137931034483
30,Lazio,2022-04-02,Giornata n. 31,V,1.9333333333333333,10.866666666666667,4.366666666666666,0.2,0.26666666666666666,524.3666666666667,610.1333333333333,4.3,55.06666666666667,12.9,2.5,0.16666666666666666
31,Lazio,2022-04-10,Giornata n. 32,V,1.935483870967742,10.96774193548387,4.387096774193548,0.1935483870967742,0.25806451612903225,525.8387096774194,611.0322580645161,4.290322580645161,55.03225806451613,12.838709677419354,2.4516129032258065,0.16129032258064516
32,Lazio,2022-04-16,Giornata n. 33,N,2.0,11.15625,4.59375,0.1875,0.25,524.0,609.84375,4.34375,55.0625,12.71875,2.40625,0.15625
33,Lazio,2022-04-24,Giornata n. 34,P,1.9696969696969697,11.121212121212121,4.575757575757576,0.18181818181818182,0.24242424242424243,520.6666666666666,606.8787878787879,4.484848484848484,54.84848484848485,12.636363636363637,2.3636363636363638,0.15151515151515152
34,Lazio,2022-04-30,Giornata n. 35,V,1.9411764705882353,11.0,4.5,0.17647058823529413,0.23529411764705882,515.5,601.8823529411765,4.411764705882353,54.61764705882353,12.676470588235293,2.3823529411764706,0.14705882352941177
35,Lazio,2022-05-07,Giornata n. 36,V,2.0,11.285714285714286,4.6,0.2,0.2571428571428571,517.3428571428572,604.0285714285715,4.428571428571429,55.05714285714286,12.6,2.342857142857143,0.14285714285714285
36,Lazio,2022-05-16,Giornata n. 37,N,2.0,11.416666666666666,4.75,0.19444444444444445,0.25,521.8055555555555,608.3333333333334,4.472222222222222,55.19444444444444,12.527777777777779,2.3055555555555554,0.1388888888888889
