,team,date,matchday,Risultato,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Salernitana,2021-08-22,Giornata n. 1,P,2.0,9.0,3.0,1.0,1.0,130.0,233.0,4.0,28.0,14.0,3.0,1.0
1,Salernitana,2021-08-29,Giornata n. 2,P,2.0,9.0,3.0,1.0,1.0,130.0,233.0,4.0,28.0,14.0,3.0,1.0
2,Salernitana,2021-09-12,Giornata n. 3,P,1.0,7.0,1.5,0.5,0.5,122.0,226.0,2.5,25.5,14.0,2.5,0.5
3,Salernitana,2021-09-18,Giornata n. 4,P,0.6666666666666666,7.333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,169.0,273.0,3.0,30.333333333333332,13.0,2.3333333333333335,0.3333333333333333
4,Salernitana,2021-09-22,Giornata n. 5,N,0.5,8.25,1.5,0.25,0.25,204.25,311.0,3.75,33.5,15.25,2.75,0.25
5,Salernitana,2021-09-26,Giornata n. 6,P,0.8,9.6,2.0,0.2,0.2,224.2,332.8,3.8,36.8,14.8,2.6,0.2
6,Salernitana,2021-10-02,Giornata n. 7,V,0.6666666666666666,10.0,2.3333333333333335,0.16666666666666666,0.16666666666666666,233.0,339.1666666666667,4.5,37.833333333333336,15.333333333333334,2.6666666666666665,0.16666666666666666
7,Salernitana,2021-10-16,Giornata n. 8,P,0.7142857142857143,10.0,2.5714285714285716,0.14285714285714285,0.14285714285714285,243.71428571428572,350.57142857142856,5.142857142857143,39.57142857142857,16.0,2.5714285714285716,0.14285714285714285
8,Salernitana,2021-10-23,Giornata n. 9,P,0.75,10.625,2.75,0.125,0.125,243.75,350.75,4.75,39.75,16.125,2.625,0.125
9,Salernitana,2021-10-26,Giornata n. 10,V,0.8888888888888888,10.777777777777779,3.0,0.1111111111111111,0.1111111111111111,264.0,371.44444444444446,5.0,41.888888888888886,16.11111111111111,2.4444444444444446,0.1111111111111111
10,Salernitana,2021-10-31,Giornata n. 11,P,1.0,11.8,3.4,0.1,0.1,281.6,387.8,5.0,43.2,16.1,2.5,0.1
11,Salernitana,2021-11-07,Giornata n. 12,P,0.9090909090909091,11.545454545454545,3.272727272727273,0.09090909090909091,0.09090909090909091,279.09090909090907,383.45454545454544,4.909090909090909,42.72727272727273,15.545454545454545,2.272727272727273,0.18181818181818182
12,Salernitana,2021-11-21,Giornata n. 13,P,0.8333333333333334,11.0,3.0,0.08333333333333333,0.08333333333333333,289.5,391.1666666666667,4.583333333333333,42.5,15.416666666666666,2.25,0.16666666666666666
13,Salernitana,2021-11-26,Giornata n. 14,N,0.7692307692307693,11.538461538461538,3.0,0.07692307692307693,0.07692307692307693,295.9230769230769,398.6923076923077,5.230769230769231,43.46153846153846,15.153846153846153,2.076923076923077,0.15384615384615385
14,Salernitana,2021-11-30,Giornata n. 15,P,0.7857142857142857,11.285714285714286,2.9285714285714284,0.07142857142857142,0.07142857142857142,294.2857142857143,396.92857142857144,5.285714285714286,43.42857142857143,14.785714285714286,2.0,0.14285714285714285
15,Salernitana,2021-12-04,Giornata n. 16,P,0.7333333333333333,10.8,2.7333333333333334,0.06666666666666667,0.06666666666666667,290.73333333333335,391.8666666666667,5.2,42.333333333333336,14.8,1.9333333333333333,0.13333333333333333
16,Salernitana,2021-12-11,Giornata n. 17,P,0.6875,10.5625,2.6875,0.0625,0.0625,287.3125,387.1875,5.1875,41.5625,14.5625,1.9375,0.125
17,Salernitana,2021-12-17,Giornata n. 18,P,0.6470588235294118,10.588235294117647,2.8823529411764706,0.058823529411764705,0.058823529411764705,285.1764705882353,384.1764705882353,5.0588235294117645,40.88235294117647,14.411764705882353,1.8823529411764706,0.11764705882352941
18,Salernitana,2022-01-09,Giornata n. 21,V,0.6111111111111112,10.555555555555555,2.8333333333333335,0.05555555555555555,0.05555555555555555,284.55555555555554,382.44444444444446,4.944444444444445,40.55555555555556,14.222222222222221,1.8333333333333333,0.1111111111111111
19,Salernitana,2022-01-15,Giornata n. 22,P,0.6842105263157895,10.421052631578947,2.8947368421052633,0.10526315789473684,0.10526315789473684,277.8421052631579,375.89473684210526,4.894736842105263,40.0,14.105263157894736,1.894736842105263,0.10526315789473684
20,Salernitana,2022-01-23,Giornata n. 23,P,0.65,10.25,2.8,0.1,0.1,277.3,374.0,4.8,39.35,14.0,1.9,0.1
21,Salernitana,2022-02-07,Giornata n. 24,N,0.6666666666666666,9.80952380952381,2.7142857142857144,0.09523809523809523,0.09523809523809523,271.0,366.8095238095238,4.571428571428571,38.38095238095238,14.0,2.0,0.14285714285714285
22,Salernitana,2022-02-13,Giornata n. 25,N,0.7272727272727273,9.818181818181818,2.8181818181818183,0.09090909090909091,0.09090909090909091,276.6363636363636,373.40909090909093,4.590909090909091,39.18181818181818,13.954545454545455,2.0454545454545454,0.13636363636363635
23,Salernitana,2022-02-19,Giornata n. 26,N,0.7391304347826086,9.91304347826087,2.869565217391304,0.08695652173913043,0.08695652173913043,276.6521739130435,374.39130434782606,4.565217391304348,39.69565217391305,13.826086956521738,2.0434782608695654,0.13043478260869565
24,Salernitana,2022-02-26,Giornata n. 27,N,0.7916666666666666,9.875,2.9166666666666665,0.08333333333333333,0.08333333333333333,275.9166666666667,373.3333333333333,4.541666666666667,39.708333333333336,14.041666666666666,2.0416666666666665,0.125
25,Salernitana,2022-03-04,Giornata n. 28,P,0.8,10.12,2.96,0.08,0.08,279.76,376.92,4.6,40.36,14.2,2.04,0.12
26,Salernitana,2022-03-12,Giornata n. 29,N,0.7692307692307693,10.153846153846153,2.9615384615384617,0.07692307692307693,0.07692307692307693,281.38461538461536,377.1923076923077,4.538461538461538,40.34615384615385,13.961538461538462,2.0,0.11538461538461539
27,Salernitana,2022-03-20,Giornata n. 30,P,0.8148148148148148,10.333333333333334,3.037037037037037,0.07407407407407407,0.07407407407407407,285.48148148148147,380.85185185185185,4.555555555555555,40.592592592592595,13.925925925925926,2.0,0.1111111111111111
28,Salernitana,2022-04-02,Giornata n. 31,P,0.7857142857142857,10.392857142857142,3.0714285714285716,0.07142857142857142,0.07142857142857142,288.2857142857143,382.9642857142857,4.571428571428571,40.714285714285715,13.892857142857142,2.0,0.10714285714285714
29,Salernitana,2022-04-10,Giornata n. 32,P,0.7586206896551724,10.517241379310345,3.103448275862069,0.06896551724137931,0.06896551724137931,288.1034482758621,383.8965517241379,4.724137931034483,41.13793103448276,13.96551724137931,2.103448275862069,0.13793103448275862
30,Salernitana,2022-04-16,Giornata n. 33,V,0.7666666666666667,10.366666666666667,3.1,0.06666666666666667,0.06666666666666667,285.26666666666665,380.56666666666666,4.633333333333334,40.9,14.333333333333334,2.3,0.13333333333333333
31,Salernitana,2022-04-20,Giornata n. 19,V,0.8064516129032258,10.258064516129032,3.064516129032258,0.06451612903225806,0.06451612903225806,283.48387096774195,378.5806451612903,4.548387096774194,40.645161290322584,14.67741935483871,2.4516129032258065,0.12903225806451613
32,Salernitana,2022-04-24,Giornata n. 34,V,0.8125,10.21875,3.03125,0.0625,0.0625,283.21875,378.4375,4.5,40.8125,14.65625,2.53125,0.125
33,Salernitana,2022-05-02,Giornata n. 35,N,0.8484848484848485,10.212121212121213,3.0606060606060606,0.06060606060606061,0.06060606060606061,279.3333333333333,374.42424242424244,4.545454545454546,40.42424242424242,14.727272727272727,2.484848484848485,0.12121212121212122
34,Salernitana,2022-05-05,Giornata n. 20,V,0.8529411764705882,10.235294117647058,3.235294117647059,0.058823529411764705,0.058823529411764705,279.11764705882354,374.44117647058823,4.529411764705882,40.38235294117647,14.617647058823529,2.4705882352941178,0.11764705882352941
35,Salernitana,2022-05-08,Giornata n. 36,N,0.8857142857142857,10.457142857142857,3.2285714285714286,0.08571428571428572,0.08571428571428572,277.9428571428571,373.2,4.571428571428571,40.42857142857143,14.542857142857143,2.4571428571428573,0.11428571428571428
36,Salernitana,2022-05-14,Giornata n. 37,N,0.8888888888888888,10.5,3.1944444444444446,0.1111111111111111,0.1111111111111111,278.0833333333333,373.6111111111111,4.638888888888889,40.638888888888886,14.472222222222221,2.5277777777777777,0.1388888888888889
37,Salernitana,2022-05-22,Giornata n. 38,P,0.8918918918918919,10.972972972972974,3.324324324324324,0.10810810810810811,0.13513513513513514,280.7027027027027,376.2432432432432,4.8108108108108105,41.027027027027025,14.324324324324325,2.5135135135135136,0.13513513513513514
