,team,date,matchday,Risultato,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Sampdoria,2021-08-23,Giornata n. 1,P,0.0,16.0,3.0,0.0,0.0,334.0,432.0,8.0,49.0,20.0,3.0,0.0
1,Sampdoria,2021-08-29,Giornata n. 2,N,0.0,16.0,3.0,0.0,0.0,334.0,432.0,8.0,49.0,20.0,3.0,0.0
2,Sampdoria,2021-09-12,Giornata n. 3,N,0.0,13.5,2.5,0.0,0.0,297.5,401.5,7.0,43.0,18.5,2.5,0.0
3,Sampdoria,2021-09-19,Giornata n. 4,V,0.6666666666666666,13.666666666666666,2.3333333333333335,0.0,0.0,318.3333333333333,419.3333333333333,6.0,46.0,17.0,3.0,0.0
4,Sampdoria,2021-09-23,Giornata n. 5,P,1.25,13.75,3.75,0.0,0.0,312.25,414.5,6.5,46.25,16.5,2.75,0.0
5,Sampdoria,2021-09-26,Giornata n. 6,P,1.0,13.6,4.0,0.0,0.0,332.6,433.4,6.2,46.6,15.4,2.6,0.0
6,Sampdoria,2021-10-03,Giornata n. 7,N,1.1666666666666667,12.333333333333334,3.8333333333333335,0.0,0.0,342.3333333333333,442.3333333333333,5.5,47.166666666666664,15.833333333333334,2.6666666666666665,0.0
7,Sampdoria,2021-10-17,Giornata n. 8,P,1.4285714285714286,12.142857142857142,3.5714285714285716,0.14285714285714285,0.14285714285714285,345.57142857142856,443.42857142857144,5.571428571428571,48.142857142857146,15.571428571428571,2.857142857142857,0.0
8,Sampdoria,2021-10-22,Giornata n. 9,V,1.375,12.75,3.5,0.125,0.125,351.25,451.375,6.0,49.75,15.875,2.75,0.0
9,Sampdoria,2021-10-27,Giornata n. 10,P,1.4444444444444444,12.0,3.3333333333333335,0.1111111111111111,0.1111111111111111,333.8888888888889,434.77777777777777,5.333333333333333,47.55555555555556,15.222222222222221,2.7777777777777777,0.0
10,Sampdoria,2021-10-30,Giornata n. 11,P,1.4,11.6,3.3,0.1,0.1,328.7,432.7,5.1,46.8,15.3,2.9,0.0
11,Sampdoria,2021-11-07,Giornata n. 12,P,1.2727272727272727,11.0,3.090909090909091,0.09090909090909091,0.09090909090909091,320.45454545454544,426.0,5.090909090909091,45.90909090909091,14.818181818181818,3.0,0.09090909090909091
12,Sampdoria,2021-11-21,Giornata n. 13,V,1.25,10.916666666666666,3.1666666666666665,0.08333333333333333,0.08333333333333333,320.1666666666667,428.4166666666667,5.166666666666667,46.0,14.916666666666666,3.0833333333333335,0.08333333333333333
13,Sampdoria,2021-11-27,Giornata n. 14,V,1.3076923076923077,11.076923076923077,3.3846153846153846,0.07692307692307693,0.07692307692307693,318.6923076923077,426.61538461538464,5.0,45.92307692307692,15.461538461538462,3.076923076923077,0.07692307692307693
14,Sampdoria,2021-11-30,Giornata n. 15,P,1.4285714285714286,11.357142857142858,3.5714285714285716,0.07142857142857142,0.07142857142857142,313.5,422.2142857142857,4.928571428571429,45.642857142857146,15.5,3.142857142857143,0.07142857142857142
15,Sampdoria,2021-12-05,Giornata n. 16,P,1.4,11.333333333333334,3.6,0.06666666666666667,0.06666666666666667,313.3333333333333,421.46666666666664,5.0,45.266666666666666,15.6,3.1333333333333333,0.06666666666666667
16,Sampdoria,2021-12-10,Giornata n. 17,V,1.375,11.75,3.6875,0.0625,0.0625,321.4375,430.125,5.125,45.4375,15.625,3.1875,0.0625
17,Sampdoria,2021-12-19,Giornata n. 18,N,1.4705882352941178,11.882352941176471,3.764705882352941,0.058823529411764705,0.058823529411764705,319.2352941176471,429.70588235294116,5.0,45.470588235294116,15.764705882352942,3.1176470588235294,0.058823529411764705
18,Sampdoria,2021-12-22,Giornata n. 19,N,1.4444444444444444,12.222222222222221,3.9444444444444446,0.05555555555555555,0.05555555555555555,319.5,430.27777777777777,4.944444444444445,45.72222222222222,15.444444444444445,3.0555555555555554,0.05555555555555555
19,Sampdoria,2022-01-06,Giornata n. 20,P,1.4210526315789473,12.052631578947368,3.8421052631578947,0.05263157894736842,0.05263157894736842,323.1578947368421,433.57894736842104,4.7894736842105265,45.73684210526316,15.157894736842104,3.0526315789473686,0.05263157894736842
20,Sampdoria,2022-01-09,Giornata n. 21,P,1.4,11.65,3.75,0.05,0.05,325.45,436.7,4.55,45.9,15.1,2.95,0.1
