,team,date,matchday,Risultato,goals,total_shots,shots_on_target,goals_on_penalty,total_penalties,completed_passings,total_passings,corners,percentage_possession,fouls,yellow_cards,red_cards
0,Torino,2021-08-21,Giornata n. 1,P,1.0,21.0,7.0,0.0,0.0,304.0,413.0,5.0,47.0,17.0,2.0,0.0
1,Torino,2021-08-28,Giornata n. 2,P,1.0,21.0,7.0,0.0,0.0,304.0,413.0,5.0,47.0,17.0,2.0,0.0
2,Torino,2021-09-12,Giornata n. 3,V,1.0,13.0,4.0,0.0,0.0,270.0,369.0,4.0,44.0,23.5,3.5,0.0
3,Torino,2021-09-17,Giornata n. 4,V,2.0,13.666666666666666,4.333333333333333,0.0,0.0,331.0,427.3333333333333,5.0,49.333333333333336,19.333333333333332,2.3333333333333335,0.0
4,Torino,2021-09-23,Giornata n. 5,N,1.75,14.75,4.0,0.0,0.0,338.5,431.75,4.5,49.0,20.5,2.75,0.0
5,Torino,2021-09-27,Giornata n. 6,N,1.6,15.0,4.2,0.0,0.0,333.4,428.6,4.8,48.2,20.6,2.8,0.0
6,Torino,2021-10-02,Giornata n. 7,P,1.5,13.833333333333334,4.0,0.0,0.0,347.3333333333333,444.0,4.166666666666667,49.5,20.5,3.0,0.16666666666666666
7,Torino,2021-10-17,Giornata n. 8,P,1.2857142857142858,13.714285714285714,3.7142857142857144,0.0,0.0,347.2857142857143,445.14285714285717,4.142857142857143,49.285714285714285,20.857142857142858,3.0,0.14285714285714285
8,Torino,2021-10-22,Giornata n. 9,V,1.125,13.375,3.625,0.0,0.0,342.125,441.75,4.125,49.25,21.375,3.125,0.125
9,Torino,2021-10-26,Giornata n. 10,P,1.3333333333333333,13.777777777777779,3.888888888888889,0.0,0.0,346.0,447.22222222222223,3.888888888888889,50.22222222222222,21.11111111111111,3.0,0.1111111111111111
10,Torino,2021-10-30,Giornata n. 11,V,1.2,13.7,3.7,0.0,0.0,352.9,454.4,4.0,50.8,21.2,3.0,0.1
11,Torino,2021-11-06,Giornata n. 12,P,1.3636363636363635,13.909090909090908,3.8181818181818183,0.0,0.0,367.6363636363636,469.45454545454544,4.0,51.90909090909091,21.09090909090909,2.909090909090909,0.09090909090909091
12,Torino,2021-11-22,Giornata n. 13,V,1.25,13.583333333333334,3.5833333333333335,0.0,0.0,372.0,473.8333333333333,3.9166666666666665,52.5,20.916666666666668,2.9166666666666665,0.08333333333333333
13,Torino,2021-11-28,Giornata n. 14,P,1.3076923076923077,13.615384615384615,3.5384615384615383,0.0,0.0,371.61538461538464,474.2307692307692,3.923076923076923,52.38461538461539,20.846153846153847,2.769230769230769,0.07692307692307693
14,Torino,2021-12-02,Giornata n. 15,N,1.2142857142857142,13.928571428571429,3.5,0.0,0.0,383.64285714285717,486.64285714285717,4.285714285714286,53.5,20.142857142857142,2.642857142857143,0.07142857142857142
15,Torino,2021-12-06,Giornata n. 16,N,1.2666666666666666,13.666666666666666,3.466666666666667,0.0,0.0,375.3333333333333,476.73333333333335,4.066666666666666,52.666666666666664,19.333333333333332,2.533333333333333,0.13333333333333333
16,Torino,2021-12-12,Giornata n. 17,V,1.25,13.3125,3.4375,0.0,0.0,369.6875,472.4375,3.9375,52.375,19.875,2.625,0.125
17,Torino,2021-12-19,Giornata n. 18,V,1.2941176470588236,13.470588235294118,3.6470588235294117,0.0,0.0,367.3529411764706,470.47058823529414,4.0,52.1764705882353,19.764705882352942,2.588235294117647,0.11764705882352941
18,Torino,2021-12-22,Giornata n. 19,P,1.2777777777777777,13.166666666666666,3.5,0.0,0.0,375.05555555555554,478.8333333333333,4.055555555555555,52.94444444444444,19.5,2.5,0.1111111111111111
19,Torino,2022-01-10,Giornata n. 21,V,1.2105263157894737,13.105263157894736,3.473684210526316,0.0,0.0,373.3157894736842,477.5263157894737,4.052631578947368,52.578947368421055,19.473684210526315,2.3684210526315788,0.10526315789473684
20,Torino,2022-01-15,Giornata n. 22,V,1.35,12.9,3.6,0.0,0.0,370.35,474.5,3.9,52.2,19.45,2.35,0.1
21,Torino,2022-01-23,Giornata n. 23,N,1.380952380952381,13.238095238095237,4.0,0.0,0.0,374.04761904761904,479.0952380952381,4.190476190476191,52.714285714285715,19.19047619047619,2.3333333333333335,0.09523809523809523
22,Torino,2022-02-06,Giornata n. 24,P,1.3636363636363635,13.590909090909092,4.090909090909091,0.0,0.0,372.54545454545456,477.6363636363636,4.181818181818182,52.59090909090909,19.454545454545453,2.3636363636363638,0.09090909090909091
