,Squadra,Data,Girone,Stadio,Risultato,Rf,Avversario,Rs,Tiri,Tiri.1,Rigori,Rig T,Compl,Tent,Angoli,Poss.,Falli,Amm.,Esp.
0,Bologna,22-08-2021,Giornata n. 1,Casa,V,3,Salernitana,2,18,7,0,0,485.0,588.0,9.0,72.0,11,6,2
1,Bologna,28-08-2021,Giornata n. 2,Ospiti,N,0,Atalanta,0,4,1,0,0,297.0,421.0,5.0,41.0,16,5,0
2,Bologna,13-09-2021,Giornata n. 3,Casa,V,1,Hellas Verona,0,16,4,0,0,257.0,362.0,6.0,43.0,16,1,0
3,Bologna,18-09-2021,Giornata n. 4,Ospiti,P,1,Inter,6,8,2,0,0,486.0,546.0,1.0,54.0,11,3,0
4,Bologna,21-09-2021,Giornata n. 5,Casa,N,2,Genoa,2,16,4,1,1,471.0,567.0,6.0,59.0,15,3,0
5,Bologna,26-09-2021,Giornata n. 6,Ospiti,P,2,Empoli,4,20,5,0,1,420.0,500.0,10.0,63.0,22,2,0
6,Bologna,03-10-2021,Giornata n. 7,Casa,V,3,Lazio,0,10,3,0,0,378.0,462.0,3.0,41.0,7,2,0
7,Bologna,17-10-2021,Giornata n. 8,Ospiti,N,1,Udinese,1,24,11,0,0,460.0,526.0,8.0,59.0,11,7,0
8,Bologna,23-10-2021,Giornata n. 9,Casa,P,2,Milan,4,9,4,0,0,305.0,382.0,4.0,38.0,9,1,2
9,Bologna,28-10-2021,Giornata n. 10,Ospiti,P,0,Napoli,3,8,1,0,0,324.0,392.0,2.0,35.0,6,1,0
10,Bologna,01-11-2021,Giornata n. 11,Casa,V,2,Cagliari,0,8,3,0,0,553.0,638.0,5.0,57.0,13,3,0
11,Bologna,07-11-2021,Giornata n. 12,Ospiti,V,2,Sampdoria,1,14,6,0,0,410.0,516.0,5.0,53.0,14,1,0
12,Bologna,21-11-2021,Giornata n. 13,Casa,P,0,Venezia,1,24,6,0,0,603.0,711.0,17.0,67.0,6,0,0
13,Bologna,28-11-2021,Giornata n. 14,Ospiti,V,1,Spezia,0,16,4,1,1,463.0,561.0,6.0,57.0,12,1,0
14,Bologna,01-12-2021,Giornata n. 15,Casa,V,1,Roma,0,6,3,0,0,325.0,421.0,3.0,42.0,9,3,0
15,Bologna,05-12-2021,Giornata n. 16,Casa,P,2,Fiorentina,3,8,3,0,0,288.0,366.0,0.0,37.0,12,3,0
16,Bologna,12-12-2021,Giornata n. 17,Ospiti,P,1,Torino,2,7,4,1,1,361.0,465.0,0.0,51.0,19,4,0
17,Bologna,18-12-2021,Giornata n. 18,Casa,P,0,Juventus,2,11,3,0,0,476.0,581.0,8.0,57.0,10,1,0
18,Bologna,22-12-2021,Giornata n. 19,Ospiti,V,3,Sassuolo,0,9,5,0,0,299.0,390.0,5.0,41.0,14,3,0
19,Bologna,11-01-2022,Giornata n. 21,Ospiti,P,1,Cagliari,2,10,3,0,0,294.0,426.0,5.0,47.0,19,2,0
20,Bologna,17-01-2022,Giornata n. 22,Casa,P,0,Napoli,2,12,5,0,0,349.0,438.0,1.0,39.0,10,3,0
21,Bologna,21-01-2022,Giornata n. 23,Ospiti,P,1,Hellas Verona,2,8,2,0,0,247.0,373.0,2.0,43.0,9,4,0
22,Bologna,06-02-2022,Giornata n. 24,Casa,N,0,Empoli,0,12,2,0,0,448.0,560.0,3.0,59.0,11,2,0
23,Bologna,12-02-2022,Giornata n. 25,Ospiti,P,0,Lazio,3,11,3,0,0,422.0,488.0,3.0,43.0,16,2,0
24,Bologna,21-02-2022,Giornata n. 26,Casa,V,2,Spezia,1,19,7,0,0,456.0,566.0,11.0,61.0,7,1,0
25,Bologna,26-02-2022,Giornata n. 27,Ospiti,N,1,Salernitana,1,8,3,0,0,276.0,370.0,1.0,44.0,26,3,0
26,Bologna,06-03-2022,Giornata n. 28,Casa,N,0,Torino,0,6,1,0,0,273.0,385.0,5.0,52.0,23,3,0
27,Bologna,13-03-2022,Giornata n. 29,Ospiti,P,0,Fiorentina,1,4,0,0,0,243.0,340.0,1.0,39.0,17,5,1
28,Bologna,20-03-2022,Giornata n. 30,Casa,P,0,Atalanta,1,12,3,0,0,467.0,604.0,6.0,60.0,9,0,0
29,Bologna,04-04-2022,Giornata n. 31,Ospiti,N,0,Milan,0,8,4,0,0,328.0,425.0,2.0,47.0,10,2,0
30,Bologna,11-04-2022,Giornata n. 32,Casa,V,2,Sampdoria,0,19,4,0,0,456.0,557.0,6.0,53.0,12,1,0
31,Bologna,16-04-2022,Giornata n. 33,Ospiti,N,1,Juventus,1,10,2,0,0,350.0,420.0,5.0,49.0,12,5,2
32,Bologna,24-04-2022,Giornata n. 34,Casa,N,2,Udinese,2,10,3,0,0,379.0,474.0,2.0,55.0,9,2,0
33,Bologna,27-04-2022,Giornata n. 20,Casa,V,2,Inter,1,5,3,0,0,363.0,440.0,0.0,41.0,12,1,0
34,Bologna,01-05-2022,Giornata n. 35,Ospiti,N,0,Roma,0,10,4,0,0,429.0,535.0,5.0,57.0,12,1,0
35,Bologna,08-05-2022,Giornata n. 36,Ospiti,P,3,Venezia,4,23,10,0,0,420.0,508.0,8.0,59.0,16,4,0
36,Bologna,15-05-2022,Giornata n. 37,Casa,P,1,Sassuolo,3,8,1,1,1,412.0,495.0,4.0,55.0,11,0,0
37,Bologna,21-05-2022,Giornata n. 38,Ospiti,V,1,Genoa,0,11,3,0,0,321.0,435.0,9.0,50.0,10,1,0
